Mol,Result,Pol_C,Pol_A,RadV_C,RadV_A,CN_C,CN_A,Ion_C,Ion_A,EA_C,f1,f2,f3,f4,R_C,R_A,EN_C,EN_A,VEN_C,VEN_A,CHG_C,CHG_A
LiH,0,164.1,4.51,1.7478,1.0912,6,6,5.392,13.59,0.754,1163,85.3197,7.5916,3,1.6,0.4267,0.98,2.2,1,1,1,-1
NaH,0,162.7,4.51,1.8541,1.0912,6,6,5.139,13.59,0.754,1608,186.1052,7.5916,3,1.8667,0.4267,0.93,2.2,1,1,1,-1
KH,0,289.7,4.51,2.1206,1.0912,6,6,4.341,13.59,0.754,4984.5,338.0207,7.5916,3,2.3467,0.4267,0.82,2.2,1,1,1,-1
RbH,0,319.8,4.51,2.3088,1.0912,6,6,4.177,13.59,0.754,6138.7755,476.2591,7.5916,3,2.52,0.4267,0.82,2.2,1,1,1,-1
CsH,0,400.6,4.51,2.5283,1.0912,6,6,3.849,13.59,0.754,9330.7298,649.0924,7.5916,3,2.7867,0.4267,0.79,2.2,1,1,1,-1
CsCl,0,400.6,14.6,2.5283,1.5523,8,8,3.849,12.96,3.617,9330.7298,649.0924,92.346,90.3985,2.7867,1.32,0.79,3.16,1,1,1,-1
LiCl,1,164.1,14.6,1.7478,1.5523,6,6,5.392,12.96,3.617,1163,85.3197,92.346,90.3985,1.6,1.32,2.2,3.16,1,1,1,-1
CuI,1,46.5,32.9,1.6504,1.869,4,4,7.726,10.451,3.059,337.1808,174.99,351.9667,358.4995,1.34,1,1.9,2.66,9,7,1,-1
LiF,1,164.1,3.74,1.7478,1.1498,6,6,5.392,17.423,3.339,1163,85.3197,9.69,7.1341,1.6,1.76,2.2,3.98,1,7,1,-1
ZnS,1,38.67,19.4,1.6155,1.6554,4,4,9.394,10.36,0,340.5213,153.45,134.006,125.81,1.453,1.36,1.65,2.58,10,6,2,-2
CoO2,1,55,5.3,1.7164,1.2408,6,2,7.881,13.618,0.661,532.77,118.28,15.5,10.37,1.333,0.84,1.88,3.44,7,6,4,-2
LiCoO2,0,164.1,5.3,1.7478,1.2408,6,3,6.6365,13.618,0.7075,1163,85.3197,15.5,10.37,1.6,0.84,0.98,3.44,1,6,1,-2
Mg,0,71.2,71.2,1.742,1.742,8,8,7.646,7.646,1.31,683.3758,175.56,683.3758,175.56,1.4267,1.4267,1.31,1.31,2,2,0,0
Na,0,162.7,162.7,1.8541,1.8541,8,8,5.139,5.139,0.93,1608,186.1052,1608,186.1052,1.8667,1.8667,0.93,0.93,1,1,0,0
Cu,0,46.5,46.5,1.3467,1.3467,12,12,7.726,1.91,1.228,337.1808,174.99,337.1808,174.99,1.6404,1.6504,1.91,1.91,11,11,0,0
Ca,0,160.8,160.8,2.0518,2.0518,8,8,6.113,6.113,1,2352.6862,343.33,2352.6862,343.33,2.053,2.053,1,1,2,2,0,0
Li,0,164.11,164.11,1.7478,1.7478,8,8,5.392,5.392,0.98,1163,85.3197,1163,85.3197,1.6,1.6,0.98,0.98,1,1,0,0
Al,1,57.8,57.8,1.5067,1.5067,12,12,5.986,5.986,0.441,540.5406,153.5945,540.5406,153.5946,2.0053,2.0053,1.61,1.61,3,3,0,0
Ni,0,49,49,1.6731,1.6731,12,8,7.64,7.64,1.91,574.7436,141.8763,574.7436,141.8763,1.32,1.32,1.91,1.91,10,10,0,0
Mn,0,68,68,1.7731,1.7731,8,8,7.434,7.434,1.55,802.7484,113.8463,802.7484,113.8463,1.4267,1.4267,1.55,1.55,7,7,0,0
SnS2,1,53,19.4,2.0937,1.6554,6,2,7.344,10.36,1.2,627.5677,336.102,134.0066,125.81,1.68,1.36,1.96,2.077,4,4,4,-2
LiSnS2,1,164,19.4,2.0937,1.6554,6,3,6.368,10.36,0.977,1163,85.3197,134.0066,125.81,1.658,1.36,0.98,2.077,1,1,1,-2
BaCl2,0,160.8,14.6,2.0518,1.5523,8,8,6.113,12.96,3.617,2352.6862,343.33,92.346,90.3985,2.053,1.32,1,3.16,2,1,0,-1
C,0,3.54,3.54,1.42,1.42,4,4,2.82,2.82,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,1.5,1,1,0,0
