Mol,Pol_C,Pol_A,RadV_C,RadV_A,CN_C,CN_A,Ion_C,Ion_A,EA_C,EA_A,EN_C,EN_A,RadI_C,RadI_A
LiH,164.1,4.51,182,120,6,6,5.392,13.59,0.754,0.618,0.98,2.2,60,150
NaH,162.7,4.51,227,120,6,6,5.139,13.59,0.754,0.548,0.93,2.2,95,150
KH,289.7,4.51,275,120,6,6,4.341,13.59,0.754,0.501,0.82,2.2,133,150
RbH,319.8,4.51,303,120,6,6,4.177,13.59,0.754,0.468,0.82,2.2,148,150
CsH,400.6,4.51,343,120,6,6,3.849,13.59,0.754,0.472,0.79,2.2,169,150
CsCl,400.6,14.6,343,175,8,8,3.849,12.96,3.617,0.472,0.79,3.16,169,181
LiCl,164.1,14.6,120,175,6,6,5.392,12.96,3.617,0.618,2.2,3.16,60,181
CuI,46.5,32.9,140,198,4,4,7.726,10.451,3.059,1.228,1.9,2.66,74,216
LiF,164.1,3.74,120,135,6,6,5.392,17.423,3.339,0.618,2.2,3.98,60,136
ZnS,38.67,19.4,139,180,4,4,9.394,10.36,0,2.077,1.65,2.58,74,184
CoO2,55,5.3,192,152,6,3,7.881,13.618,0.661,1.461,1.88,3.44,,
SnS2,53,19.4,217,180,6,3,7.344,10.36,1.2,2.58,1.96,2.077,,
LiCoO2,
LiSnS2,
