Mol,Pol_C,Pol_A,CN_C,Ion_C,Ion_A,EA_A,EN_C,EN_A
LiH,164.1,4.51,6,5.392,13.59,0.754,0.98,2.2
NaH,162.7,4.51,6,5.139,13.59,0.754,0.93,2.2
KH,289.7,4.51,6,4.341,13.59,0.754,0.82,2.2
RbH,319.8,4.51,6,4.177,13.59,0.754,0.82,2.2
CsH,400.6,4.51,6,3.849,13.59,0.754,0.79,2.2
CsCl,400.6,14.6,8,3.849,12.96,3.617,0.79,3.16
LiCl,164.1,14.6,6,5.392,12.96,3.617,2.2,3.16
CuI,46.5,32.9,4,7.726,10.451,3.059,1.9,2.66
LiF,164.1,3.74,6,5.392,17.423,3.339,2.2,3.98
ZnS,38.67,19.4,4,9.394,10.36,2.077,1.65,2.58
CoO2,55,5.3,6,7.881,13.618,1.461,1.88,3.44
SnS2,53,19.4,6,7.344,10.36,2.58,1.96,2.077
LiCoO2,109.55,5.3,6,6.6365,13.618,1.46,1.43,3.44
LiSnS2,108.55,19.4,6,6.368,10.36,2.58,1.47,2.077
