Mol,Pol,Rad,CN,Ion,EN
Mg,71.2,160,8,7.646,1.31
Na,162.7,157,8,5.139,0.93
Cu,46.5,128,12,7.726,1.91
Ca,160.8,200,8,6.113,1
Li,164.11,182,8,5.392,0.98
Al,57.8,184,12,5.986,1.61
Ni,49,163,12,7.64,1.91
Mn,68,197,8,7.434,1.55
