Mol,Pol_C,Pol_A,RadV_C,RadV_A,CN_C,CN_A,Ion_C,Ion_A,EA_C,f1,f2,f3,f4,R_C,R_A
LiH,164.1,4.51,1.7478,1.0912,6,6,5.392,13.59,0.754,1163,85.3197,7.5916,3,1.6,0.4267
NaH,162.7,4.51,1.8541,1.0912,6,6,5.139,13.59,0.754,1608,186.1052,7.5916,3,1.8667,0.4267
KH,289.7,4.51,2.1206,1.0912,6,6,4.341,13.59,0.754,4984.5,338.0207,7.5916,3,2.3467,0.4267
RbH,319.8,4.51,2.3088,1.0912,6,6,4.177,13.59,0.754,6138.7755,476.2591,7.5916,3,2.52,0.4267
CsH,400.6,4.51,2.5283,1.0912,6,6,3.849,13.59,0.754,9330.7298,649.0924,7.5916,3,2.7867,0.4267
CsCl,400.6,14.6,2.5283,1.5523,8,8,3.849,12.96,3.617,9330.7298,649.0924,92.346,90.3985,2.7867,1.32
LiCl,164.1,14.6,1.7478,1.5523,6,6,5.392,12.96,3.617,1163,85.3197,92.346,90.3985,1.6,1.32
CuI,46.5,32.9,1.6504,1.869,4,4,7.726,10.451,3.059,337.1808,174.99,351.9667,358.4995,1.34,1
LiF,164.1,3.74,1.7478,1.1498,6,6,5.392,17.423,3.339,1163,85.3197,9.69,7.1341,1.6,1.76
ZnS,38.67,19.4,1.6155,1.6554,4,4,9.394,10.36,0,340.5213,153.45,134.006,125.81,1.453,1.36
CoO2,55,5.3,1.7164,1.2408,6,2,7.881,13.618,0.661,532.77,118.28,15.5,10.37,1.333,0.84
LiCoO2,164.1,5.3,1.7478,1.2408,6,3,6.6365,13.618,0.7075,1163,85.3197,15.5,10.37,1.6,0.84
Mg,71.2,71.2,1.742,1.742,8,0,7.646,0,1.31,683.3758,175.56,-1,-1,1.4267,1.4267
Na,162.7,162.7,1.8541,1.8541,8,0,5.139,0,0.93,1608,186.1052,-1,-1,1.8667,1.8667
Ca,160.8,160.8,2.0518,2.0518,8,0,6.113,0,1,2352.6862,343.33,-1,-1,2.053,2.053
Li,164.11,164.11,1.7478,1.7478,8,0,5.392,0,0.98,1163,85.3197,-1,-1,1.6,1.6
Ni,49,49,1.6731,1.6731,12,0,7.64,0,1.91,574.7436,141.8763,-1,-1,1.32,1.32
Mn,68,68,1.7731,1.7731,8,0,7.434,0,1.55,802.7484,113.8463,-1,-1,1.4267,1.4267
SnS2,53,19.4,2.0937,1.6554,6,2,7.344,10.36,1.2,627.5677,336.102,134.0066,125.81,1.68,1.36
LiSnS2,164,19.4,2.0937,1.6554,6,3,6.368,10.36,0.977,1163,85.3197,134.0066,125.81,1.658,1.36
