Mol,Pol_C,Pol_A,RadV_C,RadV_A,CN_C,CN_A,Ion_C,Ion_A,EA_C
LiH,164.1,4.51,1.7478,1.0912,6,6,5.392,13.59,0.754
NaH,162.7,4.51,1.8541,1.0912,6,6 ,5.139,13.59,0.754
KH,289.7,4.51,2.1206,1.0912,6,6,4.341,13.59,0.754
RbH,319.8,4.51,2.3088,1.0912,6,6,4.177,13.59,0.754
CsH,400.6,4.51,2.5283,1.0912,6,6,3.849,13.59,0.754
CsCl,400.6,14.6,2.5283,1.5523,8,8,3.849,12.96,3.617
LiCl,164.1,14.6,1.7478,1.5523,6,6,5.392,12.96,3.617
CuI,46.5,32.9,1.6504,1.8690,4,4,7.726,10.451,3.059
LiF,164.1,3.74,1.7478,1.1498,6,6,5.392,17.423,3.339
ZnS,38.67,19.4,1.6155,1.6554,4,4,9.394,10.36,0
CoO2,55,5.3,1.7164,1.2408,6,2,7.881,13.618,0.661
LiCoO2,164.1,5.3,1.7478,1.2408,6,3,6.6365,13.618,0.7075
Mg,71.2,71.2,1.7420,1.7420,8,0,7.646,0,1.31
Na,162.7,162.7,1.8541,1.8541,8,0,5.139,0,0.93
Ca,160.8,160.8,2.0518,2.0518,8,0,6.113,0,1
Li,164.11,164.11,1.7478,1.7478,8,0,5.392,0,0.98
Ni,49,49,1.6731,1.6731,12,0,7.64,0,1.91
Mn,68,68,1.7731,1.7731,8,0,7.434,0,1.55
SnS2,53,19.4,2.0937,1.6554,6,2,7.344,10.36,1.2
LiSnS2,164,19.4,2.0937,1.6554,6,3,6.368,10.36,0.977
