Mol,Pol_C,Pol_A,CN_C,Ion_C,Ion_A,EA_C,EA_A
LiH,164.1,4.51,6,5.392,13.59,0.754,0.618
NaH,162.7,4.51,6,5.139,13.59,0.754,0.548
KH,289.7,4.51,6,4.341,13.59,0.754,0.501
RbH,319.8,4.51,6,4.177,13.59,0.754,0.468
CsH,400.6,4.51,6,3.849,13.59,0.754,0.472
CsCl,400.6,14.6,6,3.849,12.96,3.617,0.472
LiCl,164.1,14.6,6,5.392,12.96,3.617,0.618
CuI,46.5,32.9,4,7.726,10.451,3.059,1.228
LiF,164.1,3.74,6,5.392,17.423,3.339,0.618
