Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_zn,ZnSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Nd,144.24,229.0,1.14,5.525,,208.0,13.98329372418908,15.62838710350544,0.8947368421052632,0.8947368421052632,0.01562838710350544,0.0008789553679753511,0.8789553679753511,R-3m,166,19,Nd2Zn17
Nd,144.24,229.0,1.14,5.525,,208.0,14.907070364974533,18.972635009967586,0.7857142857142857,0.7857142857142857,0.018972635009967587,0.0007857934006849654,0.7857934006849654,Immm,71,14,Nd3Zn11
Nd,144.24,229.0,1.14,5.525,,208.0,9.15012701869481,10.397871612153194,0.88,0.88,0.010397871612153194,0.0005632782915390454,0.5632782915390454,C2/c,15,50,Nd3Zn22
Nd,144.24,229.0,1.14,5.525,,208.0,13.254473312984146,14.459425432346341,0.9166666666666666,0.9166666666666666,0.01445942543234634,0.0008547315674399926,0.8547315674399927,C2/m,12,24,NdZn11
Nd,144.24,229.0,1.14,5.525,,208.0,13.565432734760124,20.348149102140187,0.6666666666666666,0.6666666666666666,0.020348149102140188,0.0006426552084729007,0.6426552084729007,Imma,74,6,NdZn2
Nd,144.24,229.0,1.14,5.525,,208.0,14.36667226286747,19.155563017156627,0.75,0.75,0.019155563017156627,0.0007454451845839439,0.7454451845839439,Pnma,62,16,NdZn3
Nd,144.24,229.0,1.14,5.525,,208.0,19.448648325720026,38.89729665144005,0.5,0.5,0.03889729665144005,0.0007864107571232724,0.7864107571232724,Pm-3m,221,2,NdZn
Pr,140.90766,239.0,1.13,5.464,,216.0,14.383231614877324,17.60705939062569,0.8169014084507042,0.8169014084507042,0.01760705939062569,0.0007735019357723423,0.7735019357723423,P6_3/mmc,194,142,Pr13Zn58
Pr,140.90766,239.0,1.13,5.464,,216.0,14.071669174711921,15.7271596658545,0.8947368421052632,0.8947368421052632,0.0157271596658545,0.0008780976239191039,0.8780976239191038,R-3m,166,19,Pr2Zn17
Pr,140.90766,239.0,1.13,5.464,,216.0,9.20785387612189,10.463470313774875,0.88,0.88,0.010463470313774875,0.0005628738080284272,0.5628738080284272,I4_1/amd,141,50,Pr3Zn22
Pr,140.90766,239.0,1.13,5.464,,216.0,13.366021038405062,14.581113860078249,0.9166666666666666,0.9166666666666666,0.01458111386007825,0.0008580842702827882,0.8580842702827882,I4_1/amd,141,24,PrZn11
Pr,140.90766,239.0,1.13,5.464,,216.0,12.872826748506588,19.309240122759885,0.6666666666666666,0.6666666666666666,0.019309240122759884,0.0006000834608901077,0.6000834608901077,Imma,74,6,PrZn2
Pr,140.90766,239.0,1.13,5.464,,216.0,16.7928566737609,33.5857133475218,0.5,0.5,0.033585713347521806,0.0006614989040459833,0.6614989040459833,Pm-3m,221,2,PrZn
Pu,244.0642,243.0,1.28,6.06,,145.0,12.450134527259975,13.914856236349385,0.8947368421052632,0.8947368421052632,0.013914856236349384,0.0007923932466070587,0.7923932466070588,C2/m,12,19,Pu2Zn17
Pu,244.0642,243.0,1.28,6.06,,145.0,12.961100309404529,14.728523078868783,0.88,0.88,0.014728523078868783,0.0007771445576717545,0.7771445576717545,I4_1/amd,141,50,Pu3Zn22
Rb,85.468,303.0,0.82,4.177,0.468,319.8,6.776653509091751,7.297934548252654,0.9285714285714286,0.9285714285714286,0.007297934548252654,0.00041453391689409247,0.41453391689409247,Fm-3c,226,28,RbZn13
Sc,44.95591,211.0,1.36,6.561,0.188,97.0,11.743104705727228,12.721696764537832,0.9230769230769231,0.9230769230769231,0.012721696764537832,0.000797005033153529,0.797005033153529,I4/mmm,139,13,ScZn12
Sc,44.95591,211.0,1.36,6.561,0.188,97.0,16.370318859506707,24.55547828926006,0.6666666666666666,0.6666666666666666,0.02455547828926006,0.0009859051333747548,0.9859051333747548,P6_3/mmc,194,12,ScZn2
Sc,44.95591,211.0,1.36,6.561,0.188,97.0,15.822894812212624,31.645789624425248,0.5,0.5,0.03164578962442525,0.0008539095022438542,0.8539095022438542,Pm-3m,221,2,ScZn
Sm,150.4,229.0,1.17,5.644,,192.0,14.00257414186642,15.649935805615412,0.8947368421052632,0.8947368421052632,0.01564993580561541,0.0008909223196123156,0.8909223196123156,R-3m,166,19,Sm2Zn17
Sm,150.4,229.0,1.17,5.644,,192.0,14.973279316358393,19.0569009480925,0.7857142857142857,0.7857142857142857,0.019056900948092502,0.0008038983476641945,0.8038983476641944,Immm,71,14,Sm3Zn11
Sm,150.4,229.0,1.17,5.644,,192.0,9.40441648021878,10.686836909339524,0.88,0.88,0.010686836909339524,0.000587361132904663,0.587361132904663,I4_1/amd,141,50,Sm3Zn22
Sm,150.4,229.0,1.17,5.644,,192.0,13.102809502743268,14.194710294638542,0.9230769230769231,0.9230769230769231,0.014194710294638542,0.0008582436929380515,0.8582436929380515,C2/m,12,13,SmZn12
Sm,150.4,229.0,1.17,5.644,,192.0,14.867092519552099,22.30063877932815,0.6666666666666666,0.6666666666666666,0.022300638779328148,0.0007237205699648811,0.7237205699648811,Imma,74,6,SmZn2
Sm,150.4,229.0,1.17,5.644,,192.0,14.882422500935217,19.843230001246955,0.75,0.75,0.019843230001246954,0.0007938402078227666,0.7938402078227665,Pnma,62,16,SmZn3
Sm,150.4,229.0,1.17,5.644,,192.0,20.610023733461247,41.220047466922495,0.5,0.5,0.041220047466922496,0.000866190407645334,0.8661904076453341,Pm-3m,221,2,SmZn
Sr,87.62,249.0,0.95,5.695,,197.2,12.10842657408266,13.03984400285825,0.9285714285714286,0.9285714285714286,0.013039844002858248,0.0007637455328505394,0.7637455328505395,Fm-3c,226,28,SrZn13
Sr,87.62,249.0,0.95,5.695,,197.2,12.538322003244485,18.807483004866725,0.6666666666666666,0.6666666666666666,0.018807483004866725,0.0005360337088794731,0.5360337088794731,Imma,74,6,SrZn2
Sr,87.62,249.0,0.95,5.695,,197.2,8.79550319443304,10.554603833319648,0.8333333333333334,0.8333333333333334,0.010554603833319649,0.0004685634389484177,0.46856343894841773,Pnma,62,24,SrZn5
Sr,87.62,249.0,0.95,5.695,,197.2,12.379362340470351,24.758724680940702,0.5,0.5,0.024758724680940702,0.0003931805055318044,0.3931805055318044,Pnma,62,8,SrZn
Ta,180.9479,217.0,1.5,7.89,0.322,74.0,12.541760891110503,23.291841654919505,0.5384615384615384,0.5384615384615384,0.023291841654919505,0.0008189511559128814,0.8189511559128814,R-3m,166,13,Ta6Zn7
Ta,180.9479,217.0,1.5,7.89,0.322,74.0,14.046791553316188,21.07018732997428,0.6666666666666666,0.6666666666666666,0.02107018732997428,0.0009616352107825049,0.9616352107825049,P6_3/mmc,194,24,TaZn2
Tb,158.92535,221.0,,5.864,,170.0,14.065389248107396,15.720140924355325,0.8947368421052632,0.8947368421052632,0.015720140924355325,0.000908431385259242,0.9084313852592419,R-3m,166,19,Tb2Zn17
Tb,158.92535,221.0,,5.864,,170.0,13.958148173946785,17.764915857750452,0.7857142857142857,0.7857142857142857,0.017764915857750453,0.000799432386954775,0.7994323869547749,Immm,71,14,Tb3Zn11
Tb,158.92535,221.0,,5.864,,170.0,13.14645246491804,14.241990170327874,0.9230769230769231,0.9230769230769231,0.014241990170327875,0.0008696538779233177,0.8696538779233177,I4/mmm,139,13,TbZn12
Tb,158.92535,221.0,,5.864,,170.0,15.424189731029708,23.136284596544563,0.6666666666666666,0.6666666666666666,0.023136284596544564,0.0007828141353815735,0.7828141353815735,Imma,74,6,TbZn2
Tb,158.92535,221.0,,5.864,,170.0,15.750968554067095,21.001291405422794,0.75,0.75,0.021001291405422794,0.0008711224323308904,0.8711224323308904,Pnma,62,16,TbZn3
Tb,158.92535,221.0,,5.864,,170.0,20.944338656115022,41.888677312230044,0.5,0.5,0.04188867731223005,0.0009264202916294422,0.9264202916294423,Pm-3m,221,2,TbZn
Th,232.038,237.0,1.3,6.08,,240.0,12.089687657288,13.512003852263058,0.8947368421052632,0.8947368421052632,0.013512003852263059,0.0007571162219126747,0.7571162219126747,R-3m,166,19,Th2Zn17
Th,232.038,237.0,1.3,6.08,,240.0,14.417229357233088,43.25168807169927,0.3333333333333333,0.3333333333333333,0.04325168807169927,0.0005347130422260659,0.5347130422260659,I4/mcm,140,6,Th2Zn
Th,232.038,237.0,1.3,6.08,,240.0,12.640450641450432,18.96067596217565,0.6666666666666666,0.6666666666666666,0.018960675962175648,0.0005893658444272995,0.5893658444272994,P6/mmm,191,3,ThZn2
Th,232.038,237.0,1.3,6.08,,240.0,11.9488031092573,14.936003886571624,0.8,0.8,0.014936003886571625,0.0006455098765265387,0.6455098765265387,I4/mmm,139,5,ThZn4
Ti,47.867,187.0,1.54,6.828,0.079,100.0,19.890081266407332,59.67024379922199,0.3333333333333333,0.3333333333333333,0.05967024379922199,0.0012354216661413754,1.2354216661413753,I4/mmm,139,3,Ti2Zn
Ti,47.867,187.0,1.54,6.828,0.079,100.0,11.823061977589207,12.562003351188531,0.9411764705882353,0.9411764705882353,0.012562003351188532,0.0008151952545953025,0.8151952545953025,Cmcm,63,34,TiZn16
Tm,168.93422,227.0,1.25,6.184,,144.0,13.803124192601446,15.427021156436911,0.8947368421052632,0.8947368421052632,0.015427021156436911,0.0009037111522425418,0.9037111522425418,R-3m,166,19,Tm2Zn17
Tm,168.93422,227.0,1.25,6.184,,144.0,12.981443129908499,14.063230057400874,0.9230769230769231,0.9230769230769231,0.014063230057400873,0.0008666671884065776,0.8666671884065775,I4/mmm,139,13,TmZn12
Tm,168.93422,227.0,1.25,6.184,,144.0,16.0747211537046,24.112081730556902,0.6666666666666666,0.6666666666666666,0.024112081730556904,0.00085197088148646,0.8519708814864599,Imma,74,6,TmZn2
Tm,168.93422,227.0,1.25,6.184,,144.0,15.35850330428431,20.47800440571241,0.75,0.75,0.020478004405712413,0.0008810717807844261,0.8810717807844262,Pnma,62,16,TmZn3
Tm,168.93422,227.0,1.25,6.184,,144.0,20.684894739567927,41.369789479135854,0.5,0.5,0.04136978947913585,0.0009700939795813044,0.9700939795813044,Pm-3m,221,2,TmZn
U,238.0289,240.0,1.38,6.194,,180.0,13.213921919247467,14.768500968570699,0.8947368421052632,0.8947368421052632,0.014768500968570698,0.000816552721886042,0.816552721886042,P6_3/mmc,194,114,U2Zn17
V,50.9415,179.0,1.63,6.746,0.525,87.0,7.009955515155331,12.617919927279598,0.5555555555555556,0.5555555555555556,0.012617919927279597,0.0005143378208344673,0.5143378208344672,I4/mmm,139,9,V4Zn5
V,50.9415,179.0,1.63,6.746,0.525,87.0,13.560096064867814,18.080128086490415,0.75,0.75,0.018080128086490416,0.000999906724755517,0.9999067247555169,Pm-3m,221,4,VZn3
Y,88.90584,219.0,1.22,6.217,0.307,162.0,12.794291572985133,14.299502346277501,0.8947368421052632,0.8947368421052632,0.014299502346277502,0.0008266287173197022,0.8266287173197021,R-3m,166,19,Y2Zn17
Y,88.90584,219.0,1.22,6.217,0.307,162.0,13.8054275466615,17.570544150296453,0.7857142857142857,0.7857142857142857,0.017570544150296453,0.0007904280576914517,0.7904280576914516,Immm,71,14,Y3Zn11
Yb,173.05,242.0,,6.254,,139.0,10.556039401591626,15.83405910238744,0.6666666666666666,0.6666666666666666,0.01583405910238744,0.0005656306800905843,0.5656306800905844,Imma,74,6,YbZn2
Y,88.90584,219.0,1.22,6.217,0.307,162.0,12.147542101602152,13.159837276735665,0.9230769230769231,0.9230769230769231,0.013159837276735665,0.0008041550323466837,0.8041550323466837,C2/m,12,13,YZn12
Y,88.90584,219.0,1.22,6.217,0.307,162.0,14.292296018683592,19.056394691578124,0.75,0.75,0.019056394691578122,0.0007919816382793963,0.7919816382793964,Pnma,62,16,YZn3
Y,88.90584,219.0,1.22,6.217,0.307,162.0,13.37893865495915,16.05472638595098,0.8333333333333334,0.8333333333333334,0.016054726385950978,0.0008073186284732497,0.8073186284732496,P6/mmm,191,6,YZn5
Y,88.90584,219.0,1.22,6.217,0.307,162.0,16.7015373927695,33.403074785539,0.5,0.5,0.033403074785539,0.0007388744418262389,0.738874441826239,Pm-3m,221,2,YZn
Co,58.93319,192.0,1.88,7.881,0.661,55.0,9.373701993491116,11.078011446853136,0.8461538461538461,0.15384615384615385,0.06092906295769225,0.0007086250744794256,0.7086250744794256,I-43m,217,26,Zn11Co2
Ir,192.22,202.0,2.2,9.1,1.565,54.0,13.670524696870709,16.156074641756295,0.8461538461538461,0.15384615384615385,0.0888584105296596,0.0009651980773258158,0.9651980773258158,I-43m,217,26,Zn11Ir2
Ni,58.693,163.0,1.91,7.64,1.156,49.0,9.29911130036625,10.989858809523751,0.8461538461538461,0.15384615384615385,0.06044422345238063,0.0007041743135625155,0.7041743135625155,I-43m,217,26,Zn11Ni2
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,15.655435158877864,18.501877915037475,0.8461538461538461,0.15384615384615385,0.10176032853270611,0.001116951926476883,1.116951926476883,I-43m,217,26,Zn11Rh2
Co,58.93319,192.0,1.88,7.881,0.661,55.0,7.881353754098286,8.48761173518277,0.9285714285714286,0.07142857142857142,0.11033895255737601,0.0005676758353666753,0.5676758353666753,C2/m,12,14,Zn13Co
Fe,55.84,194.0,1.83,7.902,0.163,62.0,11.395426567213715,12.27199784161477,0.9285714285714286,0.07142857142857142,0.159535971940992,0.0008086281801155517,0.8086281801155517,C2/m,12,14,Zn13Fe
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,13.145032726722393,14.156189090316424,0.9285714285714286,0.07142857142857142,0.1840304581741135,0.0009192428083877477,0.9192428083877477,C2/m,12,14,Zn13Rh
As,74.92159,185.0,2.18,9.815,0.81,30.0,3.6893899550769222,6.148983258461537,0.6,0.4,0.009223474887692306,0.00017409836448847944,0.17409836448847943,P4_2/nbc,133,160,Zn3As2
Au,196.96657,166.0,2.54,9.226,2.309,36.06,12.125593094550922,16.167457459401227,0.75,0.25,0.048502372378203686,0.0007987527202325406,0.7987527202325406,Pm-3n,223,32,Zn3Au
N,14.007,155.0,3.04,14.534,,7.4,4.097735258771438,6.829558764619063,0.6,0.4,0.010244338146928595,0.00035571883034065565,0.35571883034065566,Ia-3,206,40,Zn3N2
