Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
In,114.818,193.0,1.78,5.786,0.3,65.0,8.713297291850145,26.139891875550436,0.3333333333333333,0.6666666666666666,0.013069945937775218,0.0003618859829531078,0.3618859829531078,Fd-3m,227,12,LiIn2
Cu,63.55,140.0,1.9,7.726,1.228,46.5,13.982063827059013,55.928255308236054,0.25,0.75,0.018642751769412016,0.0012025771904089018,1.2025771904089018,Fm-3m,225,4,LiCu3
O,15.999,152.0,3.44,13.618,1.461,5.3,1.075606130583733,3.226818391751199,0.3333333333333333,0.6666666666666666,0.0016134091958755997,0.00011167446961003927,0.11167446961003927,R-3m,166,3,LiO2
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.8687498540594996,1.1583331387459994,0.75,0.25,0.0034749994162379984,4.9606180930965454e-05,0.04960618093096545,Fm-3m,225,4,Li3Sn
Ag,107.868,172.0,1.93,7.576,1.302,55.0,14.354437868742632,20.734188032628246,0.6923076923076923,0.3076923076923077,0.04665192307341356,0.0008287578109069478,0.8287578109069478,Fmm2,42,26,Li9Ag4
Au,196.96657,166.0,2.54,9.226,2.309,36.06,12.24556525197096,16.327420335961282,0.75,0.25,0.048982261007883846,0.0008167730673651279,0.8167730673651279,Fm-3m,225,4,Li3Au
Mg,24.305,173.0,1.31,7.646,,71.2,14.794002437433077,29.588004874866154,0.5,0.5,0.029588004874866153,0.0007169500198333632,0.7169500198333632,Pmma,51,4,LiMg
Zn,65.4,139.0,1.65,9.394,,38.67,12.694540626966113,50.77816250786445,0.25,0.75,0.016926054169288152,0.0009299650086731832,0.9299650086731832,Fm-3m,225,4,LiZn3
Hg,200.59,209.0,2.0,10.438,,33.0,5.2330838678355995,20.932335471342398,0.25,0.75,0.006977445157114133,0.0002412138000830266,0.2412138000830266,Pm-3m,221,4,LiHg3
Hf,178.49,212.0,1.3,6.825,,103.0,0.8416552347941367,1.1572759478419379,0.7272727272727273,0.2727272727272727,0.0030860691942451676,3.106985355374382e-05,0.031069853553743823,Im-3m,229,22,Li8Hf3
Ag,107.868,172.0,1.93,7.576,1.302,55.0,9.650851655621144,38.60340662248458,0.25,0.75,0.01286780220749486,0.000580674922591304,0.580674922591304,P6_3/mmc,194,8,LiAg3
Mg,24.305,173.0,1.31,7.646,,71.2,12.8252820305939,38.475846091781705,0.3333333333333333,0.6666666666666666,0.01923792304589085,0.0006242489771770174,0.6242489771770173,Immm,71,3,LiMg2
Pr,140.90766,239.0,1.13,5.464,,216.0,25.556622163834202,34.0754962184456,0.75,0.25,0.1022264886553368,0.0010267846612828206,1.0267846612828206,Fm-3m,225,4,Li3Pr
Se,78.97,190.0,2.55,9.752,2.021,28.9,9.659878001782918,14.489817002674377,0.6666666666666666,0.3333333333333333,0.028979634005348753,0.0005497240546315091,0.5497240546315091,Fm-3m,225,3,Li2Se
Si,28.085,210.0,1.9,8.152,1.385,37.3,13.140352037946972,16.269007285077205,0.8076923076923077,0.19230769230769232,0.06832983059732425,0.0008588129533928696,0.8588129533928696,F-43m,216,104,Li21Si5
Mg,24.305,173.0,1.31,7.646,,71.2,15.473620767766063,61.89448307106425,0.25,0.75,0.020631494357021416,0.0007211413297078116,0.7211413297078116,Pm-3m,221,4,LiMg3
Pb,207.0,202.0,2.33,7.417,0.36,57.0,14.003003460456203,17.185504246923525,0.8148148148148148,0.18518518518518517,0.0756162186864635,0.0007521978541213252,0.7521978541213252,F-43m,216,108,Li22Pb5
Ba,137.33,268.0,0.89,5.212,,272.0,15.293689961973486,61.174759847893945,0.25,0.75,0.020391586615964647,0.0002785746160991824,0.2785746160991824,I4/mmm,139,4,Ba3Li
Hg,200.59,209.0,2.0,10.438,,33.0,5.153514054961987,20.61405621984795,0.25,0.75,0.006871352073282651,0.00023472866999294163,0.23472866999294162,Fm-3m,225,4,LiHg3
O,15.999,152.0,3.44,13.618,1.461,5.3,0.8421584606797389,7.57942614611765,0.1111111111111111,0.8888888888888888,0.0009474282682647063,6.013623019092165e-05,0.06013623019092165,C2/m,12,9,LiO8
C,12.011,170.0,2.55,11.26,1.263,11.3,10.430360906489966,15.645541359734949,0.6666666666666666,0.3333333333333333,0.0312910827194699,0.000894516702795378,0.894516702795378,Fm-3m,225,3,Li2C
Yb,173.05,242.0,,6.254,,139.0,23.616784982147177,31.489046642862903,0.75,0.25,0.09446713992858871,0.0010584427083372716,1.0584427083372716,Fm-3m,225,4,Li3Yb
Eu,151.964,233.0,,5.67,,184.0,31.95038327003706,127.80153308014825,0.25,0.75,0.04260051102671608,0.00082170824809464,0.8217082480946399,P6_3/mmc,194,8,LiEu3
W,183.84,210.0,2.36,7.98,0.815,68.0,1.2991164661379875,1.7321552881839835,0.75,0.25,0.00519646586455195,8.113908903227736e-05,0.08113908903227736,I4/mmm,139,4,Li3W
Ho,164.93033,216.0,1.23,6.022,,156.0,18.116510353308133,72.46604141323253,0.25,0.75,0.024155347137744174,0.000630868990586545,0.630868990586545,Pm-3m,221,4,LiHo3
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,18.0199255459288,72.0797021837152,0.25,0.75,0.024026567394571735,0.0013584931979113968,1.3584931979113968,Imm2,44,4,LiRh3
Co,58.93319,192.0,1.88,7.881,0.661,55.0,2.18039669610825,2.907195594811,0.75,0.25,0.008721586784433001,0.00015485029164171078,0.15485029164171077,I4/mmm,139,4,Li3Co
K,39.0983,275.0,0.82,4.341,0.501,289.7,11.8202212330917,15.760294977455601,0.75,0.25,0.047280884932366804,0.0003636184651381692,0.3636184651381692,Fm-3m,225,4,KLi3
Mg,24.305,173.0,1.31,7.646,,71.2,14.86577194169155,59.4630877667662,0.25,0.75,0.019821029255588735,0.0006866777537543174,0.6866777537543174,Pmm2,25,4,LiMg3
Ir,192.22,202.0,2.2,9.1,1.565,54.0,4.739840310934339,18.959361243737355,0.25,0.75,0.006319787081245785,0.00034681142179704893,0.34681142179704894,Cm,8,4,LiIr3
Tb,158.92535,221.0,,5.864,,170.0,21.212683301634062,84.85073320653625,0.25,0.75,0.028283577735512083,0.0007156256769833986,0.7156256769833986,P6_3/mmc,194,8,LiTb3
Si,28.085,210.0,1.9,8.152,1.385,37.3,1.8753870050727006,7.5015480202908025,0.25,0.75,0.002500516006763601,0.00013258377377898796,0.13258377377898797,I4/mmm,139,4,LiSi3
Mg,24.305,173.0,1.31,7.646,,71.2,11.133628913144157,178.13806261030652,0.0625,0.9375,0.011875870840687102,0.0004998157523012759,0.4998157523012759,P-6m2,187,16,LiMg15
Ga,69.723,187.0,1.81,5.999,0.3,50.0,4.337517207421675,8.67503441484335,0.5,0.5,0.008675034414843349,0.00029664211489303677,0.29664211489303677,Fd-3m,227,4,LiGa
Pb,207.0,202.0,2.33,7.417,0.36,57.0,13.48998312756162,16.66409680463494,0.8095238095238095,0.19047619047619047,0.0708224114196985,0.0007137679205759464,0.7137679205759464,F-43m,216,105,Li17Pb4
Mg,24.305,173.0,1.31,7.646,,71.2,13.372238417793252,80.2334305067595,0.16666666666666666,0.8333333333333334,0.0160466861013519,0.0006100572362147018,0.6100572362147018,P-62m,189,6,LiMg5
Tb,158.92535,221.0,,5.864,,170.0,32.66632559061604,130.66530236246416,0.25,0.75,0.04355510078748805,0.0011252852140610143,1.1252852140610143,I4/mmm,139,4,LiTb3
Gd,157.25,237.0,1.2,6.15,,158.0,15.46121239127035,61.8448495650814,0.25,0.75,0.020614949855027133,0.0005156232375157938,0.5156232375157939,P6_3/mmc,194,8,LiGd3
Br,79.9,183.0,2.96,11.814,3.365,21.0,4.485602707869213,8.971205415738426,0.5,0.5,0.008971205415738426,0.00018060798906463697,0.18060798906463696,P6_3mc,186,4,LiBr
K,39.0983,275.0,0.82,4.341,0.501,289.7,12.355850632417374,16.47446750988983,0.75,0.25,0.049423402529669494,0.0003912369659761718,0.3912369659761718,I4/mmm,139,4,KLi3
Co,58.93319,192.0,1.88,7.881,0.661,55.0,1.8062524701053118,2.4083366268070825,0.75,0.25,0.007225009880421247,0.0001344076858548293,0.1344076858548293,P6_3/mmc,194,8,Li3Co
Ac,227.02775,260.0,1.1,5.17,,282.0,13.634764704525487,54.53905881810195,0.25,0.75,0.01817968627270065,0.0003391809707329945,0.33918097073299447,Pm-3m,221,4,LiAc3
Bi,208.9804,207.0,2.02,7.289,0.946,53.0,13.114259749988012,17.485679666650682,0.75,0.25,0.05245703899995205,0.0007004742166216941,0.7004742166216941,Fm-3m,225,4,Li3Bi
Mg,24.305,173.0,1.31,7.646,,71.2,3.5080810988986504,7.016162197797301,0.5,0.5,0.0070161621977973005,0.00017305542889146605,0.17305542889146605,P4/mmm,123,2,LiMg
Mg,24.305,173.0,1.31,7.646,,71.2,17.90591498006629,23.874553306755047,0.75,0.25,0.07162365992026515,0.0008883221968332785,0.8883221968332785,Fm-3m,225,4,Li3Mg
Pd,106.42,202.0,2.2,8.337,0.557,26.14,3.5551581521786173,5.332737228267926,0.6666666666666666,0.3333333333333333,0.010665474456535852,0.00025988493939855807,0.25988493939855806,P6/mmm,191,3,Li2Pd
O,15.999,152.0,3.44,13.618,1.461,5.3,0.6939110828974998,1.3878221657949996,0.5,0.5,0.0013878221657949996,8.79650418040317e-05,0.0879650418040317,P6_3/mmc,194,8,Li2O2
Yb,173.05,242.0,,6.254,,139.0,26.61638456826238,106.46553827304952,0.25,0.75,0.03548851275768317,0.0009537190373710187,0.9537190373710187,P6_3/mmc,194,8,LiYb3
Pb,207.0,202.0,2.33,7.417,0.36,57.0,11.755253228278724,15.673670971038298,0.75,0.25,0.0470210129131149,0.000644284618804435,0.644284618804435,I4/mmm,139,4,Li3Pb
As,74.92159,185.0,2.18,9.815,0.81,30.0,2.5867140772807065,10.346856309122826,0.25,0.75,0.003448952103040942,0.00013845363890533957,0.13845363890533957,P6_3/mmc,194,8,LiAs3
Ni,58.693,163.0,1.91,7.64,1.156,49.0,2.1773748582563117,2.9031664776750823,0.75,0.25,0.008709499433025247,0.00015239868919458556,0.15239868919458555,P6_3/mmc,194,8,Li3Ni
Eu,151.964,233.0,,5.67,,184.0,26.647099976302602,35.529466635070136,0.75,0.25,0.10658839990521041,0.0009189265066819189,0.9189265066819189,Fm-3m,225,4,Li3Eu
B,10.81,192.0,2.04,8.298,0.277,20.5,5.07476656328963,10.14953312657926,0.5,0.5,0.010149533126579261,0.00013306362166118674,0.13306362166118674,Pmma,51,8,LiB
Mg,24.305,173.0,1.31,7.646,,71.2,15.399760696502241,46.199282089506724,0.3333333333333333,0.6666666666666666,0.02309964104475336,0.000714109494004973,0.714109494004973,P6_3/mmc,194,6,LiMg2
Mg,24.305,173.0,1.31,7.646,,71.2,14.18542938023459,56.74171752093836,0.25,0.75,0.018913905840312786,0.0006539714490335998,0.6539714490335998,P-6m2,187,4,LiMg3
Np,237.048172,221.0,1.36,6.266,,160.0,15.509652871362876,20.67953716181717,0.75,0.25,0.062038611485451506,0.0006843660243347545,0.6843660243347546,P6_3/mmc,194,8,Li3Np
Au,196.96657,166.0,2.54,9.226,2.309,36.06,6.320528580909725,25.2821143236389,0.25,0.75,0.008427371441212967,0.00038675792630063607,0.38675792630063605,Pm-3m,221,4,LiAu3
Sb,121.76,206.0,2.05,8.64,1.07,43.0,11.616281118140162,15.488374824186883,0.75,0.25,0.04646512447256065,0.0006629389521296275,0.6629389521296275,Fm-3m,225,4,Li3Sb
S,32.07,180.0,2.58,10.36,2.077,19.4,5.702335187590275,11.40467037518055,0.5,0.5,0.011404670375180549,0.00034034015306486516,0.34034015306486515,I-4m2,119,2,LiS
B,10.81,192.0,2.04,8.298,0.277,20.5,1.3705230561809998,2.4669415011257994,0.5555555555555556,0.4444444444444444,0.0030836768764072493,0.00014238758239319617,0.14238758239319618,Cm,8,9,Li5B4
Ge,72.63,211.0,2.01,7.9,1.35,40.0,11.72174258339002,16.931405953785582,0.6923076923076923,0.3076923076923077,0.03809566339601756,0.0007649212395355642,0.7649212395355642,Cmcm,63,26,Li9Ge4
Cu,63.55,140.0,1.9,7.726,1.228,46.5,14.222040402636114,56.88816161054446,0.25,0.75,0.01896272053684815,0.0012286073466319652,1.2286073466319651,I4/mmm,139,4,LiCu3
Ga,69.723,187.0,1.81,5.999,0.3,50.0,17.628143167777463,23.504190890369948,0.75,0.25,0.07051257267110984,0.0011236238712273646,1.1236238712273645,I4/mmm,139,4,Li3Ga
Si,28.085,210.0,1.9,8.152,1.385,37.3,13.847689615975591,17.540406846902414,0.7894736842105263,0.21052631578947367,0.06577652567588406,0.000894723487241199,0.894723487241199,I-43d,220,38,Li15Si4
Ge,72.63,211.0,2.01,7.9,1.35,40.0,1.3341615897781254,2.6683231795562508,0.5,0.5,0.0026683231795562507,8.560970212931544e-05,0.08560970212931543,I4_1/amd,141,12,LiGe
Nd,144.24,229.0,1.14,5.525,,208.0,24.987800855193985,33.317067806925316,0.75,0.25,0.09995120342077594,0.0010135392702070648,1.0135392702070647,Fm-3m,225,4,Li3Nd
Cl,35.45,175.0,3.16,12.968,3.617,14.6,4.700399878097863,9.400799756195726,0.5,0.5,0.009400799756195725,0.00022169080712211968,0.2216908071221197,P6_3mc,186,4,LiCl
As,74.92159,185.0,2.18,9.815,0.81,30.0,7.389241839593813,14.778483679187627,0.5,0.5,0.014778483679187627,0.00041138591494309303,0.411385914943093,P2_1/c,14,16,LiAs
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.9550355455569167,1.3223569092326537,0.7222222222222222,0.2777777777777778,0.0034381279640049002,5.3687443972749226e-05,0.05368744397274922,P-3m1,164,18,Li13Sn5
Sm,150.4,229.0,1.17,5.644,,192.0,25.455674104482775,33.940898805977035,0.75,0.25,0.1018226964179311,0.001064111287172761,1.064111287172761,Fm-3m,225,4,Li3Sm
F,18.99840316,135.0,3.98,17.423,3.339,3.74,8.12876769215665,16.2575353843133,0.5,0.5,0.0162575353843133,0.0009695551289110072,0.9695551289110071,Pm-3m,221,2,LiF
O,15.999,152.0,3.44,13.618,1.461,5.3,1.0494729074944,3.1484187224832,0.3333333333333333,0.6666666666666666,0.0015742093612416,0.0001145141014129952,0.1145141014129952,C2/m,12,6,LiO2
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.5925353163902497,0.8464790234146424,0.7,0.3,0.001975117721300832,4.060477859188621e-05,0.04060477859188621,C2,5,60,Li7Si3
Hg,200.59,209.0,2.0,10.438,,33.0,12.426190638381158,16.56825418450821,0.75,0.25,0.04970476255352463,0.0007118289918753508,0.7118289918753508,P6_3/mmc,194,8,Li3Hg
Re,186.207,217.0,1.9,7.88,0.15,62.0,1.1665245281704375,1.5553660375605831,0.75,0.25,0.00466609811268175,8.135267700988353e-05,0.08135267700988352,P6_3/mmc,194,8,Li3Re
B,10.81,192.0,2.04,8.298,0.277,20.5,5.0634059652464165,60.760871582956995,0.08333333333333333,0.9166666666666666,0.005523715598450636,0.0007200758674240931,0.7200758674240931,F-43m,216,12,LiB11
Y,88.90584,219.0,1.22,6.217,0.307,162.0,20.99839429080225,27.997859054402998,0.75,0.25,0.083993577163209,0.0009005830936223113,0.9005830936223114,P6_3/mmc,194,8,Li3Y
