Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Be,9.012183,153.0,1.57,9.323,,37.74,1.6028075660796253,4.808422698238876,0.3333333333333333,0.6666666666666666,0.002404211349119438,0.000186924670651421,0.186924670651421,P6_3/mmc,194,12,MnBe2
O,15.999,152.0,3.44,13.618,1.461,5.3,2.1908394919474214,5.946564335285858,0.3684210526315789,0.631578947368421,0.003468829195583417,0.00022097425241714288,0.22097425241714289,Im-3,204,19,Mn7O12
Pd,106.42,202.0,2.2,8.337,0.557,26.14,35.870901767365,71.74180353473,0.5,0.5,0.07174180353473,0.002384727303310878,2.384727303310878,Pm-3m,221,2,MnPd
Si,28.085,210.0,1.9,8.152,1.385,37.3,3.5290091907485976,9.645958454712833,0.36585365853658536,0.6341463414634146,0.005564976031565096,0.000294232061849204,0.294232061849204,I-42d,122,82,Mn15Si26
O,15.999,152.0,3.44,13.618,1.461,5.3,2.558293359112625,5.11658671822525,0.5,0.5,0.0051165867182252495,0.00017843707302817323,0.17843707302817324,F-43m,216,2,MnO
Au,196.96657,166.0,2.54,9.226,2.309,36.06,10.826059090849961,48.11581818155538,0.225,0.775,0.01396910850432253,0.0006432653340688734,0.6432653340688734,P4/m,83,40,Mn9Au31
Ta,180.9479,217.0,1.5,7.89,0.322,74.0,2.942938715459959,4.414408073189938,0.6666666666666666,0.6666666666666666,0.004414408073189938,0.0002113456635389486,0.2113456635389486,P6_3/mmc,194,12,TaMn2
B,10.81,192.0,2.04,8.298,0.277,20.5,1.2959097920636564,2.591819584127313,0.5,0.5,0.002591819584127313,0.00011421485985007602,0.11421485985007601,P4_2/ncm,138,16,MnB
F,18.99840316,135.0,3.98,17.423,3.339,3.74,1.329244137765544,5.316976551062176,0.25,0.75,0.0017723255170207254,0.00010666234738661584,0.10666234738661584,P321,150,24,MnF3
Te,127.6,206.0,2.1,9.01,1.971,38.0,5.408123979864913,10.816247959729825,0.5,0.5,0.010816247959729824,0.00021275760451517544,0.21275760451517545,Pnma,62,8,MnTe
P,30.973762,180.0,2.19,10.487,0.746,25.0,3.163675843408462,6.327351686816924,0.5,0.5,0.006327351686816925,0.00024405536428947138,0.2440553642894714,P6_3/mmc,194,4,MnP
H,1.008,120.0,2.2,13.598,0.754,4.50711,3.538306161334838,3.7823272759096542,0.9354838709677419,0.06451612903225806,0.05484374550068999,0.00033767154648557733,0.33767154648557735,Cm,8,31,Mn29H2
S,32.07,180.0,2.58,10.36,2.077,19.4,2.8369566423250996,8.5108699269753,0.3333333333333333,0.6666666666666666,0.00425543496348765,0.00020097327222397013,0.20097327222397013,Pnnm,58,6,MnS2
Sb,121.76,206.0,2.05,8.64,1.07,43.0,3.5416346258707105,5.902724376451184,0.6,0.4,0.008854086564676776,0.00020415277118391827,0.20415277118391828,P-6m2,187,5,Mn3Sb2
Pd,106.42,202.0,2.2,8.337,0.557,26.14,35.44829729245756,70.89659458491512,0.5,0.5,0.07089659458491512,0.0023543668291656195,2.3543668291656195,P4/mmm,123,4,MnPd
