Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Sb,121.76,206.0,2.05,8.64,1.07,43.0,8.427942822591232,11.237257096788309,0.75,0.25,0.03371177129036493,0.0005664743130329154,0.5664743130329154,Pmmn,59,8,Cu3Sb
Br,79.9,183.0,2.96,11.814,3.365,21.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,P6_3/mmc,194,4,CuBr
Ti,47.867,187.0,1.54,6.828,0.079,100.0,17.254981737131065,51.7649452113932,0.3333333333333333,0.3333333333333333,0.051764945211393194,0.0011024930341975467,1.1024930341975467,Fd-3m,227,24,Ti2Cu
Li,7.0,182.0,0.98,5.392,0.618,164.1125,14.243750556491062,18.99166740865475,0.75,0.75,0.01899166740865475,0.0012308993271740317,1.2308993271740316,P6_3/mmc,194,8,LiCu3
Pt,195.08,209.0,2.28,9.0,2.128,48.0,3.333707262442,13.334829049768,0.25,0.75,0.004444943016589333,2.2682342325222708e-05,0.022682342325222708,Cmmm,65,4,CuPt3
O,15.999,152.0,3.44,13.618,1.461,5.3,2.749782836327361,4.812119963572881,0.5714285714285714,0.42857142857142855,0.0064161599514305084,0.00023211966957388744,0.23211966957388744,I4_1/amd,141,14,Cu4O3
Te,127.6,206.0,2.1,9.01,1.971,38.0,3.9591651203961504,7.918330240792301,0.5,0.5,0.0079183302407923,0.00019091434492721698,0.19091434492721698,I4/mmm,139,2,CuTe
In,114.818,193.0,1.78,5.786,0.3,65.0,8.793399559021,17.586799118042,0.5,0.5,0.017586799118042,0.0004716133527000733,0.4716133527000733,P6_3/mmc,194,4,InCu
O,15.999,152.0,3.44,13.618,1.461,5.3,1.8321384637168496,4.580346159292125,0.4,0.6,0.0030535641061947495,0.0001883929228037601,0.1883929228037601,Ia-3,206,40,Cu2O3
As,74.92159,185.0,2.18,9.815,0.81,30.0,3.190054940162196,7.443461527045125,0.42857142857142855,0.5714285714285714,0.0055825961452838435,0.00015855486181348992,0.1585548618134899,Immm,71,14,Cu3As4
