Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Volume,mid,Reduced Formula
Tb,158.92535,221.0,,5.864,,170.0,4.337265388215506,5.783020517620676,0.75,0.25,0.017349061552862026,7.551744761456023e-05,0.07551744761456024,P6_3/mmc,194,8,459.47160824108727,1185125,K3Tb
S,32.07,180.0,2.58,10.36,2.077,19.4,7.813655507845693,11.720483261768539,0.6666666666666666,0.3333333333333333,0.02344096652353708,0.00026394980795885637,0.26394980795885636,P6_3/mmc,194,6,177.61684848197336,559278,K2S
In,114.818,193.0,1.78,5.786,0.3,65.0,5.070008630208962,20.280034520835848,0.25,0.75,0.006760011506945283,0.00016939832043832455,0.16939832043832456,Fm-3m,225,4,119.7180377489015,1185104,KIn3
Rb,85.468,303.0,0.82,4.177,0.468,319.8,2.1077779813296873,8.43111192531875,0.25,0.75,0.002810370641772916,2.314830815305791e-05,0.02314830815305791,Pm-3m,221,4,364.2215175973883,1185080,KRb3
Pb,207.0,202.0,2.33,7.417,0.36,57.0,5.5687126979524315,18.098316268345403,0.3076923076923077,0.6923076923076923,0.008043696119264624,0.00013872903116757623,0.13872903116757623,P2_1/m,11,52,2087.328498270415,680443,K4Pb9
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,1.2031651997596748,1.6042202663462333,0.75,0.25,0.0048126607990387,2.6291577876950345e-05,0.026291577876950346,P-3m1,164,4,183.0495233706733,1180789,K3Rh
N,14.007,155.0,3.04,14.534,,7.4,3.1398174440140254,9.419452332042075,0.3333333333333333,0.6666666666666666,0.004709726166021038,0.00019303226205423128,0.19303226205423127,Cmc2_1,36,6,97.5945909953201,1180757,KN2
Nd,144.24,229.0,1.14,5.525,,208.0,2.9132591514609634,3.8843455352812843,0.75,0.25,0.011653036605843853,5.126202424208687e-05,0.051262024242086875,I4/mmm,139,4,227.32298964262398,1184903,K3Nd
Pm,144.91276,236.0,,5.55,,200.0,8.194924310175576,16.389848620351152,0.5,0.5,0.01638984862035115,0.0001899584546363813,0.1899584546363813,P-6m2,187,2,86.28122739640422,1185049,KPm
Hg,200.59,209.0,2.0,10.438,,33.0,3.7915230718312505,17.693774335212503,0.21428571428571427,0.7857142857142857,0.004825574818694319,0.00012621991622771163,0.12621991622771161,Immm,71,14,420.54633366951543,11028,K3Hg11
Os,190.2,216.0,2.2,8.7,1.1,57.0,1.9493608122334132,2.5991477496445508,0.75,0.25,0.007797443248933653,5.4781788679524164e-05,0.054781788679524164,I4/mmm,139,4,142.33641209762305,1185093,K3Os
Li,7.0,182.0,0.98,5.392,0.618,164.1125,2.116585127673875,2.8221135035651668,0.75,0.25,0.0084663405106955,3.646323726877234e-05,0.03646323726877234,I4/mmm,139,4,232.18839425281092,1184918,K3Li
Eu,151.964,233.0,,5.67,,184.0,15.702758178483586,62.811032713934345,0.25,0.75,0.02093701090464478,0.0003081680972209193,0.3081680972209193,Pm-3m,221,4,203.82068514024806,1185081,KEu3
Cs,132.905452,343.0,0.79,3.894,0.472,400.9,12.533296261191964,16.711061681589285,0.75,0.75,0.016711061681589284,0.00014403358175759588,0.14403358175759587,Pm-3m,221,4,348.06594707295744,1185543,CsK3
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,1.6984586313599372,2.2646115084799163,0.75,0.25,0.006793834525439749,4.689834709875199e-05,0.04689834709875199,P6_3/mmc,194,8,289.725968854904,976126,K3Rh
Sm,150.4,229.0,1.17,5.644,,192.0,3.143192540208087,4.190923386944116,0.75,0.25,0.012572770160832348,5.4665143659586356e-05,0.05466514365958636,I4/mmm,139,4,229.99610572920398,973554,K3Sm
Lu,174.9667,221.0,1.27,5.426,,137.0,5.107894633573325,10.21578926714665,0.5,0.5,0.010215789267146651,0.00012869878568129008,0.1286987856812901,P-6m2,187,2,79.37751093040653,973245,KLu
Tb,158.92535,221.0,,5.864,,170.0,2.7849740273605366,3.713298703147382,0.75,0.25,0.011139896109442146,4.945044303342267e-05,0.049450443033422664,I4/mmm,139,4,225.27393944504988,1185123,K3Tb
Ge,72.63,211.0,2.01,7.9,1.35,40.0,1.691208452453025,3.38241690490605,0.5,0.5,0.0033824169049060503,4.264708005999348e-05,0.04264708005999348,Fm-3m,225,2,79.31180517277758,1059264,KGe
Ir,192.22,202.0,2.2,9.1,1.565,54.0,1.4452721918919997,1.927029589189333,0.75,0.25,0.005781088767567999,4.16840293111148e-05,0.0416840293111148,P6_3/mmc,194,8,277.37667702035253,975821,K3Ir
Dy,162.5,229.0,1.22,5.939,,163.0,3.132931999330263,4.177242665773684,0.75,0.25,0.012531727997321052,5.469906889045136e-05,0.05469906889045136,Fm-3m,225,4,229.10313194579214,1184884,K3Dy
Ga,69.723,187.0,1.81,5.999,0.3,50.0,2.837260682623837,3.7830142434984495,0.75,0.25,0.011349042730495348,6.0379627321032095e-05,0.060379627321032095,I4/mmm,139,4,187.96145710131148,1184898,K3Ga
