Symbol_x,Structure,Result_1,Anion Site,Structure_SG
Si,Mn3 Si1,0.4478184777076563,0.33,Li-Si0.33
Si,Mn3 Si1,0.35645775091879733,0.33,Li-Si0.33
Si,Mn40 Si16,0.3889997195178956,0.4,Li-Si0.4
Si,Mn40 Si16,0.38879847061676676,0.4,Li-Si0.4
Si,Mn40 Si16,0.38145784569922087,0.4,Li-Si0.4
Si,Mn10 Si6,0.36949189983303266,0.6,Li-Si0.6
Si,Mn4 Si4,0.2589073042063245,1.0,Li-Si1.0
Si,Mn44 Si76,0.16333779279984892,1.73,Li-Si1.73
Si,Mn30 Si52,0.16195185224537234,1.73,Li-Si1.73
Si,Mn16 Si28,0.18988916771577372,1.75,Li-Si1.75
Si,Mn16 Si28,0.18923833780589316,1.75,Li-Si1.75
