Symbol_x,Structure,Result_1,Anion Site,Structure_SG
O,Mn2 O2,0.2968408194042396,1.0,Li-O1.0
O,Mn1 O1,0.05856211894075193,1.0,Li-O1.0
O,Mn12 O16,0.16450096213961224,1.33,Li-O1.33
O,Mn12 O16,0.16364208250381446,1.33,Li-O1.33
O,Mn6 O8,0.08480377968806908,1.33,Li-O1.33
O,Mn12 O16,0.05258485409347094,1.33,Li-O1.33
O,Mn9 O13,0.16721453469657385,1.44,Li-O1.44
O,Mn32 O48,0.11239939453455638,1.5,Li-O1.5
O,Mn32 O48,0.10798970195354099,1.5,Li-O1.5
O,Mn7 O12,0.07500276798740892,1.71,Li-O1.71
O,Mn1 O2,0.07269861846943827,2.0,Li-O2.0
O,Mn12 O24,0.05983250510276141,2.0,Li-O2.0
O,Mn20 O43,0.094812218378315,2.15,Li-O2.15
