Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_zn,ZnSites,CounterIonSites,results_per_counter_ion
Zn,65.4,139.0,1.65,9.394,,38.67,0.01378634555610568,0.02067951833415852,4.0,4.0,0.02067951833415852
Zn,65.4,139.0,1.65,9.394,,38.67,0.013741602443875532,0.018322136591834043,12.0,12.0,0.018322136591834043
Zn,65.4,139.0,1.65,9.394,,38.67,0.017507730695642022,0.035015461391284045,1.0,1.0,0.035015461391284045
Zn,65.4,139.0,1.65,9.394,,38.67,0.012287136687178924,0.022608331504409218,50.0,50.0,0.022608331504409218
Zn,65.4,139.0,1.65,9.394,,38.67,0.010763576154845717,0.012720590001181302,33.0,33.0,0.012720590001181302
Zn,65.4,139.0,1.65,9.394,,38.67,0.01178517365781643,0.018519558605140103,35.0,35.0,0.018519558605140103
Zn,65.4,139.0,1.65,9.394,,38.67,0.011743128948496056,0.017614693422744084,8.0,8.0,0.017614693422744084
Zn,65.4,139.0,1.65,9.394,,38.67,0.003640601970777763,0.004854135961037017,3.0,3.0,0.004854135961037017
Zn,65.4,139.0,1.65,9.394,,38.67,0.011269852904624126,0.01213676466651829,26.0,26.0,0.01213676466651829
Zn,65.4,139.0,1.65,9.394,,38.67,0.018352353041840578,0.03408294136341821,7.0,7.0,0.03408294136341821
Zn,65.4,139.0,1.65,9.394,,38.67,0.013068586790231764,0.013885373464621249,32.0,32.0,0.013885373464621249
Zn,65.4,139.0,1.65,9.394,,38.67,0.006994757482776832,0.010492136224165248,16.0,16.0,0.010492136224165248
Zn,65.4,139.0,1.65,9.394,,38.67,0.006720681519540875,0.008960908692721167,3.0,3.0,0.008960908692721167
Zn,65.4,139.0,1.65,9.394,,38.67,0.01398329372418908,0.01562838710350544,17.0,17.0,0.01562838710350544
Zn,65.4,139.0,1.65,9.394,,38.67,0.014907070364974533,0.018972635009967587,11.0,11.0,0.018972635009967587
Zn,65.4,139.0,1.65,9.394,,38.67,0.00915012701869481,0.010397871612153194,44.0,44.0,0.010397871612153194
Zn,65.4,139.0,1.65,9.394,,38.67,0.013254473312984147,0.01445942543234634,22.0,22.0,0.01445942543234634
Zn,65.4,139.0,1.65,9.394,,38.67,0.013565432734760125,0.020348149102140188,4.0,4.0,0.020348149102140188
Zn,65.4,139.0,1.65,9.394,,38.67,0.01436667226286747,0.019155563017156627,12.0,12.0,0.019155563017156627
Zn,65.4,139.0,1.65,9.394,,38.67,0.019448648325720026,0.03889729665144005,1.0,1.0,0.03889729665144005
Zn,65.4,139.0,1.65,9.394,,38.67,0.014383231614877324,0.01760705939062569,116.0,116.0,0.01760705939062569
Zn,65.4,139.0,1.65,9.394,,38.67,0.01407166917471192,0.0157271596658545,17.0,17.0,0.0157271596658545
Zn,65.4,139.0,1.65,9.394,,38.67,0.00920785387612189,0.010463470313774875,44.0,44.0,0.010463470313774875
Zn,65.4,139.0,1.65,9.394,,38.67,0.013366021038405063,0.01458111386007825,22.0,22.0,0.01458111386007825
Zn,65.4,139.0,1.65,9.394,,38.67,0.012872826748506589,0.019309240122759884,4.0,4.0,0.019309240122759884
Zn,65.4,139.0,1.65,9.394,,38.67,0.016792856673760903,0.033585713347521806,1.0,1.0,0.033585713347521806
Zn,65.4,139.0,1.65,9.394,,38.67,0.012450134527259975,0.013914856236349384,17.0,17.0,0.013914856236349384
Zn,65.4,139.0,1.65,9.394,,38.67,0.01296110030940453,0.014728523078868783,44.0,44.0,0.014728523078868783
Zn,65.4,139.0,1.65,9.394,,38.67,0.00677665350909175,0.007297934548252654,26.0,26.0,0.007297934548252654
Zn,65.4,139.0,1.65,9.394,,38.67,0.011743104705727229,0.012721696764537832,12.0,12.0,0.012721696764537832
Zn,65.4,139.0,1.65,9.394,,38.67,0.016370318859506707,0.02455547828926006,8.0,8.0,0.02455547828926006
Zn,65.4,139.0,1.65,9.394,,38.67,0.015822894812212624,0.03164578962442525,1.0,1.0,0.03164578962442525
Zn,65.4,139.0,1.65,9.394,,38.67,0.01400257414186642,0.01564993580561541,17.0,17.0,0.01564993580561541
Zn,65.4,139.0,1.65,9.394,,38.67,0.014973279316358393,0.019056900948092502,11.0,11.0,0.019056900948092502
Zn,65.4,139.0,1.65,9.394,,38.67,0.00940441648021878,0.010686836909339524,44.0,44.0,0.010686836909339524
Zn,65.4,139.0,1.65,9.394,,38.67,0.013102809502743269,0.014194710294638542,12.0,12.0,0.014194710294638542
Zn,65.4,139.0,1.65,9.394,,38.67,0.0148670925195521,0.022300638779328148,4.0,4.0,0.022300638779328148
Zn,65.4,139.0,1.65,9.394,,38.67,0.014882422500935216,0.019843230001246954,12.0,12.0,0.019843230001246954
Zn,65.4,139.0,1.65,9.394,,38.67,0.020610023733461248,0.041220047466922496,1.0,1.0,0.041220047466922496
Zn,65.4,139.0,1.65,9.394,,38.67,0.01210842657408266,0.013039844002858248,26.0,26.0,0.013039844002858248
Zn,65.4,139.0,1.65,9.394,,38.67,0.012538322003244484,0.018807483004866725,4.0,4.0,0.018807483004866725
Zn,65.4,139.0,1.65,9.394,,38.67,0.00879550319443304,0.010554603833319649,20.0,20.0,0.010554603833319649
Zn,65.4,139.0,1.65,9.394,,38.67,0.012379362340470351,0.024758724680940702,4.0,4.0,0.024758724680940702
Zn,65.4,139.0,1.65,9.394,,38.67,0.012541760891110502,0.023291841654919505,7.0,7.0,0.023291841654919505
Zn,65.4,139.0,1.65,9.394,,38.67,0.014046791553316187,0.02107018732997428,16.0,16.0,0.02107018732997428
Zn,65.4,139.0,1.65,9.394,,38.67,0.014065389248107395,0.015720140924355325,17.0,17.0,0.015720140924355325
Zn,65.4,139.0,1.65,9.394,,38.67,0.013958148173946786,0.017764915857750453,11.0,11.0,0.017764915857750453
Zn,65.4,139.0,1.65,9.394,,38.67,0.01314645246491804,0.014241990170327875,12.0,12.0,0.014241990170327875
Zn,65.4,139.0,1.65,9.394,,38.67,0.015424189731029709,0.023136284596544564,4.0,4.0,0.023136284596544564
Zn,65.4,139.0,1.65,9.394,,38.67,0.015750968554067095,0.021001291405422794,12.0,12.0,0.021001291405422794
Zn,65.4,139.0,1.65,9.394,,38.67,0.020944338656115023,0.04188867731223005,1.0,1.0,0.04188867731223005
Zn,65.4,139.0,1.65,9.394,,38.67,0.012089687657288,0.013512003852263059,17.0,17.0,0.013512003852263059
Zn,65.4,139.0,1.65,9.394,,38.67,0.014417229357233089,0.04325168807169927,2.0,2.0,0.04325168807169927
Zn,65.4,139.0,1.65,9.394,,38.67,0.012640450641450432,0.018960675962175648,2.0,2.0,0.018960675962175648
Zn,65.4,139.0,1.65,9.394,,38.67,0.0119488031092573,0.014936003886571625,4.0,4.0,0.014936003886571625
Zn,65.4,139.0,1.65,9.394,,38.67,0.01989008126640733,0.05967024379922199,1.0,1.0,0.05967024379922199
Zn,65.4,139.0,1.65,9.394,,38.67,0.011823061977589207,0.012562003351188532,32.0,32.0,0.012562003351188532
Zn,65.4,139.0,1.65,9.394,,38.67,0.013803124192601447,0.015427021156436911,17.0,17.0,0.015427021156436911
Zn,65.4,139.0,1.65,9.394,,38.67,0.0129814431299085,0.014063230057400873,12.0,12.0,0.014063230057400873
Zn,65.4,139.0,1.65,9.394,,38.67,0.0160747211537046,0.024112081730556904,4.0,4.0,0.024112081730556904
Zn,65.4,139.0,1.65,9.394,,38.67,0.01535850330428431,0.020478004405712413,12.0,12.0,0.020478004405712413
Zn,65.4,139.0,1.65,9.394,,38.67,0.020684894739567927,0.04136978947913585,1.0,1.0,0.04136978947913585
Zn,65.4,139.0,1.65,9.394,,38.67,0.013213921919247466,0.014768500968570698,102.0,102.0,0.014768500968570698
Zn,65.4,139.0,1.65,9.394,,38.67,0.007009955515155332,0.012617919927279597,5.0,5.0,0.012617919927279597
Zn,65.4,139.0,1.65,9.394,,38.67,0.013560096064867813,0.018080128086490416,3.0,3.0,0.018080128086490416
Zn,65.4,139.0,1.65,9.394,,38.67,0.012794291572985133,0.014299502346277502,17.0,17.0,0.014299502346277502
Zn,65.4,139.0,1.65,9.394,,38.67,0.0138054275466615,0.017570544150296453,11.0,11.0,0.017570544150296453
Zn,65.4,139.0,1.65,9.394,,38.67,0.010556039401591626,0.01583405910238744,4.0,4.0,0.01583405910238744
Zn,65.4,139.0,1.65,9.394,,38.67,0.012147542101602153,0.013159837276735665,12.0,12.0,0.013159837276735665
Zn,65.4,139.0,1.65,9.394,,38.67,0.014292296018683592,0.019056394691578122,12.0,12.0,0.019056394691578122
Zn,65.4,139.0,1.65,9.394,,38.67,0.01337893865495915,0.016054726385950978,5.0,5.0,0.016054726385950978
Zn,65.4,139.0,1.65,9.394,,38.67,0.0167015373927695,0.033403074785539,1.0,1.0,0.033403074785539
Co,58.93319,192.0,1.88,7.881,0.661,55.0,0.009373701993491116,0.011078011446853137,22.0,4.0,0.06092906295769225
Ir,192.22,202.0,2.2,9.1,1.565,54.0,0.013670524696870709,0.016156074641756293,22.0,4.0,0.0888584105296596
Ni,58.693,163.0,1.91,7.64,1.156,49.0,0.009299111300366251,0.010989858809523752,22.0,4.0,0.06044422345238063
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,0.015655435158877865,0.018501877915037476,22.0,4.0,0.10176032853270611
Co,58.93319,192.0,1.88,7.881,0.661,55.0,0.007881353754098286,0.00848761173518277,13.0,1.0,0.11033895255737601
Fe,55.84,194.0,1.83,7.902,0.163,62.0,0.011395426567213715,0.012271997841614769,13.0,1.0,0.159535971940992
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,0.013145032726722393,0.014156189090316424,13.0,1.0,0.1840304581741135
As,74.92159,185.0,2.18,9.815,0.81,30.0,0.0036893899550769224,0.006148983258461537,96.0,64.0,0.009223474887692306
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.012125593094550921,0.01616745745940123,24.0,8.0,0.048502372378203686
N,14.007,155.0,3.04,14.534,,7.4,0.004097735258771438,0.006829558764619063,24.0,16.0,0.010244338146928595
P,30.973762,180.0,2.19,10.487,0.746,25.0,0.004188935780291026,0.006981559633818375,24.0,16.0,0.010472339450727564
Ru,101.1,207.0,2.2,7.361,1.05,72.0,0.007834071375995143,0.010445428501326856,6.0,2.0,0.03133628550398057
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.013124473810946648,0.020892019535792623,49.0,29.0,0.035300308870822014
Mo,95.95,209.0,2.16,7.092,0.746,87.0,0.005082365145764536,0.005929426003391958,6.0,1.0,0.03557655602035175
Ru,101.1,207.0,2.2,7.361,1.05,72.0,0.005851459622701289,0.006826702893151504,216.0,36.0,0.04096021735890902
Cu,63.55,140.0,1.9,7.726,1.228,46.5,0.007877632041942001,0.012801152068155752,16.0,10.0,0.020481843309049202
As,74.92159,185.0,2.18,9.815,0.81,30.0,0.0024194555531654584,0.0072583666594963755,8.0,16.0,0.0036291833297481878
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.010625893691975405,0.04250357476790162,8.0,24.0,0.014167858255967206
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.010626613111066526,0.02125322622213305,1.0,1.0,0.02125322622213305
Br,79.9,183.0,2.96,11.814,3.365,21.0,0.0010014791599699377,0.003004437479909813,16.0,32.0,0.0015022187399549064
Cl,35.45,175.0,3.16,12.968,3.617,14.6,0.0008450421961375831,0.0025351265884127495,2.0,4.0,0.0012675632942063747
Cu,63.55,140.0,1.9,7.726,1.228,46.5,0.007999568302550799,0.015999136605101598,1.0,1.0,0.015999136605101598
F,18.99840316,135.0,3.98,17.423,3.339,3.74,0.0013512439053112166,0.00405373171593365,2.0,4.0,0.002026865857966825
I,126.9045,198.0,2.66,10.451,3.059,32.9,0.0011424745105748956,0.0034274235317246866,16.0,32.0,0.0017137117658623433
Ni,58.693,163.0,1.91,7.64,1.156,49.0,0.014168631183792274,0.028337262367584548,2.0,2.0,0.028337262367584548
O,15.999,152.0,3.44,13.618,1.461,5.3,0.002749504732012225,0.00549900946402445,2.0,2.0,0.00549900946402445
P,30.973762,180.0,2.19,10.487,0.746,25.0,0.0019489147847535835,0.00584674435426075,8.0,16.0,0.002923372177130375
Pd,106.42,202.0,2.2,8.337,0.557,26.14,0.008260789955924833,0.0247823698677745,4.0,8.0,0.01239118493388725
Pd,106.42,202.0,2.2,8.337,0.557,26.14,0.02412729228958114,0.04825458457916228,2.0,2.0,0.04825458457916228
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.012766045737062399,0.051064182948249597,1.0,3.0,0.0170213943160832
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.009516191405574977,0.019032382811149953,2.0,2.0,0.019032382811149953
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,0.026013947076853623,0.052027894153707246,1.0,1.0,0.052027894153707246
Sb,121.76,206.0,2.05,8.64,1.07,43.0,0.004296517416322107,0.008593034832644213,8.0,8.0,0.008593034832644213
Se,78.97,190.0,2.55,9.752,2.021,28.9,0.00318596403333975,0.00955789210001925,4.0,8.0,0.004778946050009625
Se,78.97,190.0,2.55,9.752,2.021,28.9,0.002714426736387858,0.005428853472775716,1.0,1.0,0.005428853472775716
S,32.07,180.0,2.58,10.36,2.077,19.4,0.002662137362141089,0.005324274724282178,28.0,28.0,0.005324274724282178
Te,127.6,206.0,2.1,9.01,1.971,38.0,0.0027145380066721,0.0054290760133442,3.0,3.0,0.0054290760133442
Zn,65.4,139.0,1.65,9.394,,38.67,0.015521208603535242,0.023281812905302863,4.0,4.0,0.023281812905302863
Zn,65.4,139.0,1.65,9.394,,38.67,0.0178767167006873,0.0357534334013746,1.0,1.0,0.0357534334013746
