Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_zn,ZnSites,CounterIonSites,results_per_counter_ion
Zn,65.4,139.0,1.65,9.394,,38.67,0.012687327793330533,0.0380619833799916,1.0,1.0,0.0380619833799916
Zn,65.4,139.0,1.65,9.394,,38.67,0.008222696998784803,0.00885521215253748,26.0,26.0,0.00885521215253748
Zn,65.4,139.0,1.65,9.394,,38.67,0.011320006897382141,0.016980010346073212,4.0,4.0,0.016980010346073212
Zn,65.4,139.0,1.65,9.394,,38.67,0.009283639459045917,0.011140367350855102,10.0,10.0,0.011140367350855102
Zn,65.4,139.0,1.65,9.394,,38.67,0.010971699038503905,0.02925786410267708,6.0,6.0,0.02925786410267708
Zn,65.4,139.0,1.65,9.394,,38.67,0.011623928398812622,0.012680649162341044,22.0,22.0,0.012680649162341044
Zn,65.4,139.0,1.65,9.394,,38.67,0.00833878065957045,0.012508170989355676,4.0,4.0,0.012508170989355676
Zn,65.4,139.0,1.65,9.394,,38.67,0.009078331953954417,0.0108939983447453,5.0,5.0,0.0108939983447453
Zn,65.4,139.0,1.65,9.394,,38.67,0.01178620921516396,0.02357241843032792,2.0,2.0,0.02357241843032792
Zn,65.4,139.0,1.65,9.394,,38.67,0.009733952872600843,0.010879123798789178,17.0,17.0,0.010879123798789178
Zn,65.4,139.0,1.65,9.394,,38.67,0.008026319355352135,0.010215315543175445,11.0,11.0,0.010215315543175445
Zn,65.4,139.0,1.65,9.394,,38.67,0.010111730958869582,0.011490603362351798,44.0,44.0,0.011490603362351798
Zn,65.4,139.0,1.65,9.394,,38.67,0.009939915092440667,0.010843543737208,22.0,22.0,0.010843543737208
Zn,65.4,139.0,1.65,9.394,,38.67,0.006415838178969885,0.009623757268454828,4.0,4.0,0.009623757268454828
Zn,65.4,139.0,1.65,9.394,,38.67,0.0051687204593777805,0.006891627279170374,12.0,12.0,0.006891627279170374
Zn,65.4,139.0,1.65,9.394,,38.67,0.013723397000008814,0.015337914294127498,17.0,17.0,0.015337914294127498
Zn,65.4,139.0,1.65,9.394,,38.67,0.013427588768554072,0.01708965843270518,11.0,11.0,0.01708965843270518
Zn,65.4,139.0,1.65,9.394,,38.67,0.012907390221268002,0.013983006073040335,12.0,12.0,0.013983006073040335
Zn,65.4,139.0,1.65,9.394,,38.67,0.013730584474114077,0.020595876711171114,4.0,4.0,0.020595876711171114
Zn,65.4,139.0,1.65,9.394,,38.67,0.015066880825873593,0.020089174434498123,12.0,12.0,0.020089174434498123
Zn,65.4,139.0,1.65,9.394,,38.67,0.0109162879152282,0.01309954549827384,5.0,5.0,0.01309954549827384
Zn,65.4,139.0,1.65,9.394,,38.67,0.0197299124629135,0.039459824925827,1.0,1.0,0.039459824925827
Zn,65.4,139.0,1.65,9.394,,38.67,0.013858821732289183,0.015489271347852617,17.0,17.0,0.015489271347852617
Zn,65.4,139.0,1.65,9.394,,38.67,0.013034874036062575,0.01412111353906779,12.0,12.0,0.01412111353906779
Zn,65.4,139.0,1.65,9.394,,38.67,0.016168892530722335,0.024253338796083504,4.0,4.0,0.024253338796083504
Zn,65.4,139.0,1.65,9.394,,38.67,0.01548650456618906,0.02064867275491875,12.0,12.0,0.02064867275491875
Zn,65.4,139.0,1.65,9.394,,38.67,0.020874456946643777,0.041748913893287554,1.0,1.0,0.041748913893287554
Zn,65.4,139.0,1.65,9.394,,38.67,0.012840450959663728,0.014007764683269523,22.0,22.0,0.014007764683269523
Zn,65.4,139.0,1.65,9.394,,38.67,0.016544123696148244,0.024816185544222366,4.0,4.0,0.024816185544222366
Zn,65.4,139.0,1.65,9.394,,38.67,0.010468368778862031,0.012562042534634438,5.0,5.0,0.012562042534634438
Zn,65.4,139.0,1.65,9.394,,38.67,0.018340400486500374,0.03668080097300075,1.0,1.0,0.03668080097300075
Zn,65.4,139.0,1.65,9.394,,38.67,0.008622507522891816,0.009636920172643795,17.0,17.0,0.009636920172643795
Zn,65.4,139.0,1.65,9.394,,38.67,0.009514912932101174,0.014272369398151762,4.0,4.0,0.014272369398151762
Zn,65.4,139.0,1.65,9.394,,38.67,0.01370485504201845,0.0274097100840369,1.0,1.0,0.0274097100840369
Zn,65.4,139.0,1.65,9.394,,38.67,0.0146322697016687,0.0438968091050061,1.0,1.0,0.0438968091050061
Zn,65.4,139.0,1.65,9.394,,38.67,0.013570174115559117,0.020355261173338676,4.0,4.0,0.020355261173338676
Zn,65.4,139.0,1.65,9.394,,38.67,0.009082574489988416,0.011118323944640992,116.0,116.0,0.011118323944640992
Zn,65.4,139.0,1.65,9.394,,38.67,0.0138591192592215,0.01548960387795344,17.0,17.0,0.01548960387795344
Zn,65.4,139.0,1.65,9.394,,38.67,0.012956431784355845,0.014036134433052164,12.0,12.0,0.014036134433052164
Zn,65.4,139.0,1.65,9.394,,38.67,0.013503440812194218,0.020255161218291327,4.0,4.0,0.020255161218291327
Zn,65.4,139.0,1.65,9.394,,38.67,0.014897533985404405,0.019863378647205873,12.0,12.0,0.019863378647205873
Zn,65.4,139.0,1.65,9.394,,38.67,0.018938895448663024,0.03787779089732605,1.0,1.0,0.03787779089732605
Zn,65.4,139.0,1.65,9.394,,38.67,0.007634519691776018,0.00822179043729725,26.0,26.0,0.00822179043729725
Zn,65.4,139.0,1.65,9.394,,38.67,0.013427124913589316,0.015006786668129235,17.0,17.0,0.015006786668129235
Zn,65.4,139.0,1.65,9.394,,38.67,0.01380494765748749,0.015687440519872146,44.0,44.0,0.015687440519872146
Zn,65.4,139.0,1.65,9.394,,38.67,0.012680316056795605,0.013833072061958841,22.0,22.0,0.013833072061958841
Zn,65.4,139.0,1.65,9.394,,38.67,0.012593184428923269,0.01356189092345583,26.0,26.0,0.01356189092345583
Zn,65.4,139.0,1.65,9.394,,38.67,0.015059243616191367,0.02258886542428705,4.0,4.0,0.02258886542428705
Zn,65.4,139.0,1.65,9.394,,38.67,0.01339190865524662,0.016739885819058276,8.0,8.0,0.016739885819058276
Zn,65.4,139.0,1.65,9.394,,38.67,0.017301346910428048,0.034602693820856095,1.0,1.0,0.034602693820856095
Zn,65.4,139.0,1.65,9.394,,38.67,0.01251044979803424,0.02502089959606848,2.0,2.0,0.02502089959606848
Zn,65.4,139.0,1.65,9.394,,38.67,0.009529162929909159,0.010650240921663178,17.0,17.0,0.010650240921663178
Zn,65.4,139.0,1.65,9.394,,38.67,0.012343068220232385,0.013371657238585084,12.0,12.0,0.013371657238585084
