Symbol,Structure,Total Sites,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Volume,mid,Composition
S,Zn24 S24,48,24.0,24.0,0.045147236587780026,0.0009405674289120839,0.0018811348578241678,0.0018811348578241678,938.384916464983,554999,Zn24 S24
Lu,Lu1 Zn1,2,1.0,1.0,0.02700055053296848,0.01350027526648424,0.02700055053296848,0.02700055053296848,41.270660194817765,11496,Lu1 Zn1
Rh,Zn1 Rh1,2,1.0,1.0,0.0434470282782159,0.02172351413910795,0.0434470282782159,0.0434470282782159,26.736970234488467,6938,Zn1 Rh1
Er,Er2 Zn4,6,4.0,4.0,0.07226614806865202,0.012044358011442003,0.018066537017163004,0.018066537017163004,114.46024608163313,1025096,Er2 Zn4
Er,Er2 Zn17,19,17.0,17.0,0.21126447286993974,0.011119182782628407,0.012427321933525868,0.012427321933525868,290.98465349679515,30963,Er2 Zn17
Ru,Zn216 Ru36,252,216.0,36.0,2.391259940841312,0.009489126749370287,0.011070647874265335,0.066423887245592,3815.1001264855727,1205290,Zn216 Ru36
Ho,Ho2 Zn17,19,17.0,17.0,0.21110918324950817,0.011111009644710956,0.012418187249971069,0.012418187249971069,292.1076691077206,30713,Ho2 Zn17
S,Zn6 S6,12,6.0,6.0,0.011303628592161497,0.0009419690493467914,0.0018839380986935828,0.0018839380986935828,234.58666029844755,555280,Zn6 S6
S,Zn50 S50,100,50.0,50.0,0.020326093508642007,0.00020326093508642008,0.00040652187017284016,0.00040652187017284016,2358.199571996786,1245201,Zn50 S50
O,Zn40 O40,80,40.0,40.0,0.10542959607487978,0.0013178699509359972,0.0026357399018719944,0.0026357399018719944,1085.0127535804775,1245209,Zn40 O40
S,Zn28 S28,56,28.0,28.0,0.05165978294880186,0.0009224961240857475,0.001844992248171495,0.001844992248171495,1095.5658123720746,555079,Zn28 S28
S,Zn50 S50,100,50.0,50.0,0.12781247780706861,0.001278124778070686,0.002556249556141372,0.002556249556141372,2478.010635561748,1245034,Zn50 S50
S,Zn28 S28,56,28.0,28.0,0.05069889642534636,0.0009053374361668993,0.0018106748723337987,0.0018106748723337987,1096.3257233674094,554503,Zn28 S28
S,Zn24 S24,48,24.0,24.0,0.04485011540281547,0.0009343774042253223,0.0018687548084506446,0.0018687548084506446,938.6258384378086,555628,Zn24 S24
Lu,Lu2 Zn17,19,17.0,17.0,0.07544386223223504,0.003970729591170265,0.004437874248955002,0.004437874248955002,288.7134667039611,30715,Lu2 Zn17
La,La2 Zn17,19,17.0,17.0,0.1963526358892236,0.010334349257327558,0.01155015505230727,0.01155015505230727,309.7668910736864,30709,La2 Zn17
