Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Volume,mid,Reduced Formula
S,32.07,180.0,2.58,10.36,2.077,19.4,0.9405674289120839,1.8811348578241678,0.5,0.5,0.0018811348578241678,4.811163925977784e-05,0.048111639259777836,P3m1,156,48,938.384916464983,554999,ZnS
Lu,174.9667,221.0,1.27,5.426,,137.0,13.50027526648424,27.00055053296848,0.5,0.5,0.02700055053296848,0.0006542311270406781,0.6542311270406781,Pm-3m,221,2,41.270660194817765,11496,LuZn
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,21.72351413910795,43.4470282782159,0.5,0.5,0.0434470282782159,0.001624979490838975,1.624979490838975,Pm-3m,221,2,26.736970234488467,6938,ZnRh
Er,167.26,235.0,1.24,6.108,,150.0,12.044358011442004,18.066537017163004,0.6666666666666666,0.6666666666666666,0.018066537017163004,0.0006313646051146155,0.6313646051146155,Imma,74,6,114.46024608163313,1025096,ErZn2
Er,167.26,235.0,1.24,6.108,,150.0,11.119182782628407,12.427321933525867,0.8947368421052632,0.8947368421052632,0.012427321933525868,0.0007260330410251912,0.7260330410251912,R-3m,166,19,290.98465349679515,30963,Er2Zn17
Ru,101.1,207.0,2.2,7.361,1.05,72.0,9.489126749370287,11.070647874265335,0.8571428571428571,0.14285714285714285,0.066423887245592,0.0006267882523555454,0.6267882523555454,P4_132,213,252,3815.1001264855727,1205290,Zn6Ru
Ho,164.93033,216.0,1.23,6.022,,156.0,11.111009644710956,12.41818724997107,0.8947368421052632,0.8947368421052632,0.012418187249971069,0.0007227101701724147,0.7227101701724147,R-3m,166,19,292.1076691077206,30713,Ho2Zn17
S,32.07,180.0,2.58,10.36,2.077,19.4,0.9419690493467914,1.8839380986935828,0.5,0.5,0.0018839380986935828,4.8185299956019286e-05,0.048185299956019285,R3m,160,12,234.58666029844755,555280,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,0.20326093508642007,0.40652187017284014,0.5,0.5,0.00040652187017284016,8.619327112942803e-06,0.008619327112942804,P1,1,100,2358.199571996786,1245201,ZnS
O,15.999,152.0,3.44,13.618,1.461,5.3,1.3178699509359972,2.6357399018719945,0.5,0.5,0.0026357399018719944,9.716899246296266e-05,0.09716899246296266,P1,1,80,1085.0127535804775,1245209,ZnO
S,32.07,180.0,2.58,10.36,2.077,19.4,0.9224961240857475,1.844992248171495,0.5,0.5,0.001844992248171495,4.715351863431207e-05,0.047153518634312074,P3m1,156,56,1095.5658123720746,555079,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,1.2781247780706861,2.5562495561413723,0.5,0.5,0.002556249556141372,5.157866393825804e-05,0.05157866393825804,P1,1,100,2478.010635561748,1245034,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,0.9053374361668993,1.8106748723337986,0.5,0.5,0.0018106748723337987,4.624437367904005e-05,0.04624437367904005,P3m1,156,56,1096.3257233674094,554503,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,0.9343774042253223,1.8687548084506447,0.5,0.5,0.0018687548084506446,4.7782741073334674e-05,0.047782741073334675,P3m1,156,48,938.6258384378086,555628,ZnS
Lu,174.9667,221.0,1.27,5.426,,137.0,3.9707295911702647,4.437874248955002,0.8947368421052632,0.8947368421052632,0.004437874248955002,0.0002613105065500568,0.2613105065500568,R-3m,166,19,288.7134667039611,30715,Lu2Zn17
La,138.9055,240.0,1.1,5.577,0.5,215.0,10.334349257327558,11.550155052307272,0.8947368421052632,0.8947368421052632,0.01155015505230727,0.0006338722489309417,0.6338722489309416,R-3m,166,19,309.7668910736864,30709,La2Zn17
S,32.07,180.0,2.58,10.36,2.077,19.4,0.25556371006875067,0.5111274201375013,0.5,0.5,0.0005111274201375013,1.2628125417153188e-05,0.012628125417153187,P3m1,156,80,1619.0128091164522,581405,ZnS
N,14.007,155.0,3.04,14.534,,7.4,0.40812175647957255,0.8162435129591451,0.5,0.5,0.0008162435129591451,4.221966553633816e-05,0.04221966553633816,Fm-3m,225,2,19.333253889863485,999473,ZnN
Tm,168.93422,227.0,1.25,6.184,,144.0,10.10272525901732,10.944619030602098,0.9230769230769231,0.9230769230769231,0.010944619030602098,0.0006744782076889451,0.6744782076889451,I4/mmm,139,13,194.72152972478878,1103916,TmZn12
Er,167.26,235.0,1.24,6.108,,150.0,17.52748212663849,35.05496425327698,0.5,0.5,0.03505496425327698,0.0008120981840492367,0.8120981840492367,Pm-3m,221,2,43.16591877904215,1660,ErZn
N,14.007,155.0,3.04,14.534,,7.4,0.904103738214973,1.5068395636916216,0.6,0.4,0.0022602593455374326,7.848401713508135e-05,0.07848401713508135,Ia-3,206,40,460.78362001215675,9460,Zn3N2
S,32.07,180.0,2.58,10.36,2.077,19.4,0.9404079476436698,1.8808158952873395,0.5,0.5,0.0018808158952873396,4.810297551536039e-05,0.04810297551536039,P3m1,156,40,781.9956562507247,556207,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,0.21422780679110742,0.42845561358221484,0.5,0.5,0.0004284556135822148,9.321270090151256e-06,0.009321270090151256,P1,1,100,2298.2684196379846,1244989,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,0.9451107364656421,1.8902214729312843,0.5,0.5,0.0018902214729312843,4.83531166153052e-05,0.0483531166153052,P3m1,156,48,938.2087138513705,553916,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,1.3029948629455756,2.6059897258911513,0.5,0.5,0.0026059897258911514,5.718763715473964e-05,0.05718763715473964,P1,1,100,2278.455498029936,1244974,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,0.16664342009208485,0.3332868401841697,0.5,0.5,0.0003332868401841697,8.161955707814301e-06,0.008161955707814302,R3m,160,36,735.0153980340059,1200836,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,0.2725059398551283,0.5450118797102566,0.5,0.5,0.0005450118797102565,1.1237034470348699e-05,0.0112370344703487,P1,1,100,2425.0698934331213,1244980,ZnS
Au,196.96657,166.0,2.54,9.226,2.309,36.06,6.849043817769837,13.698087635539673,0.5,0.5,0.013698087635539674,0.0004382344958679969,0.4382344958679969,Pm-3m,221,2,31.257438117481634,1684,ZnAu
Ce,140.116,235.0,1.12,5.539,0.5,205.0,6.763848048973915,7.686190964743085,0.88,0.88,0.007686190964743086,0.00040295264579695957,0.40295264579695955,I4_1/amd,141,50,839.285722469495,698212,Ce3Zn22
Eu,151.964,233.0,,5.67,,184.0,13.791676276709667,20.687514415064502,0.6666666666666666,0.6666666666666666,0.0206875144150645,0.0006343830256016372,0.6343830256016372,Imma,74,6,130.44179040222485,681,EuZn2
S,32.07,180.0,2.58,10.36,2.077,19.4,0.22444832181010843,0.44889664362021686,0.5,0.5,0.00044889664362021686,1.1061229488002296e-05,0.011061229488002295,R3m,160,24,486.99466268966034,581601,ZnS
Y,88.90584,219.0,1.22,6.217,0.307,162.0,10.437726389531134,13.284379041221444,0.7857142857142857,0.7857142857142857,0.013284379041221444,0.0005976107417830045,0.5976107417830046,Immm,71,14,244.52065405895223,1103536,Y3Zn11
S,32.07,180.0,2.58,10.36,2.077,19.4,1.3303510422136333,2.6607020844272666,0.5,0.5,0.0026607020844272664,5.4937668009304996e-05,0.054937668009304996,P1,1,100,2421.56445735612,1245035,ZnS
Th,232.038,237.0,1.3,6.08,,240.0,9.330225477624596,13.995338216436895,0.6666666666666666,0.6666666666666666,0.013995338216436896,0.0004350253304486896,0.4350253304486896,P6/mmm,191,3,64.34263587364883,7496,ThZn2
S,32.07,180.0,2.58,10.36,2.077,19.4,1.194368960790378,2.388737921580756,0.5,0.5,0.002388737921580756,4.935718687015761e-05,0.04935718687015761,P1,1,100,2419.848124513998,1245238,ZnS
Cl,35.45,175.0,3.16,12.968,3.617,14.6,5.782411586589357e-16,1.734723475976807e-15,0.3333333333333333,0.6666666666666666,8.673617379884035e-19,2.2427391523384694e-20,2.2427391523384695e-17,I-42d,122,6,154.6968557772791,22909,ZnCl2
S,32.07,180.0,2.58,10.36,2.077,19.4,0.9338044103671492,1.8676088207342985,0.5,0.5,0.0018676088207342984,4.7753215043409995e-05,0.04775321504340999,P6_3mc,186,40,782.1918666781079,561286,ZnS
Pr,140.90766,239.0,1.13,5.464,,216.0,10.197044502590673,20.394089005181346,0.5,0.5,0.020394089005181346,0.00040167875508111356,0.40167875508111356,Pm-3m,221,2,50.77213755321223,460,PrZn
S,32.07,180.0,2.58,10.36,2.077,19.4,0.25214415142162827,0.5042883028432565,0.5,0.5,0.0005042883028432565,1.053647986460671e-05,0.01053647986460671,P1,1,100,2393.058731774456,1245236,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,1.3462479619818812,2.6924959239637625,0.5,0.5,0.0026924959239637623,5.757345715280049e-05,0.05757345715280049,P1,1,100,2338.3135711460345,1245004,ZnS
N,14.007,155.0,3.04,14.534,,7.4,4.956352788505163e-16,3.469446951953614e-15,0.14285714285714285,0.8571428571428571,5.782411586589357e-19,3.299812990922832e-20,3.299812990922832e-17,P1,1,14,210.2814287656551,1103897,ZnN6
Ba,137.33,268.0,0.89,5.212,,272.0,9.550879897582817,14.326319846374226,0.6666666666666666,0.6666666666666666,0.014326319846374225,0.0003667317360216213,0.3667317360216213,C2/c,15,6,156.25939551116016,30435,BaZn2
Pt,195.08,209.0,2.28,9.0,2.128,48.0,10.42799311872656,20.85598623745312,0.5,0.5,0.02085598623745312,0.0007343192936982592,0.7343192936982592,P4/mmm,123,4,56.803590526447756,894,ZnPt
S,32.07,180.0,2.58,10.36,2.077,19.4,0.21977546230957046,0.4395509246191409,0.5,0.5,0.00043955092461914094,9.17190564396875e-06,0.00917190564396875,P1,1,100,2396.181021051935,1244921,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,0.2642622601881076,0.5285245203762152,0.5,0.5,0.0005285245203762153,1.3066923619359686e-05,0.013066923619359686,P3m1,156,72,1456.1103506684549,582680,ZnS
I,126.9045,198.0,2.66,10.451,3.059,32.9,0.022138341151719972,0.06641502345515991,0.3333333333333333,0.6666666666666666,3.320751172757996e-05,5.485706694374627e-07,0.0005485706694374627,C2/c,15,48,1937.1075314184295,27161,ZnI2
N,14.007,155.0,3.04,14.534,,7.4,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,P3_221,154,42,584.6487655636153,1195863,ZnN6
N,14.007,155.0,3.04,14.534,,7.4,3.304235192336775e-16,2.3129646346357427e-15,0.14285714285714285,0.8571428571428571,3.854941057726238e-19,2.129809057781791e-20,2.129809057781791e-17,Pnma,62,84,1303.1954913618647,1208632,ZnN6
S,32.07,180.0,2.58,10.36,2.077,19.4,0.22800826883409453,0.45601653766818906,0.5,0.5,0.00045601653766818906,9.176088067757446e-06,0.009176088067757446,P1,1,100,2484.809072781902,1244986,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,1.3293899441672974,2.6587798883345948,0.5,0.5,0.0026587798883345947,5.7612883507366656e-05,0.05761288350736666,P1,1,100,2307.4525405369013,1245068,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,0.959811702198182,1.919623404396364,0.5,0.5,0.0019196234043963641,4.913280526511772e-05,0.04913280526511772,P3m1,156,16,312.56076571051693,556005,ZnS
O,15.999,152.0,3.44,13.618,1.461,5.3,1.373407454845841,2.746814909691682,0.5,0.5,0.002746814909691682,0.00010123133541480905,0.10123133541480905,P1,1,80,1085.361523064469,1245255,ZnO
S,32.07,180.0,2.58,10.36,2.077,19.4,1.2952945737859545,2.590589147571909,0.5,0.5,0.002590589147571909,5.5780058948529764e-05,0.05578005894852976,P1,1,100,2322.146297803609,1245050,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,0.1393928008658618,0.2787856017317236,0.5,0.5,0.0002787856017317236,5.903153641021498e-06,0.005903153641021498,P1,1,100,2361.3276791105322,1245296,ZnS
Nd,144.24,229.0,1.14,5.525,,208.0,11.25568295348612,12.5798809480139,0.8947368421052632,0.8947368421052632,0.0125798809480139,0.0007075044797980178,0.7075044797980178,R-3m,166,19,302.27084382178,30711,Nd2Zn17
Ti,47.867,187.0,1.54,6.828,0.079,100.0,16.882782002376935,50.648346007130804,0.3333333333333333,0.3333333333333333,0.05064834600713081,0.0010486309427857618,1.0486309427857619,I4/mmm,139,3,48.299495981474585,1014229,Ti2Zn
Ba,137.33,268.0,0.89,5.212,,272.0,4.841405029956417,5.8096860359477,0.8333333333333334,0.8333333333333334,0.0058096860359477,0.0002446905368581048,0.2446905368581048,Cmcm,63,12,237.429943574676,303,BaZn5
S,32.07,180.0,2.58,10.36,2.077,19.4,0.25797170241325956,0.5159434048265191,0.5,0.5,0.0005159434048265191,1.2749322528480272e-05,0.012749322528480272,R3m,160,16,323.7463974569447,556468,ZnS
N,14.007,155.0,3.04,14.534,,7.4,0.04522872924981241,0.31660110474868686,0.14285714285714285,0.8571428571428571,5.276685079144781e-05,3.2647638933281523e-06,0.0032647638933281523,P2_1/c,14,28,387.90076721405865,1192688,ZnN6
S,32.07,180.0,2.58,10.36,2.077,19.4,0.20435096479269146,0.40870192958538293,0.5,0.5,0.00040870192958538293,1.00488535618725e-05,0.0100488535618725,R3m,160,36,732.0869676566429,1201781,ZnS
Se,78.97,190.0,2.55,9.752,2.021,28.9,0.2694795897600745,0.538959179520149,0.5,0.5,0.0005389591795201491,1.185884935161585e-05,0.011858849351615849,F-43m,216,2,45.44784772451066,1190,ZnSe
S,32.07,180.0,2.58,10.36,2.077,19.4,0.8970424404633879,1.7940848809267758,0.5,0.5,0.0017940848809267758,4.58043599319671e-05,0.045804359931967104,P3m1,156,36,705.0317459876596,556989,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,0.2822235252753306,0.5644470505506612,0.5,0.5,0.0005644470505506612,1.3710509753961038e-05,0.013710509753961039,P3m1,156,24,494.0271899555795,557058,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,0.9378667435494293,1.8757334870988587,0.5,0.5,0.0018757334870988587,4.796729852863809e-05,0.04796729852863809,R3m,160,10,195.52211033721053,13456,ZnS
Ta,180.9479,217.0,1.5,7.89,0.322,74.0,9.623528824172892,17.872267816321088,0.5384615384615384,0.5384615384615384,0.017872267816321088,0.00062839661216181,0.62839661216181,R-3m,166,13,199.0874430144656,1105040,Ta6Zn7
S,32.07,180.0,2.58,10.36,2.077,19.4,0.17779585743001314,0.3555917148600263,0.5,0.5,0.00035559171486002625,7.513466333592581e-06,0.0075134663335925805,P1,1,100,2366.362601973617,1245319,ZnS
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,9.643987451828878,10.385832640431099,0.9285714285714286,0.07142857142857142,0.1350158243256043,0.0006744118705199932,0.6744118705199932,C2/m,12,14,200.197876442333,13447,Zn13Rh
Sc,44.95591,211.0,1.36,6.561,0.188,97.0,11.827053908298051,23.654107816596103,0.5,0.5,0.023654107816596104,0.0006382671335242085,0.6382671335242085,Pm-3m,221,2,37.05988695671879,11566,ScZn
S,32.07,180.0,2.58,10.36,2.077,19.4,0.249490604946937,0.498981209893874,0.5,0.5,0.000498981209893874,1.0614051189652721e-05,0.010614051189652722,P1,1,100,2350.5690757376124,1245122,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,0.22373046377995198,0.44746092755990396,0.5,0.5,0.00044746092755990394,9.202865281934331e-06,0.009202865281934331,P1,1,100,2431.0957177559217,1245310,ZnS
Ba,137.33,268.0,0.89,5.212,,272.0,2.593219476995088,2.7926978983024022,0.9285714285714286,0.9285714285714286,0.0027926978983024023,0.00015951532454125785,0.15951532454125786,Fm-3c,226,28,455.1922867892371,672225,BaZn13
Er,167.26,235.0,1.24,6.108,,150.0,10.166374518365354,11.013572394895798,0.9230769230769231,0.9230769230769231,0.011013572394895798,0.0006780688131500939,0.6780688131500939,I4/mmm,139,13,194.9107025358718,30614,ErZn12
S,32.07,180.0,2.58,10.36,2.077,19.4,0.2624098066057745,0.524819613211549,0.5,0.5,0.000524819613211549,1.0900717392104582e-05,0.010900717392104582,P1,1,100,2407.270981961596,1245317,ZnS
Ho,164.93033,216.0,1.23,6.022,,156.0,10.039350923735311,10.875963500713253,0.9230769230769231,0.9230769230769231,0.010875963500713253,0.0006671918561071645,0.6671918561071645,I4/mmm,139,13,195.61324199915933,1103837,HoZn12
Ce,140.116,235.0,1.12,5.539,0.5,205.0,7.0837570503292575,7.7277349639955535,0.9166666666666666,0.9166666666666666,0.0077277349639955535,0.0004543573168647041,0.4543573168647041,I4_1/amd,141,24,374.177245303451,640370,CeZn11
Tm,168.93422,227.0,1.25,6.184,,144.0,11.882510916676909,17.823766375015364,0.6666666666666666,0.6666666666666666,0.017823766375015364,0.0006297809587583808,0.6297809587583808,Imma,74,6,113.20613065314068,569406,TmZn2
S,32.07,180.0,2.58,10.36,2.077,19.4,0.9453749344061543,1.8907498688123086,0.5,0.5,0.0018907498688123085,4.836712997754188e-05,0.048367129977541876,P3m1,156,48,938.1990800894241,555594,ZnS
N,14.007,155.0,3.04,14.534,,7.4,0.9231982645354603,1.5386637742257672,0.6,0.4,0.0023079956613386507,7.64549620181684e-05,0.0764549620181684,Pnma,62,20,241.501202843074,754553,Zn3N2
Ce,140.116,235.0,1.12,5.539,0.5,205.0,6.914451174295401,7.727916018330154,0.8947368421052632,0.8947368421052632,0.007727916018330154,0.00043364215014656286,0.4336421501465629,R-3m,166,19,302.95618695555885,542458,Ce2Zn17
Co,58.93319,192.0,1.88,7.881,0.661,55.0,3.7698815092804905,4.4553145109678525,0.8461538461538461,0.15384615384615385,0.024504229810323186,0.0002849922652915015,0.2849922652915015,I-43m,217,26,343.92834886601963,1192361,Zn11Co2
S,32.07,180.0,2.58,10.36,2.077,19.4,0.9347868546060274,1.8695737092120548,0.5,0.5,0.0018695737092120548,4.780407474522181e-05,0.04780407474522181,P3m1,156,32,625.7453890033256,556775,ZnS
N,14.007,155.0,3.04,14.534,,7.4,0.023168926414875862,0.046337852829751724,0.5,0.5,4.6337852829751724e-05,1.988166039462112e-06,0.001988166039462112,P6_3mc,186,4,46.613664965616444,971911,ZnN
Sc,44.95591,211.0,1.36,6.561,0.188,97.0,8.661494926566272,9.383286170446794,0.9230769230769231,0.9230769230769231,0.009383286170446795,0.0005878560418302571,0.5878560418302571,I4/mmm,139,13,191.5425308801615,11567,ScZn12
S,32.07,180.0,2.58,10.36,2.077,19.4,0.2487220701401227,0.4974441402802454,0.5,0.5,0.0004974441402802454,1.2282786213402867e-05,0.012282786213402867,R3m,160,16,323.99433264575674,556576,ZnS
S,32.07,180.0,2.58,10.36,2.077,19.4,0.9350935230081394,1.8701870460162788,0.5,0.5,0.0018701870460162788,4.781933057849518e-05,0.047819330578495176,R3m,160,6,117.3283078239485,555763,ZnS
C,12.011,170.0,2.55,11.26,1.263,11.3,0.0889113185643051,0.26673395569291536,0.3333333333333333,0.6666666666666666,0.00013336697784645767,3.964057723254621e-06,0.00396405772325462,Pn-3m,224,12,269.1524435965257,1207473,ZnC2
Tb,158.92535,221.0,,5.864,,170.0,9.57639804604258,14.364597069063873,0.6666666666666666,0.6666666666666666,0.014364597069063872,0.00048602486660297,0.48602486660297,Imma,74,6,118.22108748849843,2338,TbZn2
Au,196.96657,166.0,2.54,9.226,2.309,36.06,6.318731658510567,8.424975544680755,0.75,0.25,0.025274926634042266,0.0004162356481286584,0.41623564812865843,Pm-3n,223,32,485.7811049615777,30424,Zn3Au
Mg,24.305,173.0,1.31,7.646,,71.2,7.741455327985693,9.148992660346726,0.8461538461538461,0.8461538461538461,0.009148992660346727,0.0005072651199905034,0.5072651199905034,Pm-3,200,39,595.1853299061726,30784,Mg2Zn11
