Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Si,28.085,210.0,1.9,8.152,1.385,37.3,10.26556467686113,13.198583155964311,0.7777777777777778,0.2222222222222222,0.04619504104587509,0.0006970279430514428,0.6970279430514429,Pbam,55,36,Li7Si2
Rb,85.468,303.0,0.82,4.177,0.468,319.8,8.883271784754333,35.53308713901733,0.25,0.75,0.011844362379672443,0.0001275504251301876,0.1275504251301876,I4/mmm,139,4,Rb3Li
K,39.0983,275.0,0.82,4.341,0.501,289.7,10.358785072600615,41.43514029040246,0.25,0.75,0.013811713430134154,0.00017845482942307242,0.17845482942307242,I4/mmm,139,4,K3Li
Pb,207.0,202.0,2.33,7.417,0.36,57.0,10.75337278190634,13.97938461647824,0.7692307692307693,0.23076923076923078,0.04659794872159414,0.0005411124053503462,0.5411124053503462,P-43m,215,52,Li10Pb3
C,12.011,170.0,2.55,11.26,1.263,11.3,11.140889500689502,14.85451933425267,0.75,0.25,0.044563558002758005,0.0012110587909734604,1.2110587909734605,Fm-3m,225,4,Li3C
Rb,85.468,303.0,0.82,4.177,0.468,319.8,8.98117048565834,35.92468194263336,0.25,0.75,0.011974893980877787,0.0001315269866628024,0.1315269866628024,Fm-3m,225,4,Rb3Li
C,12.011,170.0,2.55,11.26,1.263,11.3,0.8543563953870279,11.106633140031363,0.07692307692307693,0.9230769230769231,0.0009255527616692802,9.808845600146333e-05,0.09808845600146333,Cmcm,63,26,LiC12
Sn,118.71,217.0,1.96,7.344,1.2,53.0,10.625555404828663,14.875777566760128,0.7142857142857143,0.2857142857142857,0.03718944391690032,0.0005918569423251847,0.5918569423251847,R-3m,166,7,Li5Sn2
Lu,174.9667,221.0,1.27,5.426,0.0,137.0,3.9521741427658297,15.808696571063319,0.25,0.75,0.005269565523687773,0.00014416830182413566,0.14416830182413568,P6_3/mmc,194,8,LiLu3
Ca,40.08,231.0,1.0,6.113,0.0,160.8,16.94932977205116,25.423994658076744,0.6666666666666666,0.3333333333333333,0.05084798931615349,0.0005989288105057637,0.5989288105057637,Fd-3m,227,6,Li2Ca
Mg,24.305,173.0,1.31,7.646,0.0,71.2,13.073041846404431,26.146083692808862,0.5,0.5,0.026146083692808863,0.0006255408956050661,0.6255408956050661,Amm2,38,6,LiMg
Fe,55.84,194.0,1.83,7.902,0.163,62.0,15.849395644137509,31.698791288275018,0.5,0.5,0.03169879128827502,0.0012923090667847973,1.2923090667847972,Cmcm,63,4,LiFe
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,16.865020358620377,22.486693811493836,0.75,0.25,0.06746008143448151,0.0012727745998364045,1.2727745998364044,Fm-3m,225,4,Li3Rh
Tl,204.383,196.0,1.62,6.108,0.2,66.0,8.276034696369585,33.10413878547834,0.25,0.75,0.01103471292849278,0.00031677152412024333,0.31677152412024334,I4/mmm,139,4,LiTl3
Yb,173.05,242.0,0.0,6.254,0.0,139.0,16.22632382430613,64.90529529722453,0.25,0.75,0.021635098432408174,0.0006028425627911074,0.6028425627911074,Fm-3m,225,4,LiYb3
Au,196.96657,166.0,2.54,9.226,2.309,36.06,1.8835718664044296,7.534287465617719,0.25,0.75,0.002511429155205906,0.0001150553050691512,0.11505530506915121,P6_3/mmc,194,8,LiAu3
Sr,87.62,249.0,0.95,5.695,0.0,197.2,13.044559040301301,32.61139760075325,0.4,0.6,0.0217409317338355,0.00030927643972546376,0.30927643972546376,P4_2/mnm,136,20,Sr3Li2
B,10.81,192.0,2.04,8.298,0.277,20.5,11.589179705142026,23.178359410284052,0.5,0.5,0.023178359410284052,0.0010755306768048957,1.0755306768048956,P6_3/mmc,194,4,LiB
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,16.914082487363554,22.552109983151407,0.75,0.25,0.06765632994945422,0.000960070420324415,0.9600704203244149,I4/mmm,139,4,Li3Nb
Hg,200.59,209.0,2.0,10.438,0.0,33.0,4.07206781298362,8.14413562596724,0.5,0.5,0.00814413562596724,0.00022634840173353597,0.22634840173353596,Pm-3m,221,2,LiHg
Ge,72.63,211.0,2.01,7.9,1.35,40.0,9.165607730125329,14.512212239365105,0.631578947368421,0.3684210526315789,0.024878078124625894,0.0005362504829187808,0.5362504829187807,Pnma,62,152,Li12Ge7
Hf,178.49,212.0,1.3,6.825,0.0,103.0,12.075299770497342,24.150599540994683,0.5,0.5,0.024150599540994685,0.0005828129848661902,0.5828129848661902,P-6m2,187,2,LiHf
Si,28.085,210.0,1.9,8.152,1.385,37.3,10.290274056660326,16.292933923045513,0.631578947368421,0.3684210526315789,0.027930743868078027,0.0006527990684387224,0.6527990684387224,Pnma,62,152,Li12Si7
Mg,24.305,173.0,1.31,7.646,0.0,71.2,13.58175097001533,20.372626455022996,0.6666666666666666,0.3333333333333333,0.04074525291004599,0.0006579155552211876,0.6579155552211876,Amm2,38,6,Li2Mg
Si,28.085,210.0,1.9,8.152,1.385,37.3,13.232318640256736,16.239663785769633,0.8148148148148148,0.18518518518518517,0.07145452065738638,0.000881941261973664,0.8819412619736641,F-43m,216,108,Li22Si5
Zr,91.22,186.0,1.33,6.634,0.426,112.0,21.61856663958251,28.824755519443347,0.75,0.25,0.08647426655833004,0.0011543530575248142,1.1543530575248142,Fm-3m,225,4,Li3Zr
Tl,204.383,196.0,1.62,6.108,0.2,66.0,11.618778906799218,23.237557813598436,0.5,0.5,0.023237557813598434,0.0005144797621352772,0.5144797621352771,Cmce,64,24,LiTl
Zn,65.4,139.0,1.65,9.394,0.0,38.67,8.696909054782573,34.78763621913029,0.25,0.75,0.011595878739710097,0.0006312835507473308,0.6312835507473308,P6_3/mmc,194,8,LiZn3
Mg,24.305,173.0,1.31,7.646,0.0,71.2,15.412933083358038,30.825866166716075,0.5,0.5,0.030825866166716075,0.0007256176166894991,0.7256176166894991,P3m1,156,6,LiMg
Al,26.981538,184.0,1.61,5.986,0.441,57.8,12.229788541591287,24.459577083182573,0.5,0.5,0.02445957708318257,0.000633076448554352,0.633076448554352,Cmce,64,24,LiAl
Hg,200.59,209.0,2.0,10.438,0.0,33.0,11.730356633593926,15.640475511458567,0.75,0.25,0.046921426534375706,0.0006879822067120435,0.6879822067120435,I4/mmm,139,4,Li3Hg
Fe,55.84,194.0,1.83,7.902,0.163,62.0,18.01699070886779,24.02265427849039,0.75,0.25,0.07206796283547116,0.001174610417714545,1.174610417714545,P6_3/mmc,194,8,Li3Fe
Mg,24.305,173.0,1.31,7.646,0.0,71.2,12.9047702286719,25.8095404573438,0.5,0.5,0.0258095404573438,0.0006158891714648059,0.6158891714648059,C2/m,12,4,LiMg
Mg,24.305,173.0,1.31,7.646,0.0,71.2,14.875118790760052,22.31267818614008,0.6666666666666666,0.3333333333333333,0.044625356372280156,0.0007452220669507323,0.7452220669507323,Cmcm,63,6,Li2Mg
Mg,24.305,173.0,1.31,7.646,0.0,71.2,16.279629345166722,32.559258690333444,0.5,0.5,0.032559258690333444,0.0008172934443303294,0.8172934443303295,Pm-3m,221,2,LiMg
Pt,195.08,209.0,2.28,9.0,2.128,48.0,10.330375283545466,15.495562925318199,0.6666666666666666,0.3333333333333333,0.030991125850636396,0.0007779797054578388,0.7779797054578388,P6/mmm,191,3,Li2Pt
S,32.07,180.0,2.58,10.36,2.077,19.4,4.695062891075621,9.390125782151243,0.5,0.5,0.009390125782151242,0.00023544177599176385,0.23544177599176386,I-42m,121,8,LiS
Tl,204.383,196.0,1.62,6.108,0.2,66.0,14.670690452568666,22.006035678853,0.6666666666666666,0.3333333333333333,0.044012071357706,0.0007796649714026595,0.7796649714026594,Cmcm,63,6,Li2Tl
Cd,112.41,158.0,1.69,8.994,0.0,46.0,13.457514851012892,17.943353134683857,0.75,0.25,0.05383005940405157,0.0007425288638788798,0.7425288638788797,I4/mmm,139,4,Li3Cd
Mg,24.305,173.0,1.31,7.646,0.0,71.2,14.313247756805,42.939743270415,0.3333333333333333,0.6666666666666666,0.0214698716352075,0.0006714933052640547,0.6714933052640547,Cmcm,63,6,LiMg2
Ca,40.08,231.0,1.0,6.113,0.0,160.8,14.799535133727247,59.19814053490899,0.25,0.75,0.01973271351163633,0.0003939647153804221,0.3939647153804221,I4/mmm,139,4,LiCa3
In,114.818,193.0,1.78,5.786,0.3,65.0,13.279578120835348,22.132630201392246,0.6,0.4,0.03319894530208837,0.0007044559480328419,0.7044559480328418,R-3m,166,5,Li3In2
Tm,168.93422,227.0,1.25,6.184,0.0,144.0,7.335965225219371,29.343860900877484,0.25,0.75,0.00978128696695916,0.00026076373688391544,0.26076373688391546,P6_3/mmc,194,8,LiTm3
In,114.818,193.0,1.78,5.786,0.3,65.0,7.496585673262005,22.489757019786015,0.3333333333333333,0.6666666666666666,0.011244878509893008,0.00031135277315719347,0.31135277315719345,Fd-3m,227,12,LiIn2
Cu,63.55,140.0,1.9,7.726,1.228,46.5,11.228505233351031,44.914020933404124,0.25,0.75,0.014971340311134708,0.0009657475779707683,0.9657475779707684,Fm-3m,225,4,LiCu3
O,15.999,152.0,3.44,13.618,1.461,5.3,5.026896104417736,15.080688313253207,0.3333333333333333,0.6666666666666666,0.007540344156626603,0.0005219159135332964,0.5219159135332964,R-3m,166,3,LiO2
Sn,118.71,217.0,1.96,7.344,1.2,53.0,11.517270833036843,15.35636111071579,0.75,0.25,0.04606908333214737,0.000657643645181467,0.657643645181467,Fm-3m,225,4,Li3Sn
Ag,107.868,172.0,1.93,7.576,1.302,55.0,13.270509654450528,19.16851394531743,0.6923076923076923,0.3076923076923077,0.04312915637696422,0.0007661768876920362,0.7661768876920362,Fmm2,42,26,Li9Ag4
Au,196.96657,166.0,2.54,9.226,2.309,36.06,10.850563308306148,14.467417744408198,0.75,0.25,0.043402253233224594,0.0007237271366087642,0.7237271366087642,Fm-3m,225,4,Li3Au
Mg,24.305,173.0,1.31,7.646,0.0,71.2,11.7956275897191,23.5912551794382,0.5,0.5,0.0235912551794382,0.0005716421549990927,0.5716421549990927,Pmma,51,4,LiMg
Zn,65.4,139.0,1.65,9.394,0.0,38.67,9.932399692935368,39.72959877174147,0.25,0.75,0.013243199590580491,0.0007276186226829757,0.7276186226829757,Fm-3m,225,4,LiZn3
Hg,200.59,209.0,2.0,10.438,0.0,33.0,0.5316388120520585,2.126555248208234,0.25,0.75,0.0007088517494027446,2.4505362682013047e-05,0.024505362682013046,Pm-3m,221,4,LiHg3
Hf,178.49,212.0,1.3,6.825,0.0,103.0,10.456182631559589,14.377251118394433,0.7272727272727273,0.2727272727272727,0.03833933631571849,0.00038599185232088257,0.38599185232088257,Im-3m,229,22,Li8Hf3
Ag,107.868,172.0,1.93,7.576,1.302,55.0,6.622792779370152,26.491171117480608,0.25,0.75,0.008830390372493536,0.00039848189794307803,0.39848189794307803,P6_3/mmc,194,8,LiAg3
Mg,24.305,173.0,1.31,7.646,0.0,71.2,9.519129499230617,28.557388497691857,0.3333333333333333,0.6666666666666666,0.014278694248845928,0.00046332757746264674,0.46332757746264674,Immm,71,3,LiMg2
Pr,140.90766,239.0,1.13,5.464,0.0,216.0,23.738155334090184,31.650873778786913,0.75,0.25,0.09495262133636073,0.0009537243861078391,0.9537243861078392,Fm-3m,225,4,Li3Pr
Se,78.97,190.0,2.55,9.752,2.021,28.9,8.46994542038599,12.704918130578983,0.6666666666666666,0.3333333333333333,0.02540983626115797,0.000482007406112457,0.48200740611245696,Fm-3m,225,3,Li2Se
Si,28.085,210.0,1.9,8.152,1.385,37.3,12.793829225617324,15.839979041240497,0.8076923076923077,0.19230769230769232,0.06652791197321009,0.0008361652892347545,0.8361652892347544,F-43m,216,104,Li21Si5
Mg,24.305,173.0,1.31,7.646,0.0,71.2,13.209408604114332,52.83763441645733,0.25,0.75,0.017612544805485776,0.0006156187118963541,0.6156187118963541,Pm-3m,221,4,LiMg3
Pb,207.0,202.0,2.33,7.417,0.36,57.0,13.396601121050919,16.441283194017036,0.8148148148148148,0.18518518518518517,0.07234164605367496,0.0007196238038668275,0.7196238038668274,F-43m,216,108,Li22Pb5
Ba,137.33,268.0,0.89,5.212,0.0,272.0,14.044166375821426,56.176665503285705,0.25,0.75,0.018725555167761903,0.0002558145396111229,0.25581453961112294,I4/mmm,139,4,Ba3Li
Hg,200.59,209.0,2.0,10.438,0.0,33.0,0.575897880839062,2.303591523356248,0.25,0.75,0.0007678638411187493,2.6230595702159907e-05,0.026230595702159906,Fm-3m,225,4,LiHg3
O,15.999,152.0,3.44,13.618,1.461,5.3,0.5359635110837452,4.823671599753706,0.1111111111111111,0.8888888888888888,0.0006029589499692133,3.82716870770994e-05,0.038271687077099395,C2/m,12,9,LiO8
C,12.011,170.0,2.55,11.26,1.263,11.3,10.29846150825777,15.447692262386655,0.6666666666666666,0.3333333333333333,0.03089538452477331,0.0008832048972054156,0.8832048972054156,Fm-3m,225,3,Li2C
Yb,173.05,242.0,0.0,6.254,0.0,139.0,21.36243555952491,28.483247412699882,0.75,0.25,0.08544974223809965,0.0009574086467483374,0.9574086467483374,Fm-3m,225,4,Li3Yb
Eu,151.964,233.0,0.0,5.67,0.0,184.0,29.372607952790343,117.49043181116137,0.25,0.75,0.039163477270387125,0.0007554123535504632,0.7554123535504632,P6_3/mmc,194,8,LiEu3
W,183.84,210.0,2.36,7.98,0.815,68.0,15.139623705975072,20.186164941300095,0.75,0.25,0.06055849482390029,0.0009455774811677357,0.9455774811677358,I4/mmm,139,4,Li3W
Ho,164.93033,216.0,1.23,6.022,0.0,156.0,6.92033553244243,27.68134212976972,0.25,0.75,0.009227114043256573,0.00024098598497888655,0.24098598497888654,Pm-3m,221,4,LiHo3
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,16.269691181968902,65.07876472787561,0.25,0.75,0.021692921575958535,0.001226545844847694,1.226545844847694,Imm2,44,4,LiRh3
Co,58.93319,192.0,1.88,7.881,0.661,55.0,19.807611637466714,26.41014884995562,0.75,0.25,0.07923044654986686,0.0014067231179821908,1.4067231179821909,I4/mmm,139,4,Li3Co
K,39.0983,275.0,0.82,4.341,0.501,289.7,10.954204783025572,14.60560637736743,0.75,0.25,0.04381681913210229,0.0003369777139925084,0.3369777139925084,Fm-3m,225,4,KLi3
Mg,24.305,173.0,1.31,7.646,0.0,71.2,12.58624990342753,50.34499961371012,0.25,0.75,0.016781666537903372,0.0005813823759556931,0.5813823759556931,Pmm2,25,4,LiMg3
Ir,192.22,202.0,2.2,9.1,1.565,54.0,9.11212207168112,36.44848828672448,0.25,0.75,0.012149496095574829,0.0006667287933683678,0.6667287933683678,Cm,8,4,LiIr3
Tb,158.92535,221.0,0.0,5.864,0.0,170.0,8.933877625638749,35.735510502554995,0.25,0.75,0.011911836834185,0.0003013910184310382,0.3013910184310382,P6_3/mmc,194,8,LiTb3
Si,28.085,210.0,1.9,8.152,1.385,37.3,2.482843588582322,9.931374354329288,0.25,0.75,0.0033104581181097625,0.0001755289824376533,0.1755289824376533,I4/mmm,139,4,LiSi3
Mg,24.305,173.0,1.31,7.646,0.0,71.2,8.585151777310767,137.36242843697227,0.0625,0.9375,0.009157495229131484,0.0003854083989750501,0.3854083989750501,P-6m2,187,16,LiMg15
Ga,69.723,187.0,1.81,5.999,0.3,50.0,12.685219431308749,25.370438862617497,0.5,0.5,0.025370438862617497,0.00086754014797845,0.86754014797845,Fd-3m,227,4,LiGa
Pb,207.0,202.0,2.33,7.417,0.36,57.0,12.845380496014432,15.867822965664889,0.8095238095238095,0.19047619047619047,0.06743824760407577,0.000679661378294423,0.6796613782944231,F-43m,216,105,Li17Pb4
Mg,24.305,173.0,1.31,7.646,0.0,71.2,10.94256761091343,65.65540566548059,0.16666666666666666,0.8333333333333334,0.013131081133096117,0.0004992127978307462,0.4992127978307462,P-62m,189,6,LiMg5
Tb,158.92535,221.0,0.0,5.864,0.0,170.0,27.044344051694196,108.17737620677678,0.25,0.75,0.036059125402258925,0.0009316199460796628,0.9316199460796628,I4/mmm,139,4,LiTb3
Gd,157.25,237.0,1.2,6.15,0.0,158.0,7.819716015928998,31.278864063715993,0.25,0.75,0.010426288021238664,0.00026078338402905346,0.26078338402905343,P6_3/mmc,194,8,LiGd3
Br,79.9,183.0,2.96,11.814,3.365,21.0,3.5208922783988537,7.041784556797707,0.5,0.5,0.0070417845567977075,0.00014176495680262683,0.14176495680262682,P6_3mc,186,4,LiBr
K,39.0983,275.0,0.82,4.341,0.501,289.7,11.339038951346307,15.118718601795075,0.75,0.25,0.045356155805385226,0.00035904053297400757,0.35904053297400756,I4/mmm,139,4,KLi3
Co,58.93319,192.0,1.88,7.881,0.661,55.0,19.32946628976293,25.772621719683904,0.75,0.25,0.07731786515905172,0.0014383530961563158,1.4383530961563158,P6_3/mmc,194,8,Li3Co
Ac,227.02775,260.0,1.1,5.17,0.0,282.0,9.084073895417106,36.33629558166842,0.25,0.75,0.012112098527222809,0.0002259771304330006,0.22597713043300058,Pm-3m,221,4,LiAc3
Bi,208.9804,207.0,2.02,7.289,0.946,53.0,12.16211821960762,16.21615762614349,0.75,0.25,0.04864847287843048,0.0006496173169322704,0.6496173169322703,Fm-3m,225,4,Li3Bi
Mg,24.305,173.0,1.31,7.646,0.0,71.2,16.151427113405163,32.302854226810325,0.5,0.5,0.032302854226810326,0.0007967581328712992,0.7967581328712992,P4/mmm,123,2,LiMg
Mg,24.305,173.0,1.31,7.646,0.0,71.2,15.900580118291561,21.200773491055415,0.75,0.25,0.06360232047316625,0.000788836441886871,0.788836441886871,Fm-3m,225,4,Li3Mg
Pd,106.42,202.0,2.2,8.337,0.557,26.14,12.767607555859358,19.15141133378904,0.6666666666666666,0.3333333333333333,0.038302822667578076,0.0009333224497722356,0.9333224497722357,P6/mmm,191,3,Li2Pd
O,15.999,152.0,3.44,13.618,1.461,5.3,8.357119090186853,16.714238180373705,0.5,0.5,0.016714238180373705,0.0010594071030828993,1.0594071030828993,P6_3/mmc,194,8,Li2O2
Yb,173.05,242.0,0.0,6.254,0.0,139.0,24.03484881186629,96.13939524746516,0.25,0.75,0.03204646508248839,0.0008612173758393949,0.861217375839395,P6_3/mmc,194,8,LiYb3
Pb,207.0,202.0,2.33,7.417,0.36,57.0,11.180658309883832,14.907544413178442,0.75,0.25,0.04472263323953533,0.0006127920885478812,0.6127920885478811,I4/mmm,139,4,Li3Pb
As,74.92159,185.0,2.18,9.815,0.81,30.0,0.9044717819379237,3.6178871277516946,0.25,0.75,0.0012059623759172317,4.841177097862635e-05,0.048411770978626346,P6_3/mmc,194,8,LiAs3
Ni,58.693,163.0,1.91,7.64,1.156,49.0,20.27652713137628,27.035369508501706,0.75,0.25,0.08110610852550512,0.0014191934588217053,1.4191934588217052,P6_3/mmc,194,8,Li3Ni
Eu,151.964,233.0,0.0,5.67,0.0,184.0,24.77475985541538,33.03301314055384,0.75,0.25,0.09909903942166151,0.0008543587687990954,0.8543587687990954,Fm-3m,225,4,Li3Eu
B,10.81,192.0,2.04,8.298,0.277,20.5,4.926404509059662,9.852809018119324,0.5,0.5,0.009852809018119324,0.0001291734738077383,0.1291734738077383,Pmma,51,8,LiB
Mg,24.305,173.0,1.31,7.646,0.0,71.2,13.239842830830343,39.71952849249102,0.3333333333333333,0.6666666666666666,0.019859764246245512,0.0006139509341062083,0.6139509341062084,P6_3/mmc,194,6,LiMg2
Mg,24.305,173.0,1.31,7.646,0.0,71.2,11.95336110970623,47.81344443882492,0.25,0.75,0.01593781481294164,0.0005510694583999393,0.5510694583999393,P-6m2,187,4,LiMg3
Np,237.048172,221.0,1.36,6.266,0.0,160.0,14.321135032949448,19.094846710599263,0.75,0.25,0.05728454013179779,0.0006319224761346678,0.6319224761346678,P6_3/mmc,194,8,Li3Np
Au,196.96657,166.0,2.54,9.226,2.309,36.06,1.7627663141503558,7.051065256601423,0.25,0.75,0.0023503550855338076,0.00010786500456189372,0.10786500456189373,Pm-3m,221,4,LiAu3
Sb,121.76,206.0,2.05,8.64,1.07,43.0,10.319819449035469,13.759759265380625,0.75,0.25,0.04127927779614188,0.0005889501314690872,0.5889501314690873,Fm-3m,225,4,Li3Sb
S,32.07,180.0,2.58,10.36,2.077,19.4,4.3412248755082095,8.682449751016419,0.5,0.5,0.00868244975101642,0.00025910317265019135,0.25910317265019134,I-4m2,119,2,LiS
B,10.81,192.0,2.04,8.298,0.277,20.5,8.757012330337501,15.7626221946075,0.5555555555555556,0.4444444444444444,0.019703277743259376,0.0009097911991197423,0.9097911991197423,Cm,8,9,Li5B4
Ge,72.63,211.0,2.01,7.9,1.35,40.0,11.011763855890834,15.905881125175648,0.6923076923076923,0.3076923076923077,0.03578823253164521,0.0007185904312603413,0.7185904312603413,Cmcm,63,26,Li9Ge4
Cu,63.55,140.0,1.9,7.726,1.228,46.5,11.453320946417051,45.813283785668204,0.25,0.75,0.015271094595222736,0.0009894244327623711,0.9894244327623711,I4/mmm,139,4,LiCu3
Ga,69.723,187.0,1.81,5.999,0.3,50.0,16.870170666597982,22.493560888797308,0.75,0.25,0.06748068266639193,0.001075310444909387,1.075310444909387,I4/mmm,139,4,Li3Ga
Si,28.085,210.0,1.9,8.152,1.385,37.3,13.43033749854475,17.011760831490015,0.7894736842105263,0.21052631578947367,0.06379410311808756,0.0008677576357330582,0.8677576357330582,I-43d,220,38,Li15Si4
Ge,72.63,211.0,2.01,7.9,1.35,40.0,8.119087079831449,16.238174159662897,0.5,0.5,0.0162381741596629,0.0005209808405456616,0.5209808405456616,I4_1/amd,141,12,LiGe
Nd,144.24,229.0,1.14,5.525,0.0,208.0,23.170369723304248,30.893826297738997,0.75,0.25,0.09268147889321698,0.0009398217856736373,0.9398217856736374,Fm-3m,225,4,Li3Nd
Cl,35.45,175.0,3.16,12.968,3.617,14.6,3.733331912005381,7.466663824010762,0.5,0.5,0.0074666638240107625,0.00017607977752781475,0.17607977752781476,P6_3mc,186,4,LiCl
As,74.92159,185.0,2.18,9.815,0.81,30.0,6.268075356817489,12.536150713634978,0.5,0.5,0.012536150713634979,0.0003489665071969498,0.34896650719694977,P2_1/c,14,16,LiAs
Sn,118.71,217.0,1.96,7.344,1.2,53.0,10.868066160317985,15.048091606594134,0.7222222222222222,0.2777777777777778,0.03912503817714475,0.0006109497136401929,0.6109497136401929,P-3m1,164,18,Li13Sn5
Sm,150.4,229.0,1.17,5.644,0.0,192.0,23.671212814576908,31.56161708610254,0.75,0.25,0.09468485125830763,0.0009895163111246779,0.9895163111246779,Fm-3m,225,4,Li3Sm
F,18.99840316,135.0,3.98,17.423,3.339,3.74,7.52019889063393,15.04039778126786,0.5,0.5,0.01504039778126786,0.0008969683574399881,0.8969683574399882,Pm-3m,221,2,LiF
O,15.999,152.0,3.44,13.618,1.461,5.3,5.070593549243487,15.211780647730459,0.3333333333333333,0.6666666666666666,0.0076058903238652295,0.0005532819949668364,0.5532819949668364,C2/m,12,6,LiO2
Si,28.085,210.0,1.9,8.152,1.385,37.3,10.971229962870447,15.673185661243497,0.7,0.3,0.03657076654290149,0.0007518275302760553,0.7518275302760553,C2,5,60,Li7Si3
Hg,200.59,209.0,2.0,10.438,0.0,33.0,10.993987103830026,14.658649471773368,0.75,0.25,0.043975948415320106,0.0006297858277369434,0.6297858277369435,P6_3/mmc,194,8,Li3Hg
Re,186.207,217.0,1.9,7.88,0.15,62.0,19.377240046739004,25.836320062318674,0.75,0.25,0.07750896018695602,0.0013513563691092976,1.3513563691092976,P6_3/mmc,194,8,Li3Re
B,10.81,192.0,2.04,8.298,0.277,20.5,4.087349206049575,49.048190472594904,0.08333333333333333,0.9166666666666666,0.004458926406599537,0.0005812691190895045,0.5812691190895045,F-43m,216,12,LiB11
