Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Ga,69.723,187.0,1.81,5.999,0.3,50.0,9.796941276506857,39.18776510602743,0.25,0.75,0.01306258836867581,0.0006080146015969734,0.6080146015969734,I4/mmm,139,4,LiGa3
Cu,63.55,140.0,1.9,7.726,1.228,46.5,11.480842426287387,45.92336970514955,0.25,0.75,0.015307789901716516,0.000992137650955155,0.9921376509551549,P6_3/mmc,194,8,LiCu3
Ag,107.868,172.0,1.93,7.576,1.302,55.0,9.966383238525788,19.932766477051576,0.5,0.5,0.019932766477051576,0.0006545758257440501,0.65457582574405,Pm-3m,221,2,LiAg
Pd,106.42,202.0,2.2,8.337,0.557,26.14,14.731717825714266,19.642290434285687,0.75,0.25,0.058926871302857065,0.0010231646860635194,1.0231646860635193,Fm-3m,225,4,Li3Pd
In,114.818,193.0,1.78,5.786,0.3,65.0,16.16699929574364,21.55599906099152,0.75,0.25,0.06466799718297456,0.0008831902825687447,0.8831902825687448,I4/mmm,139,4,Li3In
Pr,140.90766,239.0,1.13,5.464,0.0,216.0,31.246237249043702,124.98494899617481,0.25,0.75,0.041661649665391605,0.0009592771240999957,0.9592771240999957,Pm-3m,221,4,LiPr3
Mg,24.305,173.0,1.31,7.646,0.0,71.2,12.200198134258502,24.400396268517003,0.5,0.5,0.024400396268517,0.0006030493302668062,0.6030493302668062,Cm,8,6,LiMg
Ce,140.116,235.0,1.12,5.539,0.5,205.0,2.415508148677114,9.662032594708457,0.25,0.75,0.003220677531569486,9.084877543140636e-05,0.09084877543140636,Pm-3m,221,4,LiCe3
Sb,121.76,206.0,2.05,8.64,1.07,43.0,11.435972857066139,15.67151835968323,0.7297297297297297,0.2702702702702703,0.04231309957114472,0.0006136278915176412,0.6136278915176412,P-1,2,37,Li27Sb10
Cd,112.41,158.0,1.69,8.994,0.0,46.0,11.206923354800502,16.810385032200752,0.6666666666666666,0.3333333333333333,0.033620770064401506,0.0005234851446964732,0.5234851446964732,Fd-3m,227,12,Li2Cd
Al,26.981538,184.0,1.61,5.986,0.441,57.8,13.616594073274143,22.694323455456907,0.6,0.4,0.03404148518318536,0.0008496726291397496,0.8496726291397496,R-3m,166,5,Li3Al2
P,30.973762,180.0,2.19,10.487,0.746,25.0,11.448196254625055,15.264261672833406,0.75,0.25,0.04579278501850022,0.0007871244178236479,0.787124417823648,P6_3/mmc,194,8,Li3P
Na,22.9897693,227.0,0.93,5.139,0.548,162.7,17.48755907259958,23.316745430132773,0.75,0.25,0.06995023629039832,0.0007015101969951483,0.7015101969951483,I4/mmm,139,4,NaLi3
Al,26.981538,184.0,1.61,5.986,0.441,57.8,14.506159454801821,21.75923918220273,0.6666666666666666,0.3333333333333333,0.04351847836440546,0.0007775310639018486,0.7775310639018486,Fd-3m,227,12,Li2Al
S,32.07,180.0,2.58,10.36,2.077,19.4,10.24184039565614,15.362760593484209,0.6666666666666666,0.3333333333333333,0.03072552118696842,0.0006741133675968581,0.674113367596858,Fm-3m,225,3,Li2S
Mg,24.305,173.0,1.31,7.646,0.0,71.2,12.604276048451442,50.41710419380577,0.25,0.75,0.016805701397935257,0.0005821384609595788,0.5821384609595789,Imm2,44,4,LiMg3
Tc,96.90636,209.0,1.9,7.28,0.55,79.0,17.342596424553122,23.123461899404163,0.75,0.25,0.0693703856982125,0.0011868768821258358,1.1868768821258358,I4/mmm,139,4,Li3Tc
Ca,40.08,231.0,1.0,6.113,0.0,160.8,15.239622671302351,20.319496895069804,0.75,0.25,0.06095849068520941,0.0005727948581866636,0.5727948581866636,I4/mmm,139,4,Li3Ca
In,114.818,193.0,1.78,5.786,0.3,65.0,8.06365000384287,32.25460001537148,0.25,0.75,0.01075153333845716,0.0003556525491775976,0.3556525491775976,Pm-3m,221,4,LiIn3
