Symbol,Structure,Total Sites,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Volume,mid,Composition
Ga,Li5 Ga4,9,5.0,4.0,0.12157224826982001,0.013508027585535556,0.024314449653964003,0.030393062067455002,132.47750867197993,1205930,Li5 Ga4
Ag,Li1 Ag3,4,1.0,3.0,0.026831606334814802,0.0067079015837037004,0.026831606334814802,0.0089438687782716,66.19065176040098,1185300,Li1 Ag3
Mg,Li2 Mg2,4,2.0,2.0,0.05921404189952864,0.01480351047488216,0.02960702094976432,0.02960702094976432,86.17969439654894,1094853,Li2 Mg2
Sn,Li6 Sn6,12,6.0,6.0,0.08399216515851296,0.006999347096542746,0.013998694193085493,0.013998694193085493,251.6625645070181,13444,Li6 Sn6
B,Li1 B11,12,1.0,11.0,0.05321422084976287,0.004434518404146906,0.05321422084976287,0.004837656440887534,83.33626752981314,1101854,Li1 B11
Yb,Li1 Yb3,4,1.0,3.0,0.09535750970991586,0.023839377427478964,0.09535750970991586,0.03178583656997195,111.88960857866032,1185469,Li1 Yb3
Mg,Li2 Mg4,6,2.0,4.0,0.08134342473424558,0.013557237455707596,0.04067171236712279,0.020335856183561395,128.6421867989868,1094581,Li2 Mg4
Mg,Li3 Mg1,4,3.0,1.0,0.06462268268535104,0.01615567067133776,0.021540894228450347,0.06462268268535104,79.68865120057448,1094159,Li3 Mg1
Mg,Li5 Mg1,6,5.0,1.0,0.09637510662423412,0.01606251777070569,0.019275021324846826,0.09637510662423412,122.49833296951584,977122,Li5 Mg1
N,Li2 N1,3,2.0,1.0,0.03037004079452044,0.010123346931506813,0.01518502039726022,0.03037004079452044,28.431926961547212,1062345,Li2 N1
Pt,Li8 Pt2,10,8.0,2.0,0.09245980878496209,0.009245980878496209,0.01155747609812026,0.04622990439248104,218.95068892564757,1211180,Li8 Pt2
Cr,Li3 Cr1,4,3.0,1.0,0.088379355489755,0.02209483887243875,0.029459785163251664,0.088379355489755,72.9145052817702,976010,Li3 Cr1
Th,Li3 Th1,4,3.0,1.0,0.059482836898195626,0.014870709224548907,0.019827612299398542,0.059482836898195626,91.35401887761996,977239,Li3 Th1
Rh,Li1 Rh1,2,1.0,1.0,0.031047862107613684,0.015523931053806842,0.031047862107613684,0.031047862107613684,26.358645309406047,600561,Li1 Rh1
Ga,Li3 Ga14,17,3.0,14.0,0.09514567205803975,0.005596804238708221,0.03171522401934659,0.006796119432717125,335.30215653209916,1222489,Li3 Ga14
Bi,Li6 Bi2,8,6.0,2.0,0.07942090107842045,0.009927612634802557,0.01323681684640341,0.039710450539210226,170.76803821657285,2646976,Li6 Bi2
O,Li1 O1,2,1.0,1.0,0.01645173975124254,0.00822586987562127,0.01645173975124254,0.01645173975124254,16.35072322765034,1180619,Li1 O1
Y,Li1 Y3,4,1.0,3.0,0.08634195484287466,0.021585488710718664,0.08634195484287466,0.028780651614291552,118.62449405527047,1185245,Li1 Y3
O,Li1 O2,3,1.0,2.0,0.014553177797523681,0.004851059265841227,0.014553177797523681,0.007276588898761841,24.868592293162937,1097725,Li1 O2
