Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Volume,mid,Reduced Formula
Ga,69.723,187.0,1.81,5.999,0.3,50.0,9.796941276506857,39.18776510602743,0.25,0.75,0.01306258836867581,0.0006080146015969734,0.6080146015969734,I4/mmm,139,4,64.45201316399191,1185332,LiGa3
Cu,63.55,140.0,1.9,7.726,1.228,46.5,11.480842426287387,45.92336970514955,0.25,0.75,0.015307789901716516,0.000992137650955155,0.9921376509551549,P6_3/mmc,194,8,92.57459317452171,1185338,LiCu3
Ag,107.868,172.0,1.93,7.576,1.302,55.0,9.966383238525788,19.932766477051576,0.5,0.5,0.019932766477051576,0.0006545758257440501,0.65457582574405,Pm-3m,221,2,30.4514247136979,2426,LiAg
Pd,106.42,202.0,2.2,8.337,0.557,26.14,14.731717825714266,19.642290434285687,0.75,0.25,0.058926871302857065,0.0010231646860635194,1.0231646860635193,Fm-3m,225,4,57.59275325419002,11489,Li3Pd
In,114.818,193.0,1.78,5.786,0.3,65.0,16.16699929574364,21.55599906099152,0.75,0.25,0.06466799718297456,0.0008831902825687447,0.8831902825687448,I4/mmm,139,4,73.2209111210879,976055,Li3In
Pr,140.90766,239.0,1.13,5.464,,216.0,31.246237249043702,124.98494899617481,0.25,0.75,0.041661649665391605,0.0009592771240999957,0.9592771240999957,Pm-3m,221,4,130.29076359288464,1185406,LiPr3
Mg,24.305,173.0,1.31,7.646,,71.2,12.200198134258502,24.400396268517003,0.5,0.5,0.024400396268517,0.0006030493302668062,0.6030493302668062,Cm,8,6,121.38507603211285,976244,LiMg
Ce,140.116,235.0,1.12,5.539,0.5,205.0,2.415508148677114,9.662032594708457,0.25,0.75,0.003220677531569486,9.084877543140636e-05,0.09084877543140636,Pm-3m,221,4,106.3529205410544,1185343,LiCe3
Sb,121.76,206.0,2.05,8.64,1.07,43.0,11.435972857066139,15.67151835968323,0.7297297297297297,0.2702702702702703,0.04231309957114472,0.0006136278915176412,0.6136278915176412,P-1,2,37,689.5563281273738,676024,Li27Sb10
Cd,112.41,158.0,1.69,8.994,,46.0,11.206923354800502,16.810385032200752,0.6666666666666666,0.3333333333333333,0.033620770064401506,0.0005234851446964732,0.5234851446964732,Fd-3m,227,12,256.89951590810074,1210799,Li2Cd
Al,26.981538,184.0,1.61,5.986,0.441,57.8,13.616594073274143,22.694323455456907,0.6,0.4,0.03404148518318536,0.0008496726291397496,0.8496726291397496,R-3m,166,5,80.12847305120475,16506,Li3Al2
P,30.973762,180.0,2.19,10.487,0.746,25.0,11.448196254625055,15.264261672833406,0.75,0.25,0.04579278501850022,0.0007871244178236479,0.787124417823648,P6_3/mmc,194,8,116.35462953903664,736,Li3P
Na,22.9897693,227.0,0.93,5.139,0.548,162.7,17.48755907259958,23.316745430132773,0.75,0.75,0.023316745430132773,0.0007015101969951483,0.7015101969951483,I4/mmm,139,4,99.71378404764955,1186151,NaLi3
Al,26.981538,184.0,1.61,5.986,0.441,57.8,14.506159454801821,21.75923918220273,0.6666666666666666,0.3333333333333333,0.04351847836440546,0.0007775310639018486,0.7775310639018486,Fd-3m,227,12,223.88033294010748,1210792,Li2Al
S,32.07,180.0,2.58,10.36,2.077,19.4,10.24184039565614,15.362760593484209,0.6666666666666666,0.3333333333333333,0.03072552118696842,0.0006741133675968581,0.674113367596858,Fm-3m,225,3,45.57916021826063,1153,Li2S
Mg,24.305,173.0,1.31,7.646,,71.2,12.604276048451442,50.41710419380577,0.25,0.75,0.016805701397935257,0.0005821384609595788,0.5821384609595789,Imm2,44,4,86.60672258400483,1094596,LiMg3
Tc,96.90636,209.0,1.9,7.28,0.55,79.0,17.342596424553122,23.123461899404163,0.75,0.25,0.0693703856982125,0.0011868768821258358,1.1868768821258358,I4/mmm,139,4,58.44783628607037,977230,Li3Tc
Ca,40.08,231.0,1.0,6.113,,160.8,15.239622671302351,20.319496895069804,0.75,0.25,0.06095849068520941,0.0005727948581866636,0.5727948581866636,I4/mmm,139,4,106.42290134759575,976075,Li3Ca
In,114.818,193.0,1.78,5.786,0.3,65.0,8.06365000384287,32.25460001537148,0.25,0.75,0.01075153333845716,0.0003556525491775976,0.3556525491775976,Pm-3m,221,4,90.6913224436497,863027,LiIn3
Si,28.085,210.0,1.9,8.152,1.385,37.3,10.26556467686113,13.198583155964311,0.7777777777777778,0.2222222222222222,0.04619504104587509,0.0006970279430514428,0.6970279430514429,Pbam,55,36,530.1944234102621,27930,Li7Si2
Rb,85.468,303.0,0.82,4.177,0.468,319.8,8.883271784754333,35.53308713901733,0.25,0.25,0.03553308713901733,0.0001275504251301876,0.1275504251301876,I4/mmm,139,4,278.5807033002797,974959,Rb3Li
K,39.0983,275.0,0.82,4.341,0.501,289.7,10.358785072600615,41.43514029040246,0.25,0.25,0.04143514029040246,0.00017845482942307242,0.17845482942307242,I4/mmm,139,4,232.18839425281092,1184918,K3Li
Pb,207.0,202.0,2.33,7.417,0.36,57.0,10.75337278190634,13.97938461647824,0.7692307692307693,0.23076923076923078,0.04659794872159414,0.0005411124053503462,0.5411124053503462,P-43m,215,52,1033.381196088248,504760,Li10Pb3
C,12.011,170.0,2.55,11.26,1.263,11.3,11.140889500689502,14.85451933425267,0.75,0.25,0.044563558002758005,0.0012110587909734604,1.2110587909734605,Fm-3m,225,4,36.797187993604666,976060,Li3C
Rb,85.468,303.0,0.82,4.177,0.468,319.8,8.98117048565834,35.92468194263336,0.25,0.25,0.03592468194263336,0.0001315269866628024,0.1315269866628024,Fm-3m,225,4,273.1354443231789,974950,Rb3Li
C,12.011,170.0,2.55,11.26,1.263,11.3,0.8543563953870279,11.106633140031363,0.07692307692307693,0.9230769230769231,0.0009255527616692802,9.808845600146333e-05,0.09808845600146333,Cmcm,63,26,226.46157545523334,1232339,LiC12
Sn,118.71,217.0,1.96,7.344,1.2,53.0,10.625555404828663,14.875777566760128,0.7142857142857143,0.2857142857142857,0.03718944391690032,0.0005918569423251847,0.5918569423251847,R-3m,166,7,125.67038166620772,30766,Li5Sn2
Lu,174.9667,221.0,1.27,5.426,,137.0,3.9521741427658297,15.808696571063319,0.25,0.75,0.005269565523687773,0.00014416830182413566,0.14416830182413568,P6_3/mmc,194,8,219.3089100868737,973493,LiLu3
Ca,40.08,231.0,1.0,6.113,,160.8,16.94932977205116,25.423994658076744,0.6666666666666666,0.3333333333333333,0.05084798931615349,0.0005989288105057637,0.5989288105057637,Fd-3m,227,6,169.7964379880642,11644,Li2Ca
Mg,24.305,173.0,1.31,7.646,,71.2,13.073041846404431,26.146083692808862,0.5,0.5,0.026146083692808863,0.0006255408956050661,0.6255408956050661,Amm2,38,6,125.39268276385947,1094594,LiMg
Fe,55.84,194.0,1.83,7.902,0.163,62.0,15.849395644137509,31.698791288275018,0.5,0.5,0.03169879128827502,0.0012923090667847973,1.2923090667847972,Cmcm,63,4,49.05760100738144,1211097,LiFe
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,16.865020358620377,22.486693811493836,0.75,0.25,0.06746008143448151,0.0012727745998364045,1.2727745998364044,Fm-3m,225,4,53.00237877402052,1185235,Li3Rh
Tl,204.383,196.0,1.62,6.108,0.2,66.0,8.276034696369585,33.10413878547834,0.25,0.75,0.01103471292849278,0.00031677152412024333,0.31677152412024334,I4/mmm,139,4,104.50478109551393,1185253,LiTl3
Yb,173.05,242.0,,6.254,,139.0,16.22632382430613,64.90529529722453,0.25,0.75,0.021635098432408174,0.0006028425627911074,0.6028425627911074,Fm-3m,225,4,107.66541598642071,980190,LiYb3
Au,196.96657,166.0,2.54,9.226,2.309,36.06,1.8835718664044296,7.534287465617719,0.25,0.75,0.002511429155205906,0.0001150553050691512,0.11505530506915121,P6_3/mmc,194,8,130.96810201127914,1185333,LiAu3
Sr,87.62,249.0,0.95,5.695,,197.2,13.044559040301301,32.61139760075325,0.4,0.4,0.03261139760075325,0.00030927643972546376,0.30927643972546376,P4_2/mnm,136,20,843.5533629319194,7507,Sr3Li2
B,10.81,192.0,2.04,8.298,0.277,20.5,11.589179705142026,23.178359410284052,0.5,0.5,0.023178359410284052,0.0010755306768048957,1.0755306768048956,P6_3/mmc,194,4,43.10125207983942,1001835,LiB
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,16.914082487363554,22.552109983151407,0.75,0.25,0.06765632994945422,0.000960070420324415,0.9600704203244149,I4/mmm,139,4,70.47017439261658,976263,Li3Nb
Hg,200.59,209.0,2.0,10.438,,33.0,4.07206781298362,8.14413562596724,0.5,0.5,0.00814413562596724,0.00022634840173353597,0.22634840173353596,Pm-3m,221,2,35.98053073754308,2012,LiHg
Ge,72.63,211.0,2.01,7.9,1.35,40.0,9.165607730125329,14.512212239365105,0.631578947368421,0.3684210526315789,0.024878078124625894,0.0005362504829187808,0.5362504829187807,Pnma,62,152,2597.9881032387934,1212365,Li12Ge7
Hf,178.49,212.0,1.3,6.825,,103.0,12.075299770497342,24.150599540994683,0.5,0.5,0.024150599540994685,0.0005828129848661902,0.5828129848661902,P-6m2,187,2,41.437991548076944,973948,LiHf
Si,28.085,210.0,1.9,8.152,1.385,37.3,10.290274056660326,16.292933923045513,0.631578947368421,0.3684210526315789,0.027930743868078027,0.0006527990684387224,0.6527990684387224,Pnma,62,152,2396.023113748043,1314,Li12Si7
