Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Volume,mid,Reduced Formula
Be,9.012183,153.0,1.57,9.323,,37.74,18.855059438107386,56.565178314322154,0.3333333333333333,0.6666666666666666,0.028282589157161076,0.002198938818464561,2.198938818464561,P6_3/mmc,194,12,102.89541089427775,11270,MnBe2
O,15.999,152.0,3.44,13.618,1.461,5.3,2.7562994916619106,7.4813843345109,0.3684210526315789,0.631578947368421,0.004364140861798025,0.0002780081433835861,0.2780081433835861,Im-3,204,19,188.3746630735144,754430,Mn7O12
Pd,106.42,202.0,2.2,8.337,0.557,26.14,31.301834794079664,62.60366958815933,0.5,0.5,0.06260366958815933,0.0020809719410254893,2.0809719410254894,Pm-3m,221,2,30.083860504773863,1902,MnPd
Si,28.085,210.0,1.9,8.152,1.385,37.3,5.951617786860373,16.26775528408502,0.36585365853658536,0.6341463414634146,0.009385243433125974,0.0004962176855070351,0.4962176855070351,I-42d,122,82,983.5051687524578,752,Mn15Si26
O,15.999,152.0,3.44,13.618,1.461,5.3,9.52920975657188,19.05841951314376,0.5,0.5,0.01905841951314376,0.0006646478955110877,0.6646478955110877,F-43m,216,2,28.674460028927943,1238899,MnO
Au,196.96657,166.0,2.54,9.226,2.309,36.06,7.179627267611255,31.909454522716686,0.225,0.775,0.009264035184014523,0.00042660078741795903,0.42660078741795904,P4/m,83,40,673.1940005143092,30411,Mn9Au31
Ta,180.9479,217.0,1.5,7.89,0.322,74.0,15.414280447001437,23.121420670502154,0.6666666666666666,0.6666666666666666,0.023121420670502154,0.0011069687968469296,1.1069687968469297,P6_3/mmc,194,12,167.09718096019182,12678,TaMn2
B,10.81,192.0,2.04,8.298,0.277,20.5,6.906705036757359,13.813410073514717,0.5,0.5,0.013813410073514717,0.0006087216507121714,0.6087216507121714,P4_2/ncm,138,16,181.53992133979494,616575,MnB
F,18.99840316,135.0,3.98,17.423,3.339,3.74,0.8500659090597482,3.400263636238993,0.25,0.75,0.0011334212120796643,6.821171725915326e-05,0.06821171725915326,P321,150,24,299.092042206228,766789,MnF3
Te,127.6,206.0,2.1,9.01,1.971,38.0,0.8219054824776858,1.6438109649553716,0.5,0.5,0.0016438109649553716,3.2334066719049196e-05,0.0323340667190492,Pnma,62,8,203.35344505081284,1079443,MnTe
P,30.973762,180.0,2.19,10.487,0.746,25.0,3.832230133601431,7.664460267202862,0.5,0.5,0.007664460267202862,0.00029562963071764787,0.29562963071764786,P6_3/mmc,194,4,51.851773102697486,999516,MnP
H,1.008,120.0,2.2,13.598,0.754,4.50711,18.262764217929245,19.522265198476088,0.9354838709677419,0.06451612903225806,0.2830728453779033,0.0017428723110391275,1.7428723110391275,Cm,8,31,324.8348643614986,1222194,Mn29H2
S,32.07,180.0,2.58,10.36,2.077,19.4,0.3702656283098744,1.1107968849296233,0.3333333333333333,0.6666666666666666,0.0005553984424648117,2.6230043069150424e-05,0.026230043069150423,Pnnm,58,6,84.69653534317291,1018804,MnS2
Sb,121.76,206.0,2.05,8.64,1.07,43.0,15.257465861188212,25.429109768647024,0.6,0.4,0.03814366465297053,0.0008794961270291442,0.8794961270291441,P-6m2,187,5,86.73981267391426,1221705,Mn3Sb2
Pd,106.42,202.0,2.2,8.337,0.557,26.14,30.833930115220536,61.66786023044107,0.5,0.5,0.061667860230441074,0.002047894759998309,2.047894759998309,P4/mmm,123,4,60.225614553056424,238,MnPd
O,15.999,152.0,3.44,13.618,1.461,5.3,2.3113167877134027,6.933950363140208,0.3333333333333333,0.6666666666666666,0.003466975181570104,0.0002497947286714622,0.2497947286714622,P4_2/mnm,136,6,55.51718725225747,510408,MnO2
Au,196.96657,166.0,2.54,9.226,2.309,36.06,8.706148890257035,34.82459556102814,0.25,0.75,0.011608198520342713,0.000509798186591942,0.509798186591942,P6_3/mmc,194,8,136.62110410330985,1186010,MnAu3
As,74.92159,185.0,2.18,9.815,0.81,30.0,6.424009159752288,12.848018319504575,0.5,0.5,0.012848018319504575,0.0004476981653224074,0.4476981653224074,Pnma,62,8,114.79178888528295,22240,MnAs
O,15.999,152.0,3.44,13.618,1.461,5.3,2.0901245939357604,6.270373781807281,0.3333333333333333,0.6666666666666666,0.0031351868909036407,0.0002043470226374244,0.20434702263742438,Pnma,62,24,245.47942811705704,1354190,MnO2
Au,196.96657,166.0,2.54,9.226,2.309,36.06,6.375377168924762,31.87688584462381,0.2,0.8,0.007969221461155952,0.00035932143606256676,0.3593214360625668,R-3m,166,5,88.71412235776897,1221711,MnAu4
Er,167.26,235.0,1.24,6.108,,150.0,29.46913281005915,44.203699215088726,0.6666666666666666,0.6666666666666666,0.044203699215088724,0.0018502124423936213,1.8502124423936213,C2/m,12,12,191.12918366456282,1095567,ErMn2
O,15.999,152.0,3.44,13.618,1.461,5.3,2.1788000754392973,6.536400226317893,0.3333333333333333,0.6666666666666666,0.0032682001131589464,0.00019400652993998272,0.1940065299399827,I4/m,87,12,134.7666025126056,19395,MnO2
F,18.99840316,135.0,3.98,17.423,3.339,3.74,4.105470043757013,12.31641013127104,0.3333333333333333,0.6666666666666666,0.0061582050656355195,0.00033542795041607257,0.3354279504160726,P-42m,111,12,146.8739872869089,615138,MnF2
O,15.999,152.0,3.44,13.618,1.461,5.3,4.130599474284909,10.326498685712274,0.4,0.6,0.0068843324571415156,0.0003716653891462738,0.37166538914627384,Pbca,61,80,889.1007007723838,1172875,Mn2O3
F,18.99840316,135.0,3.98,17.423,3.339,3.74,0.2451415388903304,1.2257076944516518,0.2,0.8,0.000306426923612913,2.08433076598588e-05,0.0208433076598588,I4_1/a,88,40,470.44652008363835,541103,MnF4
Si,28.085,210.0,1.9,8.152,1.385,37.3,6.9543771289199805,19.12453710452995,0.36363636363636365,0.6363636363636364,0.010928306916874256,0.0005992574736378598,0.5992574736378597,P-4c2,116,44,510.61957027405396,680339,Mn4Si7
Ge,72.63,211.0,2.01,7.9,1.35,40.0,13.758739459070728,22.013983134513165,0.625,0.375,0.03668997189085527,0.0009808402458793921,0.9808402458793921,P6_3/mcm,193,16,224.44004746946416,617291,Mn5Ge3
Be,9.012183,153.0,1.57,9.323,,37.74,15.730943006583752,20.974590675445004,0.75,0.25,0.062923772026335,0.0015697726456545833,1.5697726456545833,P6_3/mmc,194,8,80.16928081976644,974571,Mn3Be
C,12.011,170.0,2.55,11.26,1.263,11.3,13.104282444560647,18.720403492229497,0.7,0.3,0.043680941481868824,0.0014745045812492347,1.4745045812492348,Pnma,62,40,355.48977225851394,21256,Mn7C3
Ir,192.22,202.0,2.2,9.1,1.565,54.0,26.01278291329528,52.02556582659056,0.5,0.5,0.052025565826590556,0.0018659775538269225,1.8659775538269225,P4/mmm,123,4,55.7622632918511,1537768,MnIr
Er,167.26,235.0,1.24,6.108,,150.0,23.016866914704543,34.52530037205682,0.6666666666666666,0.6666666666666666,0.03452530037205682,0.0014930298536346498,1.4930298536346498,Fd-3m,227,6,92.497280715474,571090,ErMn2
O,15.999,152.0,3.44,13.618,1.461,5.3,3.7144044955060203,18.5720224775301,0.2,0.8,0.004643005619382526,0.00022679217886491132,0.22679217886491132,I4_1/amd,141,10,163.78009656666794,1221594,MnO4
F,18.99840316,135.0,3.98,17.423,3.339,3.74,4.297161631658833,12.891484894976497,0.3333333333333333,0.6666666666666666,0.006445742447488249,0.0003742165622225042,0.3742165622225042,P-42m,111,12,137.7970533256237,2012783,MnF2
As,74.92159,185.0,2.18,9.815,0.81,30.0,14.971164042872998,24.951940071454995,0.6,0.4,0.037427910107182494,0.0010288960581290184,1.0288960581290183,C2/m,12,10,145.50705996577634,28916,Mn3As2
F,18.99840316,135.0,3.98,17.423,3.339,3.74,1.8422725977920786,9.211362988960394,0.2,0.8,0.0023028407472400984,0.00012161192307360717,0.12161192307360717,I4/mcm,140,10,151.48782711683785,1385977,MnF4
O,15.999,152.0,3.44,13.618,1.461,5.3,4.678612614757016,11.69653153689254,0.4,0.6,0.007797687691261694,0.0003910417194579651,0.3910417194579651,Cmcm,63,20,239.28969119930142,1043363,Mn2O3
S,32.07,180.0,2.58,10.36,2.077,19.4,0.27395087324404677,0.8218526197321403,0.3333333333333333,0.6666666666666666,0.00041092630986607013,1.2859435350447027e-05,0.012859435350447028,R-3m,166,3,63.910474864168165,1422029,MnS2
Pt,195.08,209.0,2.28,9.0,2.128,48.0,14.165275517283204,18.887034023044272,0.75,0.25,0.056661102069132815,0.0011812757934576547,1.1812757934576548,P6_3/mmc,194,8,95.93204632304005,1185931,Mn3Pt
F,18.99840316,135.0,3.98,17.423,3.339,3.74,0.1674556524365006,0.6698226097460024,0.25,0.75,0.00022327420324866747,1.1750612457308657e-05,0.011750612457308657,C2/c,15,8,114.00641663224721,556560,MnF3
Ga,69.723,187.0,1.81,5.999,0.3,50.0,17.869994313224108,23.826659084298807,0.75,0.25,0.07147997725289643,0.00149619208367995,1.49619208367995,Fm-3m,225,4,47.77459928613463,999550,Mn3Ga
As,74.92159,185.0,2.18,9.815,0.81,30.0,13.500814654127193,18.001086205502922,0.75,0.25,0.05400325861650877,0.0008948860685036301,0.8948860685036301,Cmcm,63,8,120.69303683944815,2668,Mn3As
Si,28.085,210.0,1.9,8.152,1.385,37.3,14.28807303618214,20.003302250654997,0.7142857142857143,0.2857142857142857,0.05000825562663749,0.0012324563151838001,1.2324563151838002,P4_12_12,92,56,649.2174044374738,608655,Mn5Si2
O,15.999,152.0,3.44,13.618,1.461,5.3,5.960718576730762,14.901796441826903,0.4,0.6,0.009934530961217936,0.000570543443351453,0.5705434433514529,Pbca,61,80,835.795225929392,510604,Mn2O3
Ga,69.723,187.0,1.81,5.999,0.3,50.0,17.201739375695283,22.93565250092704,0.75,0.25,0.06880695750278112,0.0014357092989985979,1.4357092989985978,P6_3/mmc,194,8,95.85082098552085,1078584,Mn3Ga
F,18.99840316,135.0,3.98,17.423,3.339,3.74,0.3523276926614682,1.4093107706458727,0.25,0.75,0.0004697702568819576,3.0467593781640635e-05,0.030467593781640635,P6_322,182,24,277.53634515669,2011351,MnF3
B,10.81,192.0,2.04,8.298,0.277,20.5,10.540567094191307,24.594656553113047,0.42857142857142855,0.5714285714285714,0.018445992414834786,0.0012939247628120628,1.2939247628120627,Immm,71,7,57.02338480560942,10118,Mn3B4
Br,79.9,183.0,2.96,11.814,3.365,21.0,0.47130377366306925,1.4139113209892078,0.3333333333333333,0.6666666666666666,0.0007069556604946039,1.7178417015687987e-05,0.017178417015687987,Fd-3m,227,12,329.2297118408454,571084,MnBr2
O,15.999,152.0,3.44,13.618,1.461,5.3,6.045295800275333,14.105690200642444,0.42857142857142855,0.5714285714285714,0.010579267650481833,0.0005696414176726179,0.5696414176726179,Pbcm,57,28,297.14883285574314,20141,Mn3O4
O,15.999,152.0,3.44,13.618,1.461,5.3,0.1530326061361,0.6886467276124502,0.2222222222222222,0.7777777777777778,0.00019675620788927147,8.838577703525687e-06,0.008838577703525688,P2_1/c,14,72,1246.6199892550596,28338,Mn2O7
Be,9.012183,153.0,1.57,9.323,,37.74,6.905572631407786,89.77244420830121,0.07692307692307693,0.9230769230769231,0.007481037017358434,0.0008356392507198761,0.8356392507198761,I4/mmm,139,13,107.42966433298243,1104792,MnBe12
P,30.973762,180.0,2.19,10.487,0.746,25.0,0.5060755400204665,2.5303777001023326,0.2,0.8,0.0006325944250255832,3.505559351271257e-05,0.03505559351271257,P-1,2,30,433.09111840049985,569522,MnP4
O,15.999,152.0,3.44,13.618,1.461,5.3,3.2445882976944995,9.733764893083498,0.3333333333333333,0.6666666666666666,0.004866882446541749,0.00029922771247175857,0.29922771247175856,R-3m,166,6,65.05924743853517,755671,MnO2
O,15.999,152.0,3.44,13.618,1.461,5.3,2.152117088453807,4.304234176907614,0.5,0.5,0.004304234176907614,8.586335207518926e-05,0.08586335207518926,P3m1,156,2,50.12888587366657,1238773,MnO
Co,58.93319,192.0,1.88,7.881,0.661,55.0,23.808839609564636,31.745119479419515,0.75,0.25,0.09523535843825855,0.001844098796439403,1.844098796439403,Cmcm,63,8,103.28661199946504,1545421,Mn3Co
Pt,195.08,209.0,2.28,9.0,2.128,48.0,11.922476943137159,47.689907772548636,0.25,0.75,0.01589663592418288,0.0007972140707721013,0.7972140707721013,Pm-3m,221,4,59.82070502890271,1180,MnPt3
S,32.07,180.0,2.58,10.36,2.077,19.4,16.79233039182053,22.389773855760712,0.75,0.25,0.06716932156728213,0.001465844568258692,1.465844568258692,Pm-3m,221,4,45.82294945982847,975439,Mn3S
O,15.999,152.0,3.44,13.618,1.461,5.3,3.2571517759931985,9.771455327979595,0.3333333333333333,0.6666666666666666,0.0048857276639897975,0.0003015849501454578,0.3015849501454578,R-3m,166,3,32.400341340861715,25424,MnO2
O,15.999,152.0,3.44,13.618,1.461,5.3,5.49418013534266,10.98836027068532,0.5,0.5,0.01098836027068532,0.0004057776456729695,0.4057776456729695,P6_3mc,186,4,54.159515132783966,999539,MnO
Se,78.97,190.0,2.55,9.752,2.021,28.9,1.3354558694119236,2.6709117388238472,0.5,0.5,0.0026709117388238474,5.1436731526221854e-05,0.05143673152622186,P6_3mc,186,4,103.85231174582884,999540,MnSe
O,15.999,152.0,3.44,13.618,1.461,5.3,3.2803941156657817,9.841182346997345,0.3333333333333333,0.6666666666666666,0.004920591173498672,0.0003029713461512338,0.3029713461512338,Fd-3m,227,12,129.92888564564038,25275,MnO2
Te,127.6,206.0,2.1,9.01,1.971,38.0,0.09651685453449052,0.19303370906898104,0.5,0.5,0.00019303370906898105,2.973331237870036e-06,0.002973331237870036,F-43m,216,2,64.9216967858791,1009222,MnTe
S,32.07,180.0,2.58,10.36,2.077,19.4,6.538232115609751,13.076464231219502,0.5,0.5,0.013076464231219501,0.0003794096952554811,0.3794096952554811,R-3m,166,4,68.93057502083215,2065,MnS
Ga,69.723,187.0,1.81,5.999,0.3,50.0,6.81619042067793,39.761110787287926,0.17142857142857143,0.8285714285714286,0.008226436714611294,0.0004023204828919158,0.4023204828919158,P-1,2,70,1185.9533623984983,1196402,Mn6Ga29
F,18.99840316,135.0,3.98,17.423,3.339,3.74,1.2840150712302474,4.494052749305865,0.2857142857142857,0.7142857142857143,0.0017976210997223464,0.00010830315750589657,0.10830315750589657,C2/c,15,14,165.98048857665805,753169,Mn2F5
As,74.92159,185.0,2.18,9.815,0.81,30.0,8.642690827199052,14.654997489598394,0.5897435897435898,0.41025641025641024,0.02106655889129769,0.0005905977408969217,0.5905977408969217,P1,1,39,570.7183060823656,1222233,Mn23As16
Ge,72.63,211.0,2.01,7.9,1.35,40.0,18.340535457008876,24.454047276011835,0.75,0.25,0.07336214182803551,0.0015124132625943653,1.5124132625943654,P6_3/mmc,194,8,97.013354276187,1078873,Mn3Ge
O,15.999,152.0,3.44,13.618,1.461,5.3,3.9685463428394345,9.921365857098586,0.4,0.6,0.006614243904732391,0.000357348086531779,0.35734808653177896,Pbca,61,80,888.4438433922353,565203,Mn2O3
P,30.973762,180.0,2.19,10.487,0.746,25.0,11.755536864881147,15.674049153174865,0.75,0.25,0.04702214745952459,0.0009074469104579055,0.9074469104579055,I-4,82,16,207.2722797008447,19884,Mn3P
Ni,58.693,163.0,1.91,7.64,1.156,49.0,17.247058846210308,34.494117692420616,0.5,0.5,0.03449411769242062,0.0013923363559103586,1.3923363559103585,P4/mmm,123,2,24.774270632233222,11500,MnNi
Al,26.981538,184.0,1.61,5.986,0.441,57.8,6.610623355035437,46.27436348524806,0.14285714285714285,0.8571428571428571,0.00771239391420801,0.00044363911708505347,0.4436391170850535,Cmcm,63,14,208.61263898141087,173,MnAl6
P,30.973762,180.0,2.19,10.487,0.746,25.0,9.53460106571112,14.301901598566682,0.6666666666666666,0.3333333333333333,0.028603803197133362,0.0008285350715545803,0.8285350715545803,P-62m,189,9,103.57003890057682,1849,Mn2P
O,15.999,152.0,3.44,13.618,1.461,5.3,2.1558338989937855,6.467501696981357,0.3333333333333333,0.6666666666666666,0.0032337508484906784,0.00021636689443904627,0.21636689443904628,P6_3mc,186,24,239.13091561438839,755489,MnO2
O,15.999,152.0,3.44,13.618,1.461,5.3,3.03529425276658,7.58823563191645,0.4,0.6,0.005058823754610967,0.0002572013195030868,0.2572013195030868,P4_12_12,92,160,1888.1982463422953,778470,Mn2O3
O,15.999,152.0,3.44,13.618,1.461,5.3,2.678667293480202,7.780890709632968,0.3442622950819672,0.6557377049180327,0.004084967622557308,0.00022773886656933274,0.22773886656933273,I-4,82,61,717.4827352209874,766493,Mn21O40
Co,58.93319,192.0,1.88,7.881,0.661,55.0,24.309154657818503,48.618309315637006,0.5,0.5,0.04861830931563701,0.00209228365982562,2.09228365982562,Pm-3m,221,2,23.236958854656006,1009133,MnCo
Sb,121.76,206.0,2.05,8.64,1.07,43.0,4.6978861707603,9.3957723415206,0.5,0.5,0.0093957723415206,0.00021515408493530126,0.21515408493530125,Fm-3m,225,2,43.669969567837825,1009217,MnSb
Sb,121.76,206.0,2.05,8.64,1.07,43.0,12.685396472892988,16.913861963857318,0.75,0.25,0.050741585891571954,0.000945204028368889,0.945204028368889,Fm-3m,225,4,53.68320951735175,1185950,Mn3Sb
F,18.99840316,135.0,3.98,17.423,3.339,3.74,0.6701001665278761,3.3505008326393804,0.2,0.8,0.0008376252081598451,5.350486616113139e-05,0.05350486616113139,R-3c,167,30,375.7229283649738,705480,MnF4
P,30.973762,180.0,2.19,10.487,0.746,25.0,0.7770052180302945,3.885026090151473,0.2,0.8,0.0009712565225378682,5.407592332543727e-05,0.05407592332543727,C2/c,15,40,574.7513275763463,571193,MnP4
O,15.999,152.0,3.44,13.618,1.461,5.3,1.4895031141714028,4.468509342514209,0.3333333333333333,0.6666666666666666,0.0022342546712571043,0.00012260631109100136,0.12260631109100135,R3m,160,12,145.783991142106,1407587,MnO2
O,15.999,152.0,3.44,13.618,1.461,5.3,4.035187212549334,10.087968031373336,0.4,0.6,0.006725312020915557,0.0003585574657670489,0.3585574657670489,Pna2_1,33,40,450.15793537217303,771717,Mn2O3
Sb,121.76,206.0,2.05,8.64,1.07,43.0,13.417464376244311,17.889952501659078,0.75,0.25,0.05366985750497724,0.0009678309482870717,0.9678309482870717,Pm-3m,221,4,55.453752124754374,1636,Mn3Sb
O,15.999,152.0,3.44,13.618,1.461,5.3,3.7984081777830916,11.901678957053687,0.3191489361702128,0.6808510638297872,0.005578912011118916,0.0003201088190207704,0.32010881902077043,C2/m,12,47,557.701549435355,776603,Mn15O32
Si,28.085,210.0,1.9,8.152,1.385,37.3,13.09957410933643,17.466098812448575,0.75,0.25,0.05239829643734572,0.0011831923558237086,1.1831923558237085,P4/mmm,123,4,44.285526507536765,1221697,Mn3Si
F,18.99840316,135.0,3.98,17.423,3.339,3.74,0.510558647960512,2.042234591842048,0.25,0.75,0.0006807448639473494,3.565751558488534e-05,0.03565751558488534,P2_1/m,11,16,229.0944344656159,1176438,MnF3
