Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,mid,Reduced Formula
Sb,121.76,206.0,2.05,8.64,1.07,43.0,5.068656024186609,6.758208032248812,0.75,0.25,0.020274624096746435,0.0003406837824771178,0.34068378247711784,Pmmn,59,8,20900,Cu3Sb
Br,79.9,183.0,2.96,11.814,3.365,21.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,P6_3/mmc,194,4,23227,CuBr
Ti,47.867,187.0,1.54,6.828,0.079,100.0,12.733002663800798,38.19900799140239,0.3333333333333333,0.3333333333333333,0.03819900799140239,0.0008135648565220243,0.8135648565220244,Fd-3m,227,24,1192264,Ti2Cu
Li,7.0,182.0,0.98,5.392,0.618,164.1125,11.480842426287387,15.307789901716516,0.75,0.75,0.015307789901716516,0.000992137650955155,0.9921376509551549,P6_3/mmc,194,8,1185338,LiCu3
Pt,195.08,209.0,2.28,9.0,2.128,48.0,2.3232679380758032,9.293071752303213,0.25,0.75,0.003097690584101071,1.5807374354174117e-05,0.015807374354174116,Cmmm,65,4,1213433,CuPt3
O,15.999,152.0,3.44,13.618,1.461,5.3,0.6943905100305932,1.2151833925535382,0.5714285714285714,0.42857142857142855,0.0016202445234047176,5.861615456107089e-05,0.05861615456107089,I4_1/amd,141,14,1478,Cu4O3
Te,127.6,206.0,2.1,9.01,1.971,38.0,0.9431000909333863,1.8862001818667726,0.5,0.5,0.0018862001818667727,4.5477096960111244e-05,0.04547709696011124,I4/mmm,139,2,1978391,CuTe
In,114.818,193.0,1.78,5.786,0.3,65.0,6.681108794321818,13.362217588643636,0.5,0.5,0.013362217588643636,0.00035832559377011386,0.35832559377011386,P6_3/mmc,194,4,1018053,InCu
O,15.999,152.0,3.44,13.618,1.461,5.3,0.17418104576356272,0.4354526144089068,0.4,0.6,0.0002903017429392712,1.79104783608126e-05,0.0179104783608126,Ia-3,206,40,771359,Cu2O3
As,74.92159,185.0,2.18,9.815,0.81,30.0,1.3323420987606458,3.108798230441507,0.42857142857142855,0.5714285714285714,0.00233159867283113,6.622121603540423e-05,0.06622121603540423,Immm,71,14,633403,Cu3As4
Mg,24.305,173.0,1.31,7.646,,71.2,7.8173461971457225,31.26938478858289,0.25,0.25,0.03126938478858289,0.00041035760904767886,0.4103576090476789,Imm2,44,4,2479851,Mg3Cu
I,126.9045,198.0,2.66,10.451,3.059,32.9,0.5344665575863069,1.0689331151726138,0.5,0.5,0.0010689331151726138,1.9505374077680585e-05,0.019505374077680587,P4/nmm,129,4,22863,CuI
