Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Volume,mid,Reduced Formula
Tb,158.92535,221.0,,5.864,,170.0,16.126924553206248,21.502566070941665,0.75,0.25,0.064507698212825,0.0002807907912298139,0.28079079122981393,P6_3/mmc,194,8,459.47160824108727,1185125,K3Tb
S,32.07,180.0,2.58,10.36,2.077,19.4,6.678284703388272,10.017427055082408,0.6666666666666666,0.3333333333333333,0.020034854110164816,0.00022559632468873792,0.22559632468873791,P6_3/mmc,194,6,177.61684848197336,559278,K2S
In,114.818,193.0,1.78,5.786,0.3,65.0,6.008652011140631,24.034608044562525,0.25,0.75,0.008011536014854175,0.0002007601235076463,0.2007601235076463,Fm-3m,225,4,119.7180377489015,1185104,KIn3
Rb,85.468,303.0,0.82,4.177,0.468,319.8,13.0773093797005,52.309237518802,0.25,0.75,0.017436412506267335,0.0001436192948287718,0.1436192948287718,Pm-3m,221,4,364.2215175973883,1185080,KRb3
Pb,207.0,202.0,2.33,7.417,0.36,57.0,4.307407775708507,13.999075271052648,0.3076923076923077,0.6923076923076923,0.006221811231578955,0.00010730711745776439,0.10730711745776439,P2_1/m,11,52,2087.328498270415,680443,K4Pb9
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,9.8545295974165,13.139372796555332,0.75,0.25,0.039418118389665996,0.0002153412784902189,0.2153412784902189,P-3m1,164,4,183.0495233706733,1180789,K3Rh
N,14.007,155.0,3.04,14.534,,7.4,2.627232519963283,7.881697559889848,0.3333333333333333,0.6666666666666666,0.003940848779944924,0.0001615191473115102,0.1615191473115102,Cmc2_1,36,6,97.5945909953201,1180757,KN2
Nd,144.24,229.0,1.14,5.525,,208.0,10.73979366095157,14.31972488126876,0.75,0.25,0.04295917464380628,0.00018897857498417864,0.18897857498417864,I4/mmm,139,4,227.32298964262398,1184903,K3Nd
Pm,144.91276,236.0,,5.55,,200.0,8.12695150847469,16.25390301694938,0.5,0.5,0.01625390301694938,0.0001883828441878049,0.1883828441878049,P-6m2,187,2,86.28122739640422,1185049,KPm
Hg,200.59,209.0,2.0,10.438,,33.0,0.6824857615912351,3.18493355409243,0.21428571428571427,0.7857142857142857,0.0008686182420252083,2.271997137367958e-05,0.02271997137367958,Immm,71,14,420.54633366951543,11028,K3Hg11
Os,190.2,216.0,2.2,8.7,1.1,57.0,7.792808203294737,10.390410937726315,0.75,0.25,0.031171232813178948,0.00021899689864178818,0.21899689864178817,I4/mmm,139,4,142.33641209762305,1185093,K3Os
Li,7.0,182.0,0.98,5.392,0.618,164.1125,10.358785072600615,13.811713430134153,0.75,0.25,0.04143514029040246,0.00017845482942307242,0.17845482942307242,I4/mmm,139,4,232.18839425281092,1184918,K3Li
Eu,151.964,233.0,,5.67,,184.0,9.209577848182128,36.838311392728514,0.25,0.75,0.012279437130909504,0.0001807388262255141,0.1807388262255141,Pm-3m,221,4,203.82068514024806,1185081,KEu3
Cs,132.905452,343.0,0.79,3.894,0.472,400.9,11.15609943594193,14.874799247922574,0.75,0.75,0.014874799247922574,0.00012820673242824898,0.12820673242824898,Pm-3m,221,4,348.06594707295744,1185543,CsK3
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,8.530818386162428,11.374424514883236,0.75,0.25,0.03412327354464971,0.0002355555056353184,0.2355555056353184,P6_3/mmc,194,8,289.725968854904,976126,K3Rh
Sm,150.4,229.0,1.17,5.644,,192.0,15.483237105399999,20.64431614053333,0.75,0.25,0.06193294842159999,0.0002692782481044243,0.2692782481044243,I4/mmm,139,4,229.99610572920398,973554,K3Sm
Lu,174.9667,221.0,1.27,5.426,,137.0,1.3148146359153752,2.6296292718307503,0.5,0.5,0.0026296292718307503,3.3128139708692205e-05,0.0331281397086922,P-6m2,187,2,79.37751093040653,973245,KLu
Tb,158.92535,221.0,,5.864,,170.0,10.315303485341504,13.75373798045534,0.75,0.25,0.04126121394136602,0.00018316017397756163,0.18316017397756162,I4/mmm,139,4,225.27393944504988,1185123,K3Tb
