Symbol,Structure,Total Sites,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Volume,mid,Composition
Tb,K6 Tb2,8,6.0,2.0,0.12901539642565,0.01612692455320625,0.021502566070941666,0.064507698212825,459.47160824108727,1185125,K6 Tb2
S,K4 S2,6,4.0,2.0,0.04006970822032963,0.006678284703388272,0.010017427055082408,0.020034854110164816,177.61684848197336,559278,K4 S2
In,K1 In3,4,1.0,3.0,0.024034608044562526,0.0060086520111406316,0.024034608044562526,0.008011536014854175,119.7180377489015,1185104,K1 In3
Rb,K1 Rb3,4,1.0,3.0,0.052309237518802,0.0130773093797005,0.052309237518802,0.017436412506267335,364.2215175973883,1185080,K1 Rb3
Pb,K16 Pb36,52,16.0,36.0,0.22398520433684238,0.004307407775708507,0.013999075271052649,0.006221811231578955,2087.328498270415,680443,K16 Pb36
Rh,K3 Rh1,4,3.0,1.0,0.039418118389665996,0.009854529597416499,0.013139372796555332,0.039418118389665996,183.0495233706733,1180789,K3 Rh1
N,K2 N4,6,2.0,4.0,0.015763395119779696,0.0026272325199632827,0.007881697559889848,0.003940848779944924,97.5945909953201,1180757,K2 N4
Nd,K3 Nd1,4,3.0,1.0,0.04295917464380628,0.01073979366095157,0.01431972488126876,0.04295917464380628,227.32298964262398,1184903,K3 Nd1
Pm,K1 Pm1,2,1.0,1.0,0.01625390301694938,0.00812695150847469,0.01625390301694938,0.01625390301694938,86.28122739640422,1185049,K1 Pm1
Hg,K3 Hg11,14,3.0,11.0,0.00955480066227729,0.0006824857615912351,0.0031849335540924304,0.0008686182420252083,420.54633366951543,11028,K3 Hg11
Os,K3 Os1,4,3.0,1.0,0.031171232813178948,0.007792808203294737,0.010390410937726316,0.031171232813178948,142.33641209762305,1185093,K3 Os1
Li,K3 Li1,4,3.0,1.0,0.04143514029040246,0.010358785072600615,0.013811713430134154,0.04143514029040246,232.18839425281092,1184918,K3 Li1
Eu,K1 Eu3,4,1.0,3.0,0.036838311392728515,0.009209577848182129,0.036838311392728515,0.012279437130909504,203.82068514024806,1185081,K1 Eu3
Cs,Cs1 K3,4,3.0,3.0,0.044624397743767724,0.011156099435941931,0.014874799247922574,0.014874799247922574,348.06594707295744,1185543,Cs1 K3
Rh,K6 Rh2,8,6.0,2.0,0.06824654708929942,0.008530818386162427,0.011374424514883236,0.03412327354464971,289.725968854904,976126,K6 Rh2
Sm,K3 Sm1,4,3.0,1.0,0.06193294842159999,0.015483237105399998,0.02064431614053333,0.06193294842159999,229.99610572920398,973554,K3 Sm1
Lu,K1 Lu1,2,1.0,1.0,0.0026296292718307503,0.0013148146359153751,0.0026296292718307503,0.0026296292718307503,79.37751093040653,973245,K1 Lu1
Tb,K3 Tb1,4,3.0,1.0,0.04126121394136602,0.010315303485341504,0.013753737980455339,0.04126121394136602,225.27393944504988,1185123,K3 Tb1
Ge,K1 Ge1,2,1.0,1.0,0.014088773348620244,0.007044386674310122,0.014088773348620244,0.014088773348620244,79.31180517277758,1059264,K1 Ge1
Ir,K6 Ir2,8,6.0,2.0,0.075454629796717,0.009431828724589624,0.012575771632786165,0.0377273148983585,277.37667702035253,975821,K6 Ir2
Dy,K3 Dy1,4,3.0,1.0,0.04783554188637576,0.01195888547159394,0.01594518062879192,0.04783554188637576,229.10313194579214,1184884,K3 Dy1
Ga,K3 Ga1,4,3.0,1.0,0.03388967285509878,0.008472418213774695,0.01129655761836626,0.03388967285509878,187.96145710131148,1184898,K3 Ga1
Tl,K3 Tl1,4,3.0,1.0,0.04529957400573973,0.011324893501434933,0.015099858001913243,0.04529957400573973,203.46510546987855,1185120,K3 Tl1
Ca,K1 Ca3,4,1.0,3.0,0.03653716883942052,0.00913429220985513,0.03653716883942052,0.01217905627980684,186.6558756390646,1185016,K1 Ca3
Ta,K3 Ta1,4,3.0,1.0,0.03896411876442521,0.009741029691106302,0.012988039588141737,0.03896411876442521,185.28486560205508,1185075,K3 Ta1
As,K4 As4,8,4.0,4.0,0.03041300992376876,0.003801626240471095,0.00760325248094219,0.00760325248094219,321.16535738623276,1078831,K4 As4
Pu,K6 Pu6,12,6.0,6.0,0.007514631902268545,0.0006262193251890454,0.0012524386503780908,0.0012524386503780908,512.3192832088886,1182556,K6 Pu6
Bi,K6 Bi2,8,6.0,2.0,0.06376877391743818,0.007971096739679773,0.010628128986239696,0.03188438695871909,362.9108931070156,569940,K6 Bi2
