Symbol_x,Structure,Result_1,Anion Site,Structure_SG
N,Zn3 N1,0.11751684689937295,0.33,Zn-N0.33
N,Zn12 N8,0.037523245301479206,0.67,Zn-N0.67
N,Zn24 N16,0.024601928462062918,0.67,Zn-N0.67
N,Zn1 N1,0.12795535568345334,1.0,Zn-N1.0
N,Zn1 N1,0.01110556436426824,1.0,Zn-N1.0
N,Zn2 N2,0.0006304589242457513,1.0,Zn-N1.0
N,Zn1 N1,0.0003471361976028854,1.0,Zn-N1.0
N,Zn4 N24,0.0012307370431083452,6.0,Zn-N6.0
N,Zn2 N12,1.348692982691294e-17,6.0,Zn-N6.0
N,Zn12 N72,8.991286551275294e-18,6.0,Zn-N6.0
N,Zn2 N12,0.0,6.0,Zn-N6.0
