Symbol_x,Structure,Total Sites_x,Zn Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Zn Sites,Diff per Counter Ion Sites,Composition,Symbol_y,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,Result_1,results_per_zn,ZnSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites_y,Reduced Formula,Anion Site,Structure_SG
S,Zn50 S50,100,50.0,50.0,0.290938862799964,0.0029093886279996,0.0058187772559992,0.0058187772559992,Zn50 S50,S,32.07,180.0,2.58,10.36,2.077,19.4,0.07916853771194943,5.818777255999281,0.5,0.5,0.0058187772559992,0.0001244225181729,0.1244225181729461,P1,1,100,ZnS,1.0,Zn-S1.0
S,Zn50 S50,100,50.0,50.0,0.2823401799231454,0.0028234017992314,0.0056468035984629,0.0056468035984629,Zn50 S50,S,32.07,180.0,2.58,10.36,2.077,19.4,0.0768287157196068,5.646803598462908,0.5,0.5,0.0056468035984629,0.0001177482134626,0.1177482134626165,P1,1,100,ZnS,1.0,Zn-S1.0
S,Zn24 S24,48,24.0,24.0,0.127673911088287,0.0026598731476726,0.0053197462953452,0.0053197462953452,Zn24 S24,S,32.07,180.0,2.58,10.36,2.077,19.4,0.07237887217057944,5.319746295345291,0.5,0.5,0.0053197462953452,0.0001360652455942,0.1360652455942045,P3m1,156,48,ZnS,1.0,Zn-S1.0
S,Zn10 S10,20,10.0,10.0,0.0531903105332246,0.0026595155266612,0.0053190310533224,0.0053190310533224,Zn10 S10,S,32.07,180.0,2.58,10.36,2.077,19.4,0.0723691408021894,5.31903105332246,0.5,0.5,0.0053190310533224,0.0001360542226937,0.1360542226937211,P6_3mc,186,20,ZnS,1.0,Zn-S1.0
S,Zn14 S14,28,14.0,14.0,0.0743585465202455,0.002655662375723,0.0053113247514461,0.0053113247514461,Zn14 S14,S,32.07,180.0,2.58,10.36,2.077,19.4,0.07226429117075031,5.311324751446108,0.5,0.5,0.0053113247514461,0.0001358042362304,0.1358042362304362,P3m1,156,28,ZnS,1.0,Zn-S1.0
S,Zn22 S22,44,22.0,22.0,0.1163706515970745,0.0026447875362971,0.0052895750725942,0.0052895750725942,Zn22 S22,S,32.07,180.0,2.58,10.36,2.077,19.4,0.07196837156519621,5.289575072594295,0.5,0.5,0.0052895750725942,0.0001351864076143,0.1351864076143445,P3m1,156,44,ZnS,1.0,Zn-S1.0
S,Zn24 S24,48,24.0,24.0,0.1268456625201885,0.0026426179691705,0.0052852359383411,0.0052852359383411,Zn24 S24,S,32.07,180.0,2.58,10.36,2.077,19.4,0.0719093346062887,5.285235938341188,0.5,0.5,0.0052852359383411,0.0001350443499868,0.1350443499868996,P3m1,156,48,ZnS,1.0,Zn-S1.0
S,Zn18 S18,36,18.0,18.0,0.0946999142730939,0.0026305531742526,0.0052611063485052,0.0052611063485052,Zn18 S18,S,32.07,180.0,2.58,10.36,2.077,19.4,0.0715810346458575,5.261106348505222,0.5,0.5,0.0052611063485052,0.0001343200711344,0.1343200711344302,P3m1,156,36,ZnS,1.0,Zn-S1.0
S,Zn8 S8,16,8.0,8.0,0.0404062325415626,0.0025253895338476,0.0050507790676953,0.0050507790676953,Zn8 S8,S,32.07,180.0,2.58,10.36,2.077,19.4,0.06871938476134229,5.050779067695325,0.5,0.5,0.0050507790676953,0.0001248082846912,0.1248082846912181,R3m,160,16,ZnS,1.0,Zn-S1.0
S,Zn44 S44,88,44.0,44.0,0.2219999961219069,0.002522727228658,0.005045454457316,0.005045454457316,Zn44 S44,S,32.07,180.0,2.58,10.36,2.077,19.4,0.06864693970990521,5.045454457316067,0.5,0.5,0.005045454457316,0.0001246730446245,0.1246730446245389,P3m1,156,88,ZnS,1.0,Zn-S1.0
S,Zn18 S18,36,18.0,18.0,0.088630629524584,0.0024619619312384,0.0049239238624768,0.0049239238624768,Zn18 S18,S,32.07,180.0,2.58,10.36,2.077,19.4,0.06699343089570181,4.923923862476888,0.5,0.5,0.0049239238624768,0.0001205833643235,0.1205833643235912,R3m,160,36,ZnS,1.0,Zn-S1.0
S,Zn50 S50,100,50.0,50.0,0.2290092673586275,0.0022900926735862,0.0045801853471725,0.0045801853471725,Zn50 S50,S,32.07,180.0,2.58,10.36,2.077,19.4,0.06231662777802557,4.58018534717255,0.5,0.5,0.0045801853471725,9.569730333731378e-05,0.0956973033373137,P1,1,100,ZnS,1.0,Zn-S1.0
S,Zn50 S50,100,50.0,50.0,0.2269632758852219,0.0022696327588522,0.0045392655177044,0.0045392655177044,Zn50 S50,S,32.07,180.0,2.58,10.36,2.077,19.4,0.06175988485423129,4.539265517704439,0.5,0.5,0.0045392655177044,9.317998804211264e-05,0.0931799880421126,P1,1,100,ZnS,1.0,Zn-S1.0
S,Zn50 S50,100,50.0,50.0,0.226645402716736,0.0022664540271673,0.0045329080543347,0.0045329080543347,Zn50 S50,S,32.07,180.0,2.58,10.36,2.077,19.4,0.06167338711486191,4.532908054334721,0.5,0.5,0.0045329080543347,9.307893810428924e-05,0.0930789381042892,P1,1,100,ZnS,1.0,Zn-S1.0
S,Zn4 S8,12,4.0,8.0,0.0333549073232881,0.002779575610274,0.008338726830822,0.004169363415411,Zn4 S8,S,32.07,180.0,2.58,10.36,2.077,19.4,0.07563614376141017,8.338726830822027,0.3333333333333333,0.6666666666666666,0.004169363415411,0.0001587120228299,0.1587120228299656,Pa-3,205,12,ZnS2,2.0,Zn-S2.0
