Symbol_x,Structure,Result_1,Anion Site,Structure_SG
S,Zn50 S50,0.037652707801168236,1.0,Zn-S1.0
S,Zn50 S50,0.036633291792673765,1.0,Zn-S1.0
S,Zn50 S50,0.03545631441355724,1.0,Zn-S1.0
S,Zn50 S50,0.03387740041171097,1.0,Zn-S1.0
S,Zn8 S8,0.026405112568271136,1.0,Zn-S1.0
S,Zn8 S8,0.025916519182253156,1.0,Zn-S1.0
S,Zn20 S20,0.025814807087476205,1.0,Zn-S1.0
S,Zn20 S20,0.02573570586733711,1.0,Zn-S1.0
S,Zn24 S24,0.02572497549009963,1.0,Zn-S1.0
S,Zn10 S10,0.02566875027169462,1.0,Zn-S1.0
S,Zn24 S24,0.02563837159570156,1.0,Zn-S1.0
S,Zn5 S5,0.02552066710542094,1.0,Zn-S1.0
S,Zn14 S14,0.025427556220074046,1.0,Zn-S1.0
S,Zn22 S22,0.025089426514965374,1.0,Zn-S1.0
S,Zn26 S26,0.024988199780897308,1.0,Zn-S1.0
S,Zn24 S24,0.024944891782466738,1.0,Zn-S1.0
S,Zn18 S18,0.024409780664425434,1.0,Zn-S1.0
S,Zn50 S50,0.008102484131407106,1.0,Zn-S1.0
S,Zn12 S12,0.007679697235677132,1.0,Zn-S1.0
S,Zn8 S8,0.00701977118304817,1.0,Zn-S1.0
S,Zn44 S44,0.006997434547532616,1.0,Zn-S1.0
S,Zn50 S50,0.006861195361994494,1.0,Zn-S1.0
S,Zn50 S50,0.006611971750981729,1.0,Zn-S1.0
S,Zn10 S10,0.006506471522492149,1.0,Zn-S1.0
S,Zn50 S50,0.006240388660596162,1.0,Zn-S1.0
S,Zn18 S18,0.005474524871075232,1.0,Zn-S1.0
S,Zn18 S18,0.004544270726094066,1.0,Zn-S1.0
S,Zn18 S18,0.004534600761493756,1.0,Zn-S1.0
S,Zn4 S8,0.017290337436036713,2.0,Zn-S2.0
