Symbol_x,Structure,Total Sites_x,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Volume_x,mid_x,Composition,Symbol_y,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,Result_1,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites_y,Volume_y,mid_y,Reduced Formula,Anion Site,Structure_SG
O,Zn12 O12,24,12.0,12.0,0.0976853726318167,0.004070223859659,0.008140447719318,0.008140447719318,245.86914945500465,997630,Zn12 O12,O,15.999,152.0,3.44,13.618,1.461,5.3,0.11075648953472574,8.14044771931806,0.5,0.5,0.008140447719318,0.0003973063430216,0.3973063430216716,P6_3/mmc,194,24,245.86914945500465,997630,ZnO,1.0,Zn-O1.0
O,Zn2 O2,4,2.0,2.0,0.0081924829132743,0.0020481207283185,0.0040962414566371,0.0040962414566371,49.084343077182005,1017539,Zn2 O2,O,15.999,152.0,3.44,13.618,1.461,5.3,0.0557322323865687,4.096241456637196,0.5,0.5,0.0040962414566371,0.000166906235261,0.1669062352610532,P6_3mc,186,4,49.084343077182005,1017539,ZnO,1.0,Zn-O1.0
O,Zn1 O1,2,1.0,1.0,0.0032249544637603,0.0016124772318801,0.0032249544637603,0.0032249544637603,19.505427410212953,13161,Zn1 O1,O,15.999,152.0,3.44,13.618,1.461,5.3,0.04387776294758455,3.224954463760376,0.5,0.5,0.0032249544637603,0.0001653362623611,0.1653362623611008,Pm-3m,221,2,19.505427410212953,13161,ZnO,1.0,Zn-O1.0
O,Zn40 O40,80,40.0,40.0,0.128989737688188,0.0016123717211023,0.0032247434422047,0.0032247434422047,1058.1571111851138,1245109,Zn40 O40,O,15.999,152.0,3.44,13.618,1.461,5.3,0.04387489185160449,3.2247434422047,0.5,0.5,0.0032247434422047,0.0001219003646289,0.1219003646289559,P1,1,80,1058.1571111851138,1245109,ZnO,1.0,Zn-O1.0
O,Zn40 O40,80,40.0,40.0,0.1098725963876672,0.0013734074548458,0.0027468149096916,0.0027468149096916,1085.361523064469,1245255,Zn40 O40,O,15.999,152.0,3.44,13.618,1.461,5.3,0.037372339616792115,2.746814909691682,0.5,0.5,0.0027468149096916,0.0001012313354148,0.101231335414809,P1,1,80,1085.361523064469,1245255,ZnO,1.0,Zn-O1.0
O,Zn40 O40,80,40.0,40.0,0.1078276673807932,0.0013478458422599,0.0026956916845198,0.0026956916845198,1118.3380703947062,1245015,Zn40 O40,O,15.999,152.0,3.44,13.618,1.461,5.3,0.036676772352071466,2.695691684519831,0.5,0.5,0.0026956916845198,9.641777404817896e-05,0.0964177740481789,P1,1,80,1118.3380703947062,1245015,ZnO,1.0,Zn-O1.0
O,Zn40 O40,80,40.0,40.0,0.1054295960748797,0.0013178699509359,0.0026357399018719,0.0026357399018719,1085.0127535804777,1245209,Zn40 O40,O,15.999,152.0,3.44,13.618,1.461,5.3,0.0358610863828998,2.6357399018719945,0.5,0.5,0.0026357399018719,9.716899246296266e-05,0.0971689924629626,P1,1,80,1085.0127535804777,1245209,ZnO,1.0,Zn-O1.0
O,Zn1 O1,2,1.0,1.0,0.000124748426032,6.237421301600286e-05,0.000124748426032,0.000124748426032,20.42086467274929,2229,Zn1 O1,O,15.999,152.0,3.44,13.618,1.461,5.3,0.0016972896600636587,0.1247484260320057,0.5,0.5,0.000124748426032,6.108870903908236e-06,0.0061088709039082,Fm-3m,225,2,20.42086467274929,2229,ZnO,1.0,Zn-O1.0
O,Zn4 O4,8,4.0,4.0,1.3877787807814457e-17,1.734723475976807e-18,3.469446951953614e-18,3.469446951953614e-18,99.20889048362784,1093993,Zn4 O4,O,15.999,152.0,3.44,13.618,1.461,5.3,4.7204254394195284e-17,3.4694469519536138e-15,0.5,0.5,3.469446951953614e-18,1.3988451781047457e-19,1.3988451781047454e-16,P4_2/mnm,136,8,99.20889048362784,1093993,ZnO,1.0,Zn-O1.0
O,Zn1 O1,2,1.0,1.0,1.734723475976807e-18,8.673617379884035e-19,1.734723475976807e-18,1.734723475976807e-18,23.681474594816255,1986,Zn1 O1,O,15.999,152.0,3.44,13.618,1.461,5.3,2.3602127197097645e-17,1.7347234759768069e-15,0.5,0.5,1.734723475976807e-18,7.325234199548233e-20,7.325234199548234e-17,F-43m,216,2,23.681474594816255,1986,ZnO,1.0,Zn-O1.0
O,Zn2 O2,4,2.0,2.0,3.469446951953614e-18,8.673617379884035e-19,1.734723475976807e-18,1.734723475976807e-18,47.397148305666846,2133,Zn2 O2,O,15.999,152.0,3.44,13.618,1.461,5.3,2.3602127197097645e-17,1.7347234759768069e-15,0.5,0.5,1.734723475976807e-18,7.319948722608707e-20,7.319948722608705e-17,P6_3mc,186,4,47.397148305666846,2133,ZnO,1.0,Zn-O1.0
