Symbol_x,Structure,Total Sites_x,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Volume_x,mid_x,Composition,Symbol_y,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,Result_1,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites_y,Volume_y,mid_y,Reduced Formula,Anion Site,Structure_SG
C,Zn3 C1,4,3.0,1.0,0.0031248445143226,0.0007812111285806,0.0010416148381075,0.0031248445143226,50.94103424299999,971857,Zn3 C1,C,12.011,170.0,2.55,11.26,1.263,11.3,0.021257848504260067,1.0416148381075612,0.75,0.25,0.0031248445143226,6.134238459738538e-05,0.0613423845973853,Pm-3m,221,4,50.94103424299999,971857,Zn3C,0.33,Zn-C0.33
C,Zn3 C1,4,3.0,1.0,0.0029610752843248,0.0007402688210812,0.0009870250947749,0.0029610752843248,51.18916915629385,981336,Zn3 C1,C,12.011,170.0,2.55,11.26,1.263,11.3,0.020143750997969254,0.9870250947749472,0.75,0.25,0.0029610752843248,5.784573832960462e-05,0.0578457383296046,I4/mmm,139,4,51.18916915629385,981336,Zn3C,0.33,Zn-C0.33
C,Zn4 C8,12,4.0,8.0,0.0010669358227716,8.89113185643051e-05,0.0002667339556929,0.0001333669778464,269.1524435965257,1207473,Zn4 C8,C,12.011,170.0,2.55,11.26,1.263,11.3,0.002419401453980732,0.2667339556929153,0.3333333333333333,0.6666666666666666,0.0001333669778464,3.964057723254621e-06,0.0039640577232546,Pn-3m,224,12,269.1524435965257,1207473,ZnC2,2.0,Zn-C2.0
