Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Volume,mid,Reduced Formula
Ag,107.868,172.0,1.93,7.576,1.302,55.0,4.698189421087431,6.264252561449908,0.75,0.25,0.018792757684349723,0.0002379483242094561,0.2379483242094561,P6_3/mmc,194,8,157.9566298420932,864952,Mg3Ag
Tm,168.93422,227.0,1.25,6.184,,144.0,13.219366302509513,17.625821736679352,0.75,0.75,0.017625821736679353,0.0005571844258267382,0.5571844258267382,Fm-3m,225,4,94.90119026851767,1187610,TmMg3
Se,78.97,190.0,2.55,9.752,2.021,28.9,2.3657772056896507,4.731554411379301,0.5,0.5,0.004731554411379301,0.00011580040416306912,0.11580040416306912,Fm-3m,225,2,40.85956733550228,10760,MgSe
Yb,173.05,242.0,,6.254,,139.0,20.697145292241593,62.09143587672477,0.3333333333333333,0.3333333333333333,0.062091435876724776,0.0007527638274807674,0.7527638274807674,I4/mmm,139,6,164.96923366927103,3217237,Yb2Mg
Ag,107.868,172.0,1.93,7.576,1.302,55.0,4.725449754595737,14.176349263787213,0.3333333333333333,0.6666666666666666,0.007088174631893606,0.0002575446559351411,0.25754465593514114,C2/m,12,6,110.08847543206113,1185840,MgAg2
Ce,140.116,235.0,1.12,5.539,0.5,205.0,6.710278319119008,7.269468179045592,0.9230769230769231,0.9230769230769231,0.007269468179045592,0.0002813574190550697,0.2813574190550697,I4/mmm,139,13,310.045558569305,1103919,CeMg12
I,126.9045,198.0,2.66,10.451,3.059,32.9,5.757751688215524,5.796394316995494,0.9933333333333333,0.006666666666666667,0.8636627532323287,0.0002522517580249971,0.2522517580249971,P-6m2,187,150,3423.8126227320217,1185590,Mg149I
Lu,174.9667,221.0,1.27,5.426,,137.0,13.051897669850746,17.40253022646766,0.75,0.75,0.01740253022646766,0.0005405126224136482,0.5405126224136483,Pm-3m,221,4,96.58903143884234,1185492,LuMg3
Li,7.0,182.0,0.98,5.392,0.618,164.1125,12.200198134258502,24.400396268517003,0.5,0.5,0.024400396268517,0.0006030493302668062,0.6030493302668062,Cm,8,6,121.38507603211285,976244,LiMg
Tl,204.383,196.0,1.62,6.108,0.2,66.0,9.983253259507487,13.976554563310483,0.7142857142857143,0.2857142857142857,0.03494138640827621,0.00043707061711582184,0.43707061711582185,P-1,2,14,319.7779492828903,570849,Mg5Tl2
Te,127.6,206.0,2.1,9.01,1.971,38.0,3.282043307227126,6.564086614454252,0.5,0.5,0.006564086614454252,0.00012438901711777237,0.12438901711777238,P6_3/mmc,194,4,105.54125704264274,1017510,MgTe
Ca,40.08,231.0,1.0,6.113,,160.8,10.981609784250335,21.96321956850067,0.5,0.5,0.02196321956850067,0.00034069506746288127,0.34069506746288125,Amm2,38,12,386.79549543335077,1039493,CaMg
Pb,207.0,202.0,2.33,7.417,0.36,57.0,9.71897386227319,12.958631816364253,0.75,0.25,0.03887589544909276,0.0004171061409969624,0.4171061409969624,P6_3/mmc,194,8,186.40768681166875,1185787,Mg3Pb
Pd,106.42,202.0,2.2,8.337,0.557,26.14,18.19140101948313,72.76560407793252,0.25,0.75,0.02425520135931084,0.0011933008853194078,1.1933008853194078,Pm-3m,221,4,60.978421262509606,7753,MgPd3
Ag,107.868,172.0,1.93,7.576,1.302,55.0,5.2990730014681775,21.19629200587271,0.25,0.75,0.007065430668624237,0.00030350532452466634,0.30350532452466633,P6_3/mmc,194,8,139.67657430108812,864934,MgAg3
Tm,168.93422,227.0,1.25,6.184,,144.0,18.078025839032904,36.15605167806581,0.5,0.5,0.036156051678065806,0.0006872902676834873,0.6872902676834872,Pm-3m,221,2,52.606669086017796,1505,TmMg
Sr,87.62,249.0,0.95,5.695,,197.2,12.301034032002194,36.903102096006585,0.3333333333333333,0.3333333333333333,0.036903102096006585,0.0002875802204853785,0.2875802204853785,Cmcm,63,6,256.64562071564904,1397279,Sr2Mg
Sn,118.71,217.0,1.96,7.344,1.2,53.0,4.614506823219162,7.1781217250075855,0.6428571428571429,0.35714285714285715,0.012920619105013654,0.00018842306271636688,0.18842306271636688,R3,146,28,685.7238662160509,2426125,Mg9Sn5
Ag,107.868,172.0,1.93,7.576,1.302,55.0,5.8243706355148195,17.473111906544457,0.3333333333333333,0.6666666666666666,0.008736555953272229,0.0003298994862579569,0.3298994862579569,Cmcm,63,6,105.92991280308804,1185822,MgAg2
