Symbol,Structure,Total Sites,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Volume,mid,Composition
Ag,Mg6 Ag2,8,6.0,2.0,0.037585515368699446,0.004698189421087431,0.006264252561449908,0.018792757684349723,157.9566298420932,864952,Mg6 Ag2
Tm,Tm1 Mg3,4,3.0,3.0,0.052877465210038055,0.013219366302509514,0.017625821736679353,0.017625821736679353,94.90119026851767,1187610,Tm1 Mg3
Se,Mg1 Se1,2,1.0,1.0,0.004731554411379301,0.0023657772056896505,0.004731554411379301,0.004731554411379301,40.85956733550228,10760,Mg1 Se1
Yb,Yb4 Mg2,6,2.0,2.0,0.12418287175344955,0.020697145292241592,0.062091435876724776,0.062091435876724776,164.96923366927103,3217237,Yb4 Mg2
Ag,Mg2 Ag4,6,2.0,4.0,0.028352698527574424,0.004725449754595737,0.014176349263787212,0.007088174631893606,110.08847543206113,1185840,Mg2 Ag4
Ce,Ce1 Mg12,13,12.0,12.0,0.0872336181485471,0.006710278319119008,0.007269468179045592,0.007269468179045592,310.045558569305,1103919,Ce1 Mg12
I,Mg149 I1,150,149.0,1.0,0.8636627532323287,0.005757751688215525,0.005796394316995494,0.8636627532323287,3423.8126227320217,1185590,Mg149 I1
Lu,Lu1 Mg3,4,3.0,3.0,0.05220759067940298,0.013051897669850746,0.01740253022646766,0.01740253022646766,96.58903143884234,1185492,Lu1 Mg3
Li,Li3 Mg3,6,3.0,3.0,0.073201188805551,0.0122001981342585,0.024400396268517,0.024400396268517,121.38507603211285,976244,Li3 Mg3
Tl,Mg10 Tl4,14,10.0,4.0,0.13976554563310484,0.009983253259507488,0.013976554563310484,0.03494138640827621,319.7779492828903,570849,Mg10 Tl4
Te,Mg2 Te2,4,2.0,2.0,0.013128173228908503,0.003282043307227126,0.006564086614454252,0.006564086614454252,105.54125704264274,1017510,Mg2 Te2
Ca,Ca6 Mg6,12,6.0,6.0,0.13177931741100402,0.010981609784250335,0.02196321956850067,0.02196321956850067,386.79549543335077,1039493,Ca6 Mg6
Pb,Mg6 Pb2,8,6.0,2.0,0.07775179089818551,0.00971897386227319,0.012958631816364252,0.03887589544909276,186.40768681166875,1185787,Mg6 Pb2
Pd,Mg1 Pd3,4,1.0,3.0,0.07276560407793252,0.01819140101948313,0.07276560407793252,0.02425520135931084,60.978421262509606,7753,Mg1 Pd3
Ag,Mg2 Ag6,8,2.0,6.0,0.04239258401174542,0.005299073001468178,0.02119629200587271,0.007065430668624237,139.67657430108812,864934,Mg2 Ag6
Tm,Tm1 Mg1,2,1.0,1.0,0.036156051678065806,0.018078025839032903,0.036156051678065806,0.036156051678065806,52.606669086017796,1505,Tm1 Mg1
Sr,Sr4 Mg2,6,2.0,2.0,0.07380620419201317,0.012301034032002195,0.036903102096006585,0.036903102096006585,256.64562071564904,1397279,Sr4 Mg2
Sn,Mg18 Sn10,28,18.0,10.0,0.12920619105013653,0.004614506823219162,0.007178121725007585,0.012920619105013654,685.7238662160509,2426125,Mg18 Sn10
Ag,Mg2 Ag4,6,2.0,4.0,0.034946223813088914,0.005824370635514819,0.017473111906544457,0.008736555953272229,105.92991280308804,1185822,Mg2 Ag4
Au,Mg8 Au24,32,8.0,24.0,0.0652784572903935,0.002039951790324797,0.008159807161299187,0.0027199357204330623,552.409034756592,30408,Mg8 Au24
Ca,Ca4 Mg8,12,8.0,8.0,0.1113732649588525,0.009281105413237708,0.013921658119856562,0.013921658119856562,337.9028302648105,2432,Ca4 Mg8
Li,Li1 Mg3,4,3.0,3.0,0.05041710419380577,0.012604276048451442,0.016805701397935257,0.016805701397935257,86.60672258400483,1094596,Li1 Mg3
Pt,Mg18 Pt6,24,18.0,6.0,0.2007520175862902,0.008364667399428758,0.01115288986590501,0.033458669597715034,449.8876004238116,18707,Mg18 Pt6
C,Mg3 C1,4,3.0,1.0,0.015916142732567796,0.003979035683141949,0.005305380910855932,0.015916142732567796,75.39738493953561,1016240,Mg3 C1
O,Mg12 O12,24,12.0,12.0,0.024978083566798343,0.0010407534819499309,0.0020815069638998617,0.0020815069638998617,374.9786528709004,1191789,Mg12 O12
Hg,Mg3 Hg1,4,3.0,1.0,0.020012791305612496,0.005003197826403124,0.0066709304352041655,0.020012791305612496,82.58818698872784,978282,Mg3 Hg1
Ca,Ca2 Mg2,4,2.0,2.0,0.04131473443504103,0.010328683608760257,0.020657367217520515,0.020657367217520515,125.52407453565077,1183575,Ca2 Mg2
Pr,Pr1 Mg3,4,3.0,3.0,0.05276551624609271,0.013191379061523177,0.017588505415364237,0.017588505415364237,101.93307975151255,428,Pr1 Mg3
F,Mg2 F4,6,2.0,4.0,0.002469184873764241,0.00041153081229404015,0.0012345924368821204,0.0006172962184410602,108.48618064634492,560236,Mg2 F4
Sr,Sr4 Mg34,38,34.0,34.0,0.3120848521117932,0.008212759266099821,0.009178966238582153,0.009178966238582153,974.3541966500528,1116,Sr4 Mg34
Ag,Mg4 Ag2,6,4.0,2.0,0.026382194274169837,0.0043970323790283065,0.006595548568542459,0.013191097137084919,115.28101374186899,2021192,Mg4 Ag2
Li,Li3 Mg3,6,3.0,3.0,0.07843825107842659,0.013073041846404431,0.026146083692808863,0.026146083692808863,125.39268276385947,1094594,Li3 Mg3
Tl,Mg149 Tl1,150,149.0,1.0,0.896646150869362,0.005977641005795746,0.006017759401807798,0.896646150869362,3413.0816587980416,1185635,Mg149 Tl1
Y,Y2 Mg4,6,4.0,4.0,0.09141379748103617,0.015235632913506028,0.022853449370259044,0.022853449370259044,155.82546080799256,1187860,Y2 Mg4
Rh,Mg1 Rh1,2,1.0,1.0,0.03917094995542467,0.019585474977712337,0.03917094995542467,0.03917094995542467,29.413519419538204,1172,Mg1 Rh1
B,Mg4 B16,20,4.0,16.0,0.08409937622204823,0.004204968811102412,0.021024844055512058,0.005256211013878014,177.51255307952263,365,Mg4 B16
Fe,Mg149 Fe1,150,149.0,1.0,0.8959760244226325,0.005973173496150883,0.006013261908876728,0.8959760244226325,3448.720016676821,1185592,Mg149 Fe1
Rh,Mg149 Rh1,150,149.0,1.0,0.9788407341249346,0.006525604894166231,0.006569400900167346,0.9788407341249346,3428.7467825003114,1185582,Mg149 Rh1
Eu,Eu2 Mg2,4,2.0,2.0,0.07551204361105258,0.018878010902763146,0.03775602180552629,0.03775602180552629,130.96853841858314,2017054,Eu2 Mg2
Pb,Mg2 Pb2,4,2.0,2.0,0.03302891617733368,0.00825722904433342,0.01651445808866684,0.01651445808866684,102.80963239103053,1185937,Mg2 Pb2
Pt,Mg1 Pt7,8,1.0,7.0,0.014887721526049252,0.0018609651907561565,0.014887721526049252,0.002126817360864179,122.00249740178866,1206346,Mg1 Pt7
Tm,Tm2 Mg6,8,6.0,6.0,0.10916834346213701,0.013646042932767126,0.01819472391035617,0.01819472391035617,194.2742794634384,971920,Tm2 Mg6
Ga,Mg2 Ga2,4,2.0,2.0,0.04890847088947235,0.012227117722368088,0.024454235444736176,0.024454235444736176,74.42003790742116,1094863,Mg2 Ga2
Sc,Mg2 Sc2,4,2.0,2.0,0.04959006750870943,0.012397516877177358,0.024795033754354715,0.024795033754354715,93.19949951424559,1951789,Mg2 Sc2
Eu,Eu1 Mg1,2,1.0,1.0,0.03723252039912017,0.018616260199560086,0.03723252039912017,0.03723252039912017,66.00454385735586,21253,Eu1 Mg1
Ac,Ac4 Mg2,6,2.0,2.0,0.04062938556391987,0.006771564260653312,0.020314692781959937,0.020314692781959937,234.24154327410628,1183089,Ac4 Mg2
Cu,Mg8 Cu4,12,8.0,4.0,0.06757804885578014,0.005631504071315012,0.008447256106972518,0.016894512213945036,211.91798588627324,2481,Mg8 Cu4
Ru,Mg12 Ru8,20,12.0,8.0,0.23582559694019523,0.011791279847009761,0.019652133078349603,0.029478199617524403,329.27423095861525,625,Mg12 Ru8
F,Mg2 F4,6,2.0,4.0,0.002351600873797627,0.0003919334789662711,0.0011758004368988134,0.0005879002184494067,110.7928031109096,1180279,Mg2 F4
Ca,Ca6 Mg6,12,6.0,6.0,0.12092590491252511,0.010077158742710425,0.02015431748542085,0.02015431748542085,377.6134120637198,1039468,Ca6 Mg6
O,Mg4 O4,8,4.0,4.0,0.008430886568056219,0.0010538608210070273,0.0021077216420140547,0.0021077216420140547,95.04494898091623,776911,Mg4 O4
Li,Li4 Mg2,6,2.0,2.0,0.08149050582009199,0.01358175097001533,0.04074525291004599,0.04074525291004599,123.86164937640869,1094562,Li4 Mg2
Sn,Mg2 Sn1,3,2.0,1.0,0.019662197046092147,0.006554065682030715,0.009831098523046073,0.019662197046092147,77.23947969026567,2343,Mg2 Sn1
Ca,Ca6 Mg6,12,6.0,6.0,0.10898926068725681,0.009082438390604734,0.01816487678120947,0.01816487678120947,375.51881313114546,1039403,Ca6 Mg6
Nd,Nd4 Mg2,6,2.0,2.0,0.13174484210421344,0.021957473684035573,0.06587242105210672,0.06587242105210672,190.8827098634505,976425,Nd4 Mg2
Au,Mg6 Au2,8,6.0,2.0,0.03637361326687277,0.004546701658359097,0.0060622688778121285,0.018186806633436386,159.67186181188242,1078964,Mg6 Au2
Zn,Mg20 Zn35,55,20.0,35.0,0.48931180779798433,0.008896578323599715,0.024465590389899216,0.013980337365656695,940.0257710503901,680671,Mg20 Zn35
Pd,Mg6 Pd10,16,6.0,10.0,0.26917206790388293,0.016823254243992683,0.04486201131731382,0.026917206790388292,245.7553875305155,1210703,Mg6 Pd10
Zn,Mg2 Zn4,6,2.0,4.0,0.055903397860180774,0.009317232976696796,0.027951698930090387,0.013975849465045194,96.62012735120982,978269,Mg2 Zn4
P,Mg2 P8,10,2.0,8.0,0.005282906268454485,0.0005282906268454484,0.0026414531342272424,0.0006603632835568106,196.77075408264722,384,Mg2 P8
Li,Li2 Mg2,4,2.0,2.0,0.0516190809146876,0.0129047702286719,0.0258095404573438,0.0258095404573438,83.81228848677249,1094568,Li2 Mg2
Ag,Mg2 Ag4,6,2.0,4.0,0.018235379965227005,0.003039229994204501,0.009117689982613503,0.004558844991306751,106.1043700950753,1185823,Mg2 Ag4
Tm,Tm4 Mg8,12,8.0,8.0,0.19531233858561614,0.016276028215468013,0.024414042323202018,0.024414042323202018,299.91768898160177,2214,Tm4 Mg8
S,Mg2 S2,4,2.0,2.0,0.0002509282305255926,6.273205763139816e-05,0.0001254641152627963,0.0001254641152627963,90.67808101731381,1185942,Mg2 S2
Li,Li4 Mg2,6,2.0,2.0,0.08925071274456031,0.014875118790760053,0.044625356372280156,0.044625356372280156,119.7639156201487,976982,Li4 Mg2
Li,Li1 Mg1,2,1.0,1.0,0.032559258690333444,0.016279629345166722,0.032559258690333444,0.032559258690333444,39.837905119882265,1094889,Li1 Mg1
Yb,Yb4 Mg2,6,2.0,2.0,0.11331513196017029,0.01888585532669505,0.056657565980085145,0.056657565980085145,162.66934473471272,1187899,Yb4 Mg2
Tm,Tm1 Mg2,3,2.0,2.0,0.04439729395015879,0.014799097983386264,0.022198646975079395,0.022198646975079395,75.706661605219,981212,Tm1 Mg2
Li,Li2 Mg4,6,4.0,4.0,0.08587948654083,0.014313247756805,0.0214698716352075,0.0214698716352075,127.89328779243627,973374,Li2 Mg4
Pd,Mg6 Pd2,8,6.0,2.0,0.08316294007493027,0.010395367509366284,0.01386049001248838,0.04158147003746514,154.50488536518287,1079229,Mg6 Pd2
Hg,Mg5 Hg1,6,5.0,1.0,0.04768205709469814,0.007947009515783024,0.009536411418939628,0.04768205709469814,129.1498141288008,1185805,Mg5 Hg1
H,Mg4 H8,12,4.0,8.0,0.04142565347787011,0.003452137789822509,0.010356413369467528,0.005178206684733764,109.849529458566,1102038,Mg4 H8
Se,Mg1 Se1,2,1.0,1.0,0.0022542535555546608,0.0011271267777773304,0.0022542535555546608,0.0022542535555546608,52.3394142599506,13031,Mg1 Se1
P,Mg6 P4,10,6.0,4.0,0.041116023942098845,0.004111602394209884,0.006852670657016474,0.010279005985524711,218.6489796661637,8085,Mg6 P4
Ga,Mg16 Ga16,32,16.0,16.0,0.29525726722566237,0.009226789600801949,0.018453579201603898,0.018453579201603898,605.6286137437545,574266,Mg16 Ga16
Er,Er1 Mg3,4,3.0,3.0,0.05304733619221449,0.013261834048053622,0.01768244539740483,0.01768244539740483,95.30705580680655,862681,Er1 Mg3
