Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Ag,107.868,172.0,1.93,7.576,1.302,55.0,9.568844243978095,12.758458991970793,0.75,0.25,0.03827537697591238,0.0004846314714890496,0.4846314714890496,P6_3/mmc,194,8,Mg3Ag
Tm,168.93422,227.0,1.25,6.184,,144.0,15.274982426188213,20.366643234917618,0.75,0.75,0.020366643234917617,0.0006438268006109721,0.6438268006109721,Fm-3m,225,4,TmMg3
Se,78.97,190.0,2.55,9.752,2.021,28.9,4.98155871668983,9.96311743337966,0.5,0.5,0.009963117433379659,0.00024383805515049723,0.24383805515049722,Fm-3m,225,2,MgSe
Yb,173.05,242.0,,6.254,,139.0,23.4209050898988,70.2627152696964,0.3333333333333333,0.3333333333333333,0.0702627152696964,0.0008518281100894062,0.8518281100894063,I4/mmm,139,6,Yb2Mg
Ag,107.868,172.0,1.93,7.576,1.302,55.0,9.687747564456785,29.063242693370352,0.3333333333333333,0.6666666666666666,0.014531621346685177,0.0005279979140288149,0.5279979140288149,C2/m,12,6,MgAg2
Ce,140.116,235.0,1.12,5.539,0.5,205.0,9.036437520661803,9.789473980716954,0.9230769230769231,0.9230769230769231,0.009789473980716954,0.0003788916967902456,0.3788916967902456,I4/mmm,139,13,CeMg12
Lu,174.9667,221.0,1.27,5.426,,137.0,15.685849209364177,20.914465612485568,0.75,0.75,0.02091446561248557,0.0006495913242197091,0.6495913242197091,Pm-3m,221,4,LuMg3
Li,7.0,182.0,0.98,5.392,0.618,164.1125,15.07475496017544,30.14950992035088,0.5,0.5,0.03014950992035088,0.0007451371512682841,0.7451371512682842,Cm,8,6,LiMg
Tl,204.383,196.0,1.62,6.108,0.2,66.0,12.466548956815215,17.4531685395413,0.7142857142857143,0.2857142857142857,0.04363292134885325,0.0005457902453461989,0.5457902453461989,P-1,2,14,Mg5Tl2
Pb,207.0,202.0,2.33,7.417,0.36,57.0,12.355181158038732,16.47357487738498,0.75,0.25,0.04942072463215493,0.0005302434194367278,0.5302434194367278,P6_3/mmc,194,8,Mg3Pb
Pd,106.42,202.0,2.2,8.337,0.557,26.14,7.908523580238987,31.63409432095595,0.25,0.75,0.010544698106985316,0.0005187752268097016,0.5187752268097017,Pm-3m,221,4,MgPd3
Ag,107.868,172.0,1.93,7.576,1.302,55.0,10.238134978692282,40.952539914769126,0.25,0.75,0.013650846638256374,0.0005863909552433817,0.5863909552433817,P6_3/mmc,194,8,MgAg3
Tm,168.93422,227.0,1.25,6.184,,144.0,21.1989971914696,42.3979943829392,0.5,0.5,0.0423979943829392,0.0008059433360742482,0.8059433360742483,Pm-3m,221,2,TmMg
Sr,87.62,249.0,0.95,5.695,,197.2,14.649539839037491,43.94861951711247,0.3333333333333333,0.3333333333333333,0.04394861951711247,0.0003424848582614657,0.3424848582614657,Cmcm,63,6,Sr2Mg
Sn,118.71,217.0,1.96,7.344,1.2,53.0,7.4893477024326796,11.650096426006389,0.6428571428571429,0.35714285714285715,0.020970173566811502,0.00030581075852775455,0.3058107585277546,R3,146,28,Mg9Sn5
Ag,107.868,172.0,1.93,7.576,1.302,55.0,10.776454979709257,32.32936493912778,0.3333333333333333,0.6666666666666666,0.016164682469563887,0.000610391608633238,0.610391608633238,Cmcm,63,6,MgAg2
