Symbol_x,Structure,Result_1,Anion Site,Structure_SG
O,Mg1 O1,0.11305996192814928,1.0,Li-O1.0
O,Mg12 O12,0.08453396078806277,1.0,Li-O1.0
O,Mg12 O12,0.06514490089857207,1.0,Li-O1.0
O,Mg8 O8,0.053808666388981616,1.0,Li-O1.0
O,Mg40 O40,0.05333329958553087,1.0,Li-O1.0
O,Mg40 O40,0.05327030601872363,1.0,Li-O1.0
O,Mg40 O40,0.04772830823140493,1.0,Li-O1.0
O,Mg2 O2,0.030764795895181638,1.0,Li-O1.0
O,Mg4 O4,0.028677028344750624,1.0,Li-O1.0
O,Mg12 O12,0.028320359298732348,1.0,Li-O1.0
O,Mg4 O8,0.03369721037371326,2.0,Li-O2.0
O,Mg1 O2,0.029055740893386302,2.0,Li-O2.0
