Mol,Pol_C,Pol_A,RadV_C,RadV_A,CN_C,CN_A,Ion_C,Ion_A,EA_C
LiH,164.1,4.51,133,32,6,6,5.392,13.59,0.754
NaH,162.7,4.51,155,32,6,6,5.139,13.59,0.754
KH,289.7,4.51,196,32,6,6,4.341,13.59,0.754
RbH,319.8,4.51,210,32,6,6,4.177,13.59,0.754
CsH,400.6,4.51,232,32,6,6,3.849,13.59,0.754
CsCl,400.6,14.6,232,99,8,8,3.849,12.96,3.617
LiCl,164.1,14.6,133,99,6,6,5.392,12.96,3.617
CuI,46.5,32.9,112,133,4,4,7.726,10.451,3.059
LiF,164.1,3.74,133,64,6,6,5.392,17.423,3.339
ZnS,38.67,19.4,118,103,4,4,9.394,10.36,0
CoO2,55,5.3,111,63,6,2,7.881,13.618,0.661
LiCoO2,164.1,5.3,133,63,6,3,6.6365,13.618,0.7075
Mg,71.2,71.2,160,0,8,0,7.646,0,1.31
Na,162.7,162.7,157,0,8,0,5.139,0,0.93
Ca,160.8,160.8,200,0,8,0,6.113,0,1
Li,164.11,164.11,182,0,8,0,5.392,0,0.98
Ni,49,49,163,0,12,0,7.64,0,1.91
Mn,68,68,197,0,8,0,7.434,0,1.55
SnS2,53,19.4,140,103,6,2,7.344,10.36,1.2
LiSnS2,164,19.4,133,103,6,3,6.368,10.36,0.977
