cell_length,energy,E-dispersion
4.0228433608999996,-.18540562E+02,-1.70378
4.1728433609000000,-.19712640E+02,-1.48768
4.3228433609000003,-.20478419E+02,-1.29997
4.4728433608999998,-.20934359E+02,-1.13971
4.6228433609000001,-.21157206E+02,-1.00854
4.7728433608999996,-.21204923E+02,-0.90703
4.9728433608999998,-.21073892E+02,-0.81479
5.1728433609000000,-.20787978E+02,-0.76987
5.3728433609000001,-.20414842E+02,-0.77923
5.5728433609000003,-.19951878E+02,-0.79779
5.7728433608999996,-.19396747E+02,-0.79100
5.9728433608999998,-.18776394E+02,-0.76266
6.1728433609000000,-.18120514E+02,-0.72546
6.3728433609000001,-.17571731E+02,-0.80745
6.5728433609000003,-.17551376E+02,-1.42182
6.7728433608999996,-.17708923E+02,-2.21196
6.9728433608999998,-.17341382E+02,-2.46787
7.1728433609000000,-.16648588E+02,-2.38713
7.3728433609000001,-.15857853E+02,-2.19315
7.5728433609000003,-.15056128E+02,-1.97247
7.8228433609000003,-.14086739E+02,-1.70325
8.0928433608999999,-.13098211E+02,-1.43990
8.3628433608999995,-.12178948E+02,-1.21057
8.6328433609000008,-.11327654E+02,-1.01442
