cell_length,energy,E-dispersion
1.0420380235000000,0.12879163E+02,-0.39039
1.1115072250000000,-.26573949E+01,-0.33094
1.2504456282000000,-.16607077E+02,-0.23564
1.3199148297000001,-.18903249E+02,-0.20819
1.3893840313000001,-.19604589E+02,-0.18791
1.4588532328999999,-.19347602E+02,-0.16889
1.5283224343999999,-.18555819E+02,-0.16629
1.5977916360000000,-.17458433E+02,-0.15255
1.6672608376000000,-.16241860E+02,-0.15412
1.7367300391000000,-.15000190E+02,-0.16653
1.8061992407000000,-.13773224E+02,-0.16984
1.8756684422000001,-.12740044E+02,-0.30837
1.9451376438000001,-.11656603E+02,-0.31740
2.0146068453999999,-.10631259E+02,-0.29704
2.0840760468999999,-.96884469E+01,-0.27161
2.1535452485000000,-.88317003E+01,-0.24698
2.2230144501000000,-.80578675E+01,-0.22621
