cell_length,energy,E-dispersion
2.5834269524000000,0.34451011E+02,-4.88027
2.8834269523999998,-.76049665E+01,-3.46326
3.1834269524000001,-.27354200E+02,-2.63589
3.4834269523999999,-.36027190E+02,-1.96401
3.7834269524000002,-.39150638E+02,-1.43716
4.0834269524000000,-.39602839E+02,-1.07813
4.3834269523999998,-.38768725E+02,-0.84185
4.6834269523999996,-.37357827E+02,-0.71127
4.9834269524000003,-.35743299E+02,-0.66341
5.2834269524000002,-.34076746E+02,-0.65529
5.5834269524000000,-.32413605E+02,-0.64345
5.8834269523999998,-.31117899E+02,-0.94151
6.1834269523999996,-.30979573E+02,-2.31041
6.4834269524000003,-.29816107E+02,-2.56222
6.7834269524000002,-.28224436E+02,-2.29050
7.0834269524000000,-.26662433E+02,-1.95520
7.3834269523999998,-.25200735E+02,-1.63027
7.6834269523999996,-.23845662E+02,-1.33555
7.9834269524000003,-.22609388E+02,-1.08182
8.2834269523999993,-.21489015E+02,-0.87180
