cell_length,energy,E-dispersion
3.6436982155000002,-.58952871E+01,-0.37068
3.7436982154999998,-.62904609E+01,-0.36726
3.8436982154999999,-.65658531E+01,-0.36936
3.9436982155000000,-.67491382E+01,-0.37504
4.0436982155000001,-.68576983E+01,-0.38224
4.1436982154999997,-.69109194E+01,-0.38892
4.3436982154999999,-.68964048E+01,-0.39290
4.5436982155000001,-.67665970E+01,-0.37495
4.7436982155000003,-.65649933E+01,-0.33522
4.9436982155000004,-.63296120E+01,-0.28559
5.1436982154999997,-.60847805E+01,-0.23800
5.3436982154999999,-.58472290E+01,-0.19770
5.5436982155000001,-.56202709E+01,-0.16468
5.7436982155000003,-.54070726E+01,-0.13705
5.9436982155000004,-.52069450E+01,-0.11295
6.1436982154999997,-.50196213E+01,-0.09232
6.3436982154999999,-.48524058E+01,-0.08106
6.5436982155000001,-.47400549E+01,-0.11625
6.7436982155000003,-.46928298E+01,-0.20769
6.9436982155000004,-.45969507E+01,-0.24235
7.2936982155000001,-.43473307E+01,-0.20291
7.5436982155000001,-.41718994E+01,-0.16474
7.7936982155000001,-.40113028E+01,-0.13258
8.0436982154999992,-.38663484E+01,-0.10715
8.2936982154999992,-.37341060E+01,-0.08738
8.5436982154999992,-.36131682E+01,-0.07201
