cell_length,energy,E-dispersion
2.6876778602000000,0.49092289E+01,-1.18975
2.8876778603000002,-.43232191E+01,-0.90444
3.0876778601999999,-.95045394E+01,-0.69907
3.2876778603000001,-.12193012E+02,-0.55914
3.4876778601999998,-.13365982E+02,-0.45887
3.6876778602000000,-.13649390E+02,-0.38598
3.8876778603000002,-.13434613E+02,-0.33663
4.0876778603000004,-.12952673E+02,-0.30474
4.2876778601999996,-.12336192E+02,-0.28310
4.4876778601999998,-.11661882E+02,-0.26781
4.6876778602000000,-.11065354E+02,-0.34711
4.8876778603000002,-.10626351E+02,-0.57608
5.0876778603000004,-.99687070E+01,-0.56305
5.2876778601999996,-.93206073E+01,-0.52991
5.4876778601999998,-.86730752E+01,-0.46256
5.6876778602000000,-.80598927E+01,-0.39271
5.8876778603000002,-.74911638E+01,-0.33145
6.0876778603000004,-.69695637E+01,-0.27982
6.2876778601999996,-.64920066E+01,-0.23629
6.4876778601999998,-.60573952E+01,-0.19929
6.6876778602000000,-.56608222E+01,-0.16777
