cell_length,energy,E-dispersion
2.953000069,-8.02E-01,-0.5057
3.053000069,-1.63E+00,-0.43106
3.153000069,-2.21E+00,-0.37161
3.253000069,-2.61E+00,-0.32748
3.353000069,-2.86E+00,-0.29726
3.453000069,-3.00E+00,-0.27877
3.653000069,-3.06E+00,-0.27700
3.853000069,-2.88E+00,-0.27400
4.153000069,-2.38E+00,-0.26716
4.353000069,-2.30E+00,-0.57791
4.553000069,-2.00E+00,-0.63181
4.753000069,-1.74E+00,-0.66135
4.953000069,-1.45E+00,-0.59208
5.703000069,-5.73E-01,-0.24485
5.953000069,-4.17E-01,-0.18062
6.203000069,-3.07E-01,-0.13463
6.453000069,-2.30E-01,-0.10153
