cell_length,energy,E-dispersion
5.1325087546999999,-.13223389E+02,-1.43575
5.3825087546999999,-.15498399E+02,-1.18628
5.6325087546999999,-.17019427E+02,-0.99414
5.8825087546999999,-.17960086E+02,-0.84208
6.1325087546999999,-.18460295E+02,-0.72348
6.3825087546999999,-.18650419E+02,-0.63915
6.6325087546999999,-.18618071E+02,-0.58873
6.8825087546999999,-.18428198E+02,-0.56755
7.1325087546999999,-.18129065E+02,-0.56697
7.3825087546999999,-.17752031E+02,-0.57574
7.6325087546999999,-.17349363E+02,-0.62265
7.8825087546999999,-.16872735E+02,-0.63071
8.1325087546999999,-.16341804E+02,-0.60695
8.3825087546999999,-.15785575E+02,-0.56220
8.6325087546999999,-.15217424E+02,-0.50736
8.8825087546999999,-.14651960E+02,-0.45088
9.2325087546999995,-.13886915E+02,-0.38656
9.5825087546999992,-.13348326E+02,-0.52240
9.9325087547000006,-.13468056E+02,-1.28613
10.2825087547000003,-.13270489E+02,-1.70797
10.6325087546999999,-.12609673E+02,-1.63052
10.9825087546999995,-.11838618E+02,-1.41705
11.3325087546999992,-.11092183E+02,-1.19474
11.6825087547000006,-.10401224E+02,-0.99587
