cell_length,energy,E-dispersion
4.3873658180000001,-.58550933E+01,-3.78468
4.5873658180000003,-.16484713E+02,-3.35493
4.7873658179999996,-.23164289E+02,-3.00766
4.9873658179999998,-.27065462E+02,-2.71993
5.1873658180000000,-.28993407E+02,-2.44759
5.3873658180000001,-.29534694E+02,-2.16767
5.6373658180000001,-.28890594E+02,-1.82345
5.8873658180000001,-.27359784E+02,-1.52326
6.1373658180000001,-.25346093E+02,-1.28569
6.3873658180000001,-.23094823E+02,-1.10584
6.6373658180000001,-.20786940E+02,-0.97460
6.8873658180000001,-.18549114E+02,-0.90549
7.1373658180000001,-.16813524E+02,-1.25362
7.3873658180000001,-.14801299E+02,-1.19819
7.6373658180000001,-.12948375E+02,-1.13563
7.8873658180000001,-.11272780E+02,-1.07567
8.1373658179999993,-.97727102E+01,-1.00682
8.3873658179999993,-.84290368E+01,-0.92557
8.6373658179999993,-.72484794E+01,-0.83653
8.8873658179999993,-.62200218E+01,-0.74756
9.1373658179999993,-.53354984E+01,-0.66502
9.3873658179999993,-.45795656E+01,-0.59190
9.6373658179999993,-.39577016E+01,-0.52827
