cell_length,energy,E-dispersion
2.0365474799999999,0.16589296E+02,-1.56870
2.1865474800000002,-.11079884E+01,-1.28538
2.3365474800000001,-.10821269E+02,-1.09850
2.4865474800000000,-.15764378E+02,-0.92802
2.6365474799999999,-.17865815E+02,-0.77003
2.7865474799999999,-.18294679E+02,-0.63794
2.9365474800000002,-.17756098E+02,-0.52573
3.0865474800000001,-.16693112E+02,-0.43064
3.2365474800000000,-.15769930E+02,-0.74972
3.3865474799999999,-.14321427E+02,-0.63879
3.5365474799999999,-.12908896E+02,-0.56658
3.6865474800000002,-.11580602E+02,-0.52294
3.8365474800000001,-.10662852E+02,-0.80331
3.9865474800000000,-.10317523E+02,-1.55914
4.1365474799999999,-.92986449E+01,-1.53863
4.2865474800000003,-.83415240E+01,-1.48278
4.4365474799999998,-.74682310E+01,-1.41534
4.5865474800000001,-.66654046E+01,-1.32951
4.7365474799999996,-.59279622E+01,-1.22290
4.8865474799999999,-.52526773E+01,-1.10216
5.0365474800000003,-.46474979E+01,-0.97848
5.1865474799999998,-.41121843E+01,-0.86143
5.3365474800000001,-.36461383E+01,-0.75608
5.4865474799999996,-.32444222E+01,-0.66355
