cell_length,energy,E-dispersion
5.0081624984999999,-.15554097E+02,-1.31875
5.2081624985000001,-.17079663E+02,-1.13148
5.4081624985000003,-.18087126E+02,-0.97682
5.6081624984999996,-.18701340E+02,-0.85092
5.8081624984999998,-.19023595E+02,-0.75458
6.0081624984999999,-.19132743E+02,-0.68812
6.2581624984999999,-.19057434E+02,-0.64350
6.5081624984999999,-.18814594E+02,-0.63248
6.7581624984999999,-.18454066E+02,-0.64100
7.0081624984999999,-.18050165E+02,-0.69222
7.2581624984999999,-.17552009E+02,-0.70487
7.5081624984999999,-.16981338E+02,-0.67838
7.7581624984999999,-.16365456E+02,-0.62427
8.0081624985000008,-.15729954E+02,-0.55734
8.2581624985000008,-.15098812E+02,-0.49258
8.5081624985000008,-.14534580E+02,-0.48698
8.8581624985000005,-.14352741E+02,-1.06685
9.2081624985000001,-.14403303E+02,-1.84927
9.5581624984999998,-.13741158E+02,-1.88518
9.9081624984999994,-.12843549E+02,-1.65040
10.2581624985000008,-.11948312E+02,-1.38128
10.6081624985000005,-.11113994E+02,-1.13748
