Symbol_x,Structure,Result_1,Anion Site,Structure_SG
C,Li3 C1,0.3031592005590623,0.33,Li-C0.33
C,Li2 C1,0.2802355554858055,0.5,Li-C0.5
C,Li2 C2,0.19718166209090354,1.0,Li-C1.0
C,Li1 C6,0.0454923447002195,6.0,Li-C6.0
C,Li1 C12,0.023613997422332812,12.0,Li-C12.0
C,Li2 C24,0.023248233617434572,12.0,Li-C12.0
C,Li7 C120,0.0021160992331301447,17.14,Li-C17.14
