Symbol_x,Structure,Result_1,Anion Site,Structure_SG
Mg,Li5 Mg1,0.45610297583605547,0.2,Li-Mg0.2
Mg,Li5 Mg1,0.4139994832648615,0.2,Li-Mg0.2
Mg,Li3 Mg1,0.4396184169060403,0.33,Li-Mg0.33
Mg,Li4 Mg2,0.3884728011908563,0.5,Li-Mg0.5
Mg,Li4 Mg2,0.3797539281524037,0.5,Li-Mg0.5
Mg,Li4 Mg2,0.3763377558119554,0.5,Li-Mg0.5
Mg,Li3 Mg3,0.4360125658773662,1.0,Li-Mg1.0
Mg,Li3 Mg3,0.41940748730448896,1.0,Li-Mg1.0
Mg,Li3 Mg3,0.3580679436585272,1.0,Li-Mg1.0
Mg,Li2 Mg2,0.35115686460048257,1.0,Li-Mg1.0
Mg,Li1 Mg1,0.33981191540852224,1.0,Li-Mg1.0
Mg,Li1 Mg1,0.33855282142554377,1.0,Li-Mg1.0
Mg,Li3 Mg3,0.3341784291944544,1.0,Li-Mg1.0
Mg,Li2 Mg2,0.3330458984740085,1.0,Li-Mg1.0
Mg,Li3 Mg3,0.33198447151056176,1.0,Li-Mg1.0
Mg,Li2 Mg2,0.3209755405948823,1.0,Li-Mg1.0
Mg,Li2 Mg4,0.39366191711104814,2.0,Li-Mg2.0
Mg,Li2 Mg4,0.37400202655936143,2.0,Li-Mg2.0
Mg,Li1 Mg2,0.259028840455364,2.0,Li-Mg2.0
Mg,Li2 Mg4,0.25415715930076116,2.0,Li-Mg2.0
Mg,Li1 Mg3,0.3424894806221279,3.0,Li-Mg3.0
Mg,Li1 Mg3,0.32526769050066007,3.0,Li-Mg3.0
Mg,Li1 Mg5,0.2951183197178326,5.0,Li-Mg5.0
