Symbol_x,Structure,Total Sites_x,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Volume_x,mid_x,Composition,Symbol_y,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,Result_1,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites_y,Volume_y,mid_y,Reduced Formula,Anion Site,Structure_SG
Si,Li88 Si20,108,88.0,20.0,1.4290904131477276,0.0132323186402567,0.0162396637857696,0.0714545206573863,1620.391827398594,542598,Li88 Si20,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.3600699154474822,16.239663785769633,0.8148148148148148,0.1851851851851851,0.0714545206573863,0.0008819412619736,0.8819412619736641,F-43m,216,108,1620.391827398594,542598,Li22Si5,0.23,Li-Si0.23
Si,Li84 Si20,104,84.0,20.0,1.3305582394642017,0.0127938292256173,0.0158399790412404,0.06652791197321,1591.262226015036,29720,Li84 Si20,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.34813800458996325,15.839979041240497,0.8076923076923077,0.1923076923076923,0.06652791197321,0.0008361652892347,0.8361652892347544,F-43m,216,104,1591.262226015036,29720,Li21Si5,0.24,Li-Si0.24
Si,Li30 Si8,38,30.0,8.0,0.5103528249447005,0.0134303374985447,0.01701176083149,0.0637941031180875,588.1283021077287,569849,Li30 Si8,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.36545828580790063,17.011760831490015,0.7894736842105263,0.2105263157894736,0.0637941031180875,0.000867757635733,0.8677576357330582,I-43d,220,38,588.1283021077287,569849,Li15Si4,0.27,Li-Si0.27
Si,Li28 Si8,36,28.0,8.0,0.3695603283670007,0.0102655646768611,0.0131985831559643,0.046195041045875,530.1944234102621,27930,Li28 Si8,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.2793403866479389,13.198583155964313,0.7777777777777778,0.2222222222222222,0.046195041045875,0.0006970279430514,0.6970279430514429,Pbam,55,36,530.1944234102621,27930,Li7Si2,0.29,Li-Si0.29
Si,Li26 Si8,34,26.0,8.0,0.397958099121901,0.0117046499741735,0.0153060807354577,0.0497447623902376,523.6081630414494,672287,Li26 Si8,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.3184999123072264,15.306080735457732,0.7647058823529411,0.2352941176470588,0.0497447623902376,0.0007600303570714,0.7600303570714161,Pbam,55,34,523.6081630414494,672287,Li13Si4,0.31,Li-Si0.31
Si,Li42 Si18,60,42.0,18.0,0.6582737977722268,0.0109712299628704,0.0156731856612434,0.0365707665429014,875.5649018738679,1201871,Li42 Si18,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.2985425270116529,15.673185661243496,0.7,0.3,0.0365707665429014,0.000751827530276,0.7518275302760553,C2,5,60,875.5649018738679,1201871,Li7Si3,0.43,Li-Si0.43
Si,Li4 Si2,6,4.0,2.0,0.063256670356331,0.0105427783927218,0.0158141675890827,0.0316283351781655,100.12225475064449,27705,Li4 Si2,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.2868837599557111,15.81416758908276,0.6666666666666666,0.3333333333333333,0.0316283351781655,0.0006317943050111,0.631794305011133,R-3m,166,6,100.12225475064449,27705,Li2Si,0.5,Li-Si0.5
Si,Li96 Si56,152,96.0,56.0,1.5641216566123697,0.0102902740566603,0.0162929339230455,0.027930743868078,2396.023113748043,1314,Li96 Si56,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.2800127634654068,16.292933923045513,0.631578947368421,0.3684210526315789,0.027930743868078,0.0006527990684387,0.6527990684387224,Pnma,62,152,2396.023113748043,1314,Li12Si7,0.58,Li-Si0.58
Si,Li2 Si2,4,2.0,2.0,0.0272502423104372,0.0068125605776093,0.0136251211552186,0.0136251211552186,60.19557862795429,1222271,Li2 Si2,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.18537931090155807,13.625121155218626,0.5,0.5,0.0136251211552186,0.0004526950804619,0.4526950804619806,Fd-3m,227,4,60.19557862795429,1222271,LiSi,1.0,Li-Si1.0
Si,Li8 Si8,16,8.0,8.0,0.0975707167505704,0.0060981697969106,0.0121963395938213,0.0121963395938213,247.91663052541352,795,Li8 Si8,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.16593973761165454,12.196339593821309,0.5,0.5,0.0121963395938213,0.0003935626123337,0.3935626123337806,P-1,2,16,247.91663052541352,795,LiSi,1.0,Li-Si1.0
Si,Li8 Si8,16,8.0,8.0,0.088051548273629,0.0055032217671018,0.0110064435342036,0.0110064435342036,390.8477752366298,570363,Li8 Si8,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.1497503687933143,11.006443534203626,0.5,0.5,0.0110064435342036,0.0002252834833723,0.2252834833723186,I4_1/a,88,16,390.8477752366298,570363,LiSi,1.0,Li-Si1.0
Si,Li2 Si6,8,2.0,6.0,0.0354131217728979,0.0044266402216122,0.0177065608864489,0.0059021869621496,116.99387074256876,975321,Li2 Si6,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.12045507772637958,17.706560886448997,0.25,0.75,0.0059021869621496,0.000302692111545,0.3026921115450603,P6_3/mmc,194,8,116.99387074256876,975321,LiSi3,3.0,Li-Si3.0
Si,Li1 Si3,4,1.0,3.0,0.0099313743543292,0.0024828435885823,0.0099313743543292,0.0033104581181097,56.579683972456486,1185431,Li1 Si3,Si,28.085,210.0,1.9,8.152,1.385,37.3,0.067561650026349,9.931374354329288,0.25,0.75,0.0033104581181097,0.0001755289824376,0.1755289824376533,I4/mmm,139,4,56.579683972456486,1185431,LiSi3,3.0,Li-Si3.0
