Symbol_x,Structure,Result_1,Anion Site,Structure_SG
Ag,Li3 Ag1,0.3504821444917257,0.33,Li-Ag0.33
Ag,Li3 Ag1,0.34870049721521434,0.33,Li-Ag0.33
Ag,Li6 Ag2,0.3278561656473964,0.33,Li-Ag0.33
Ag,Li18 Ag8,0.3611091464111151,0.44,Li-Ag0.44
Ag,Li16 Ag10,0.2780056223760277,0.62,Li-Ag0.62
Ag,Li6 Ag4,0.27273766559767426,0.67,Li-Ag0.67
Ag,Li1 Ag1,0.2711992408568207,1.0,Li-Ag1.0
Ag,Li2 Ag2,0.24099678427200003,1.0,Li-Ag1.0
Ag,Li1 Ag3,0.18253139315479486,3.0,Li-Ag3.0
Ag,Li1 Ag3,0.18205665089602674,3.0,Li-Ag3.0
Ag,Li2 Ag6,0.18021546343655295,3.0,Li-Ag3.0
