Symbol_x,Structure,Result_1,Anion Site,Structure_SG
Al,Li3 Al1,0.47210748918535445,0.33,Li-Al0.33
Al,Li9 Al4,0.4350076826261019,0.44,Li-Al0.44
Al,Li4 Al2,0.4262589425106826,0.5,Li-Al0.5
Al,Li8 Al4,0.3947329073883943,0.5,Li-Al0.5
Al,Li3 Al2,0.37052658796549204,0.67,Li-Al0.67
Al,Li7 Al6,0.07362364346352998,0.86,Li-Al0.86
Al,Li2 Al2,0.373368839937144,1.0,Li-Al1.0
Al,Li4 Al4,0.345403322617226,1.0,Li-Al1.0
Al,Li12 Al12,0.33278966792065723,1.0,Li-Al1.0
Al,Li4 Al8,0.2586508223742507,2.0,Li-Al2.0
Al,Li1 Al3,0.24971057413564396,3.0,Li-Al3.0
Al,Li1 Al3,0.24841268547099205,3.0,Li-Al3.0
