Symbol_x,Structure,Result_1,Anion Site,Structure_SG
O,Li68 O34,0.25647907560546196,0.5,Li-O0.5
O,Li68 O34,0.25614903334598116,0.5,Li-O0.5
O,Li68 O34,0.22557937990479765,0.5,Li-O0.5
O,Li4 O4,0.2274089104107105,1.0,Li-O1.0
O,Li1 O1,0.22383743553348065,1.0,Li-O1.0
O,Li4 O4,0.17231064795233464,1.0,Li-O1.0
O,Li1 O2,0.13678888065575276,2.0,Li-O2.0
O,Li1 O3,0.07302213991652023,3.0,Li-O3.0
O,Li1 O8,0.014584317485504223,8.0,Li-O8.0
O,Li1 O8,0.014219402768987694,8.0,Li-O8.0
O,Li1 O8,0.012328500196478452,8.0,Li-O8.0
O,Li1 O8,0.010176789620150404,8.0,Li-O8.0
