Symbol_x,Structure,Result_1,Anion Site,Structure_SG
O,Cu8 O1,0.1310711179134035,0.12,Cu-O0.12
O,Cu8 O1,0.08915190414534943,0.12,Cu-O0.12
O,Cu3 O2,0.033828979457494406,0.67,Cu-O0.67
O,Cu8 O6,0.0440365396942625,0.75,Cu-O0.75
O,Cu8 O6,0.018895337924646483,0.75,Cu-O0.75
O,Cu8 O7,0.012855010565731734,0.88,Cu-O0.88
O,Cu1 O1,0.025898253823412237,1.0,Cu-O1.0
O,Cu3 O3,0.023519277539385527,1.0,Cu-O1.0
O,Cu8 O8,0.02272393311705076,1.0,Cu-O1.0
O,Cu2 O2,0.009601385864837558,1.0,Cu-O1.0
O,Cu4 O4,0.008568934226967367,1.0,Cu-O1.0
O,Cu6 O8,0.003400459504283433,1.33,Cu-O1.33
O,Cu10 O14,0.011103281766014803,1.4,Cu-O1.4
O,Cu9 O13,0.012610335079148086,1.44,Cu-O1.44
O,Cu8 O12,0.004247238552288924,1.5,Cu-O1.5
O,Cu1 O2,0.004310522701700589,2.0,Cu-O2.0
O,Cu1 O2,0.004009717832012919,2.0,Cu-O2.0
O,Cu4 O8,0.0032961084480833368,2.0,Cu-O2.0
