Symbol_x,Structure,Result_1,Anion Site,Structure_SG
Mg,Mg5 Cu1,0.2664382244073106,1.0,Cu-Mg1.0
Mg,Mg7 Cu1,0.252010060816077,1.0,Cu-Mg1.0
Mg,Mg15 Cu1,0.2508265035856364,1.0,Cu-Mg1.0
Mg,Mg2 Cu2,0.21424890075451491,1.0,Cu-Mg1.0
Mg,Mg3 Cu1,0.21272093430901115,1.0,Cu-Mg1.0
Mg,Mg1 Cu3,0.20591772638099345,1.0,Cu-Mg1.0
Mg,Mg1 Cu5,0.17693316823318467,1.0,Cu-Mg1.0
Mg,Mg3 Cu1,0.1694574783193549,1.0,Cu-Mg1.0
Mg,Mg3 Cu1,0.15642187570635763,1.0,Cu-Mg1.0
Mg,Mg4 Cu2,0.15099432496524837,1.0,Cu-Mg1.0
Mg,Mg2 Cu2,0.14716790423646178,1.0,Cu-Mg1.0
Mg,Mg4 Cu2,0.11986945849334706,1.0,Cu-Mg1.0
Mg,Mg8 Cu2,0.11416562627891276,1.0,Cu-Mg1.0
