Symbol_x,Structure,Result_1,Anion Site,Structure_SG
N,Cu10 N3,0.10138389756144119,0.3,Cu-N0.3
N,Cu3 N1,0.11624367818141976,0.33,Cu-N0.33
N,Cu3 N1,0.1080964741014556,0.33,Cu-N0.33
N,Cu3 N1,0.10386371871016158,0.33,Cu-N0.33
N,Cu3 N1,0.09324690388611148,0.33,Cu-N0.33
N,Cu24 N8,0.07650934415757135,0.33,Cu-N0.33
N,Cu3 N1,0.07142811468754227,0.33,Cu-N0.33
N,Cu6 N2,0.059429095191783826,0.33,Cu-N0.33
N,Cu2 N1,0.05829623000412103,0.5,Cu-N0.5
N,Cu1 N1,0.08238415561063811,1.0,Cu-N1.0
N,Cu1 N1,0.043491515472387415,1.0,Cu-N1.0
N,Cu2 N2,0.021603561363385464,1.0,Cu-N1.0
N,Cu1 N1,0.004784499574215383,1.0,Cu-N1.0
N,Cu2 N2,0.004010312565383383,1.0,Cu-N1.0
N,Cu4 N12,0.0,3.0,Cu-N3.0
N,Cu4 N12,0.0,3.0,Cu-N3.0
N,Cu4 N24,0.0,6.0,Cu-N6.0
N,Cu4 N32,0.0,8.0,Cu-N8.0
