Symbol_x,Structure,Result_1,Anion Site,Structure_SG
Al,Al2 Cu6,0.22649705687814922,1.0,Cu-Al1.0
Al,Al1 Cu3,0.22608514479791617,1.0,Cu-Al1.0
Al,Al1 Cu1,0.2258755813604232,1.0,Cu-Al1.0
Al,Al4 Cu15,0.2150177334903195,1.0,Cu-Al1.0
Al,Al4 Cu16,0.2074080702279058,1.0,Cu-Al1.0
Al,Al1 Cu3,0.20362022458851695,1.0,Cu-Al1.0
Al,Al3 Cu2,0.19165114335206557,1.0,Cu-Al1.0
Al,Al4 Cu2,0.1705653313070442,1.0,Cu-Al1.0
Al,Al2 Cu1,0.15683341854815874,1.0,Cu-Al1.0
Al,Al3 Cu1,0.1549005064144004,1.0,Cu-Al1.0
Al,Al3 Cu1,0.14866187808059633,1.0,Cu-Al1.0
