cell_length,energy,E-dispersion
2.7865474799999999,-.18163297E+02,-0.50656
2.9365474800000002,-.17816660E+02,-0.58629
3.0865474800000001,-.16794076E+02,-0.53161
3.2365474800000000,-.15502718E+02,-0.48251
3.3865474799999999,-.14120829E+02,-0.43819
3.5365474799999999,-.12738195E+02,-0.39588
3.6865474800000002,-.11413609E+02,-0.35595
3.8365474800000001,-.10180765E+02,-0.32122
3.9865474800000000,-.90482102E+01,-0.28983
4.1365474799999999,-.80219706E+01,-0.26196
4.2865474800000003,-.70953326E+01,-0.23659
4.4365474799999998,-.62666851E+01,-0.21380
4.5865474800000001,-.55299927E+01,-0.19410
4.7365474799999996,-.48821692E+01,-0.17710
4.8865474799999999,-.43127824E+01,-0.16226
5.0365474800000003,-.38181848E+01,-0.14917
