cell_length,energy,E-dispersion
3.7007815355000000,-.13431086E+02,-0.24628
3.8858206122999999,-.13118209E+02,-0.21493
4.0708596889999997,-.12410398E+02,-0.18889
4.2558987657999996,-.11514657E+02,-0.16675
4.4409378426000004,-.10561206E+02,-0.14905
4.6259769193000002,-.96199645E+01,-0.13411
4.8110159961000001,-.87342939E+01,-0.12107
4.9960550728999999,-.79317738E+01,-0.10970
5.1810941496999998,-.72186152E+01,-0.10002
5.3661332263999997,-.65744122E+01,-0.09141
5.5511723032000004,-.59910011E+01,-0.08379
5.7362113800000003,-.54556042E+01,-0.07680
5.9212504568000002,-.49660711E+01,-0.07061
