cell_length,energy,E-dispersion
3.9172386169000002,-.24169072E+02,-0.28782
4.0274628584999999,-.24219764E+02,-0.23222
4.2274628585000000,-.24112987E+02,-0.17419
4.4274628585000002,-.23762758E+02,-0.13397
4.6274628585000004,-.23257546E+02,-0.10458
4.8274628584999997,-.22628360E+02,-0.08253
5.0274628584999999,-.21928819E+02,-0.06805
5.2274628585000000,-.21184545E+02,-0.05683
5.4274628585000002,-.20409314E+02,-0.04941
5.6274628585000004,-.19625883E+02,-0.04271
5.8274628584999997,-.18839550E+02,-0.03797
6.0274628584999999,-.18060700E+02,-0.03431
6.3274628584999997,-.16919617E+02,-0.02905
6.6274628585000004,-.15820197E+02,-0.02591
6.9274628585000002,-.14770871E+02,-0.02313
7.2274628585000000,-.13774056E+02,-0.02117
7.5274628584999999,-.12831840E+02,-0.02004
7.8274628584999997,-.11944265E+02,-0.01866
8.1274628584999995,-.11108046E+02,-0.01779
8.4274628585000004,-.10319864E+02,-0.01724
8.7274628585000002,-.09576464E+02,-0.01693
9.0274628585000000,-.08874764E+02,-0.01682
